date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2017-05-18,0.0,0,0,0.0,1,Tottenham,134222,0,Ahmed Musa,2016,6,11,Sub,3475,0.0,0.0,0,Leicester,0.0,0
2017-04-09,0.0,0,0,0.0,4,Leicester,133271,0,Ahmed Musa,2016,2,26,Sub,3458,0.0,0.0,0,Everton,0.0,0
2017-03-18,0.0,0,0,0.34597301483154297,2,Leicester,134069,0,Ahmed Musa,2016,3,10,Sub,3421,0.0,0.34597301483154297,0,West Ham,0.0,0
2017-02-05,0.0,0,0,0.0,0,Manchester United,129734,0,Ahmed Musa,2016,3,48,AML,3379,0.0,0.0,0,Leicester,0.0,0
2017-01-31,0.0447986014187336,0,0,0.0447986014187336,1,Leicester,132204,0,Ahmed Musa,2016,0,22,Sub,3362,0.0,0.0,2,Burnley,0.0447986014187336,0
2017-01-22,0.0,0,0,0.0,3,Leicester,131900,0,Ahmed Musa,2016,0,25,Sub,3357,0.0,0.0,0,Southampton,0.0,0
2017-01-14,0.06001719832420349,0,0,0.06001719832420349,0,Chelsea,130528,0,Ahmed Musa,2016,3,72,FW,3347,0.0,0.0,1,Leicester,0.06001719832420349,0
2017-01-02,0.0,0,0,0.1295360028743744,0,Leicester,129556,0,Ahmed Musa,2016,0,17,Sub,3330,0.0,0.1295360028743744,0,Middlesbrough,0.0,0
2016-12-17,0.06402940303087234,0,0,0.06402940303087234,2,Leicester,128643,0,Ahmed Musa,2016,2,7,Sub,3138,0.0,0.0,1,Stoke,0.06402940303087234,0
2016-12-13,0.0,0,0,0.0,1,Leicester,130600,0,Ahmed Musa,2016,0,15,Sub,3125,0.0,0.0,0,Bournemouth,0.0,0
2016-12-03,0.009992740117013454,0,0,0.0,2,Leicester,128836,0,Ahmed Musa,2016,1,13,Sub,3108,0.0,0.0,1,Sunderland,0.009992740117013454,0
2016-11-26,0.10583200305700302,1,0,0.18678399920463562,2,Middlesbrough,128026,0,Ahmed Musa,2016,2,21,Sub,2711,0.08095239847898483,0.0,2,Leicester,0.10583200305700302,0
2016-11-19,0.027776600793004036,0,0,0.0,2,Leicester,128863,0,Ahmed Musa,2016,1,10,Sub,2701,0.0,0.0,1,Watford,0.027776600793004036,0
2016-11-06,0.0,0,0,0.0,1,West Bromwich Albion,128544,0,Ahmed Musa,2016,2,68,ML,2696,0.0,0.0,0,Leicester,0.0,0
2016-10-29,0.6041049957275391,0,1,0.6612020134925842,1,Leicester,127841,0,Ahmed Musa,2016,1,70,ML,2678,0.0,0.05709660053253174,2,Tottenham,0.6041049957275391,1
2016-10-22,0.06343960016965866,1,1,0.18872199952602386,3,Crystal Palace,127245,0,Ahmed Musa,2016,1,82,ML,544,0.12528200447559357,0.0,1,Leicester,0.06343960016965866,1
2016-10-15,0.028858700767159462,0,0,0.08650840073823929,3,Leicester,127675,0,Ahmed Musa,2016,0,68,FW,531,0.0,0.07249200344085693,2,Chelsea,0.028858700767159462,0
2016-09-10,0.029864799231290817,1,0,0.3953840136528015,4,Leicester,126077,0,Ahmed Musa,2016,1,42,Sub,498,0.03425069898366928,0.3312689960002899,1,Liverpool,0.029864799231290817,0
2016-08-27,0.316771000623703,0,0,0.44406598806381226,2,Swansea,125813,0,Ahmed Musa,2016,1,14,Sub,483,0.0,0.44406598806381226,1,Leicester,0.316771000623703,0
2016-08-20,0.0,0,0,0.0,0,Arsenal,125425,0,Ahmed Musa,2016,0,2,Sub,478,0.0,0.0,0,Leicester,0.0,0
2016-08-13,0.05047459900379181,4,0,1.161929965019226,2,Leicester,125051,0,Ahmed Musa,2016,1,90,FW,461,0.9743710160255432,0.13708800077438354,2,Hull,0.05047459900379181,0
