date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2017-05-17,0.0,0,0,0.0,0,Manchester United,132970,0,Ander Herrera,2016,0,14,Sub,3412,0.0,0.0,0,Southampton,0.0,0
2017-05-14,0.0,0,0,0.6365749835968018,2,Manchester United,133901,0,Ander Herrera,2016,1,28,Sub,3507,0.0,0.6365749835968018,0,Tottenham,0.0,0
2017-05-07,0.0,0,0,0.08267109841108322,2,Manchester United,134695,0,Ander Herrera,2016,0,64,MC,3490,0.0,0.08267109841108322,0,Arsenal,0.0,0
2017-04-30,0.0,2,0,0.5552970170974731,1,Swansea,134406,0,Ander Herrera,2016,1,90,DMC,3482,0.4090850055217743,0.18557099997997284,0,Manchester United,0.0,0
2017-04-27,0.3417460024356842,0,0,0.019118500873446465,0,Manchester United,131867,0,Ander Herrera,2016,0,90,MC,3398,0.0,0.0,2,Manchester City,0.3417460024356842,0
2017-04-23,0.0,2,0,0.6503239870071411,0,Manchester United,134092,1,Ander Herrera,2016,2,90,MC,3472,1.214050054550171,0.06906609982252121,0,Burnley,0.0,0
2017-04-16,0.05331460013985634,2,1,0.3971349895000458,2,Chelsea,134656,1,Ander Herrera,2016,0,90,MC,3460,0.3438209891319275,0.0,1,Manchester United,0.05331460013985634,1
2017-04-09,0.040744099766016006,2,0,0.761044979095459,0,Manchester United,133705,1,Ander Herrera,2016,3,90,MC,3452,0.04017600044608116,0.761044979095459,2,Sunderland,0.040744099766016006,0
2017-04-04,0.11867400258779526,0,0,0.18474100530147552,1,Everton,132625,0,Ander Herrera,2016,1,90,MC,3446,0.0,0.16202899813652039,3,Manchester United,0.11867400258779526,0
2017-02-11,0.02797669917345047,2,0,1.2915500402450562,2,Watford,130824,0,Ander Herrera,2016,0,90,DMC,3381,0.16186000406742096,1.1398899555206299,1,Manchester United,0.02797669917345047,0
2017-02-05,0.0,1,0,0.7172350287437439,0,Manchester United,129745,0,Ander Herrera,2016,3,90,MC,3379,0.01944050006568432,0.7172350287437439,0,Leicester,0.0,0
2017-02-01,0.034693699330091476,1,0,0.5612800121307373,0,Hull,132319,0,Ander Herrera,2016,0,90,MC,3368,0.0442643016576767,0.48232200741767883,1,Manchester United,0.034693699330091476,0
2017-01-21,0.08263389766216278,2,0,0.5923500061035156,1,Manchester United,131979,0,Ander Herrera,2016,1,90,MC,3354,0.1106719970703125,0.5397279858589172,4,Stoke,0.08263389766216278,0
2017-01-15,0.0,1,0,0.5333979725837708,1,Liverpool,130634,0,Ander Herrera,2016,1,90,MC,3349,0.10609299689531326,0.5333979725837708,0,Manchester United,0.0,0
2017-01-02,0.15644699335098267,2,0,0.5065709948539734,0,Manchester United,130099,1,Ander Herrera,2016,2,90,MC,3335,0.1283009946346283,0.22182300686836243,2,West Ham,0.15644699335098267,0
2016-12-31,0.03231099992990494,3,0,0.8804659843444824,2,Middlesbrough,130659,0,Ander Herrera,2016,1,90,MC,3159,0.20481400191783905,0.6433410048484802,2,Manchester United,0.03231099992990494,0
2016-12-26,0.11830999702215195,3,0,0.6176940202713013,3,Sunderland,129565,0,Ander Herrera,2016,1,87,MC,3147,0.1785230040550232,0.3663580119609833,4,Manchester United,0.11830999702215195,0
