date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2017-04-23,0.0,1,0,0.00837992038577795,0,Manchester United,134073,0,Ben Mee,2016,2,48,DC,3472,0.0,0.00837992038577795,0,Burnley,0.0,0
2017-04-15,0.0,1,0,0.0,3,Burnley,134609,0,Ben Mee,2016,1,90,DC,3467,0.04943680018186569,0.0,0,Everton,0.0,0
2017-04-08,0.11155799776315689,0,0,0.5376319885253906,0,Burnley,133481,0,Ben Mee,2016,0,90,DC,3456,0.0,0.5376319885253906,1,Middlesbrough,0.11155799776315689,0
2017-04-04,0.008588249795138836,0,0,0.0,1,Stoke,133412,0,Ben Mee,2016,0,90,DC,3441,0.0,0.0,1,Burnley,0.008588249795138836,0
2017-04-01,0.0,0,0,0.04041159898042679,0,Tottenham,132426,0,Ben Mee,2016,2,90,DC,3431,0.0,0.04041159898042679,0,Burnley,0.0,0
2017-03-18,0.0,0,0,0.5657029747962952,0,Burnley,133727,0,Ben Mee,2016,0,90,DC,3423,0.0,0.5657029747962952,0,Sunderland,0.0,0
2017-03-12,0.03144880011677742,0,0,0.3954620063304901,2,Burnley,125457,0,Ben Mee,2016,1,90,DC,3419,0.0,0.3954620063304901,1,Liverpool,0.03144880011677742,0
2017-03-04,0.0,0,0,0.019298100844025612,3,Burnley,133235,0,Ben Mee,2016,2,90,DC,3405,0.0,0.019298100844025612,0,Swansea,0.0,0
2017-02-25,0.02178410068154335,0,0,0.0,1,Burnley,131696,0,Ben Mee,2016,1,90,DC,3394,0.0,0.0,1,Hull,0.02178410068154335,0
2017-02-12,0.0,0,0,0.0,1,Chelsea,130603,0,Ben Mee,2016,1,90,DC,3387,0.0,0.0,0,Burnley,0.0,0
2017-02-04,0.0,1,0,0.3607420027256012,2,Burnley,130179,0,Ben Mee,2016,1,90,DC,3374,0.07619799673557281,0.3607420027256012,0,Watford,0.0,0
2017-01-31,0.16423399746418,0,0,0.06946840137243271,1,Leicester,132180,0,Ben Mee,2016,0,90,DC,3362,0.0,0.06946840137243271,2,Burnley,0.16423399746418,0
2017-01-22,0.07041019946336746,0,0,0.0,2,Burnley,131306,0,Ben Mee,2016,1,90,DC,3358,0.0,0.0,2,Arsenal,0.07041019946336746,0
2017-01-14,0.11216499656438828,0,0,0.04246700182557106,1,Southampton,130193,0,Ben Mee,2016,0,90,DC,3345,0.0,0.0,2,Burnley,0.11216499656438828,0
2017-01-02,0.13488399982452393,0,1,0.13929399847984314,2,Burnley,129435,0,Ben Mee,2016,1,90,DC,3332,0.0,0.13929399847984314,1,Manchester City,0.13488399982452393,1
2016-12-31,0.0,0,0,0.06896709650754929,4,Sunderland,130110,0,Ben Mee,2016,1,90,DC,3157,0.0,0.06896709650754929,0,Burnley,0.0,0
2016-12-26,0.0,0,0,0.0,1,Middlesbrough,129117,0,Ben Mee,2016,0,90,DC,3150,0.0,0.0,0,Burnley,0.0,0
2016-12-18,0.0,0,0,0.0,2,Burnley,128798,0,Ben Mee,2016,1,90,DC,3143,0.0,0.0,0,Tottenham,0.0,0
