date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-05-06,0,1,0,0.022115100175142288,0.022115100175142288,1,Everton,0,135129,0,Borja Bastón,2016,0,2,Sub,3498,0,Swansea,0,0
2017-04-22,0,0,0,0,0,2,Stoke,0,134306,0,Borja Bastón,2016,0,3,Sub,3478,0,Swansea,0,0
2017-04-15,0.03336330130696297,1,0,0.06959210336208344,0.03622889891266823,1,Swansea,0.03336330130696297,135005,0,Borja Bastón,2016,0,31,Sub,3466,1,Watford,0,0
2017-03-18,0,0,0,0,0,2,Swansea,0,133082,0,Borja Bastón,2016,0,6,Sub,3429,0,Bournemouth,0,0
2017-02-05,0,0,0,0,0,2,Swansea,0,129859,0,Borja Bastón,2016,1,6,Sub,3378,0,Manchester City,0,0
2017-01-21,0,0,0,0,0,2,Swansea,0,131650,0,Borja Bastón,2016,3,4,Sub,3350,0,Liverpool,0,0
2017-01-14,0.060889098793268204,1,0,0.14315100014209747,0.03858590126037598,0,Arsenal,0.060889098793268204,130858,0,Borja Bastón,2016,4,19,Sub,3343,1,Swansea,0.04367600008845329,0
2016-12-26,0.09826239943504333,0,0,0.20901800692081451,0,1,West Ham,0.09826239943504333,129788,0,Borja Bastón,2016,4,47,FW,3146,1,Swansea,0.11075600236654282,0
2016-12-17,0.0893654003739357,1,0,0.21738900244235992,0.10629499703645706,3,Swansea,0.0893654003739357,131929,0,Borja Bastón,2016,0,27,Sub,3136,2,Middlesbrough,0.021729499101638794,0
2016-12-15,0.5224909782409668,0,0,0.5224909782409668,0,3,Swansea,0.5224909782409668,131149,0,Borja Bastón,2016,1,17,Sub,3131,2,West Bromwich Albion,0.2707329988479614,0
2016-12-03,0,0,0,0,0,5,Swansea,0,128919,0,Borja Bastón,2016,0,25,Sub,3109,0,Tottenham,0,0
2016-11-06,0,0,0,0,0,1,Manchester United,0,128160,0,Borja Bastón,2016,3,90,FW,2695,0,Swansea,0,0
2016-11-01,0.0892828032374382,0,0,0.0892828032374382,0,3,Swansea,0.0892828032374382,127790,0,Borja Bastón,2016,1,25,Sub,2686,2,Stoke,0,0
2016-10-22,0.13883599638938904,1,0,0.615401029586792,0.016286799684166908,0,Watford,0.13883599638938904,127415,0,Borja Bastón,2016,0,90,FW,543,2,Swansea,0.4602789878845215,0
2016-10-15,0.39521700143814087,0,1,0.39521700143814087,0,3,Swansea,0.39521700143814087,127566,0,Borja Bastón,2016,2,28,Sub,532,1,Arsenal,0,1
2016-10-01,0.8169770240783691,0,0,0.47398900985717773,0,1,Liverpool,0.8169770240783691,127330,0,Borja Bastón,2016,2,90,FW,522,2,Swansea,0.04352330043911934,0
2016-09-24,0.04215719923377037,0,0,0.04215719923377037,0,1,Manchester City,0.04215719923377037,126757,0,Borja Bastón,2016,3,9,Sub,515,1,Swansea,0,0
2016-09-18,0,0,0,0,0,1,Swansea,0,126437,0,Borja Bastón,2016,0,7,Sub,509,0,Southampton,0,0
