date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2017-05-21,0.32698899507522583,1,0,0.3771199882030487,3,Middlesbrough,125285,0,Daniel Sturridge,2016,0,84,FW,3515,0.05013050138950348,0.03548379987478256,5,Liverpool,0.32698899507522583,0
2017-05-14,0.6853269934654236,2,1,1.4061299562454224,0,Liverpool,134123,0,Daniel Sturridge,2016,4,89,FW,3509,0.1766510009765625,0.5726839900016785,4,West Ham,0.6853269934654236,1
2017-05-07,0.13313299417495728,3,0,0.20623600482940674,0,Southampton,135020,0,Daniel Sturridge,2016,0,20,Sub,3496,0.09038329869508743,0.0,2,Liverpool,0.13313299417495728,0
2017-05-01,0.09538809955120087,0,0,0.09538809955120087,0,Liverpool,134591,0,Daniel Sturridge,2016,1,2,Sub,3488,0.0,0.0,1,Watford,0.09538809955120087,0
2017-04-16,0.0,0,0,0.0,0,Liverpool,135060,0,Daniel Sturridge,2016,1,7,Sub,3469,0.0,0.0,0,West Bromwich Albion,0.0,0
2017-04-08,0.0,1,0,0.0476544015109539,1,Liverpool,133601,0,Daniel Sturridge,2016,2,19,Sub,3451,0.0476544015109539,0.0,0,Stoke,0.0,0
2017-02-04,0.047684501856565475,0,0,0.06950180232524872,2,Liverpool,129641,0,Daniel Sturridge,2016,0,21,Sub,3373,0.0,0.06950180232524872,1,Hull,0.047684501856565475,0
2017-01-21,0.0,1,0,0.052058298140764236,2,Swansea,131637,0,Daniel Sturridge,2016,3,32,Sub,3350,0.052058298140764236,0.0,0,Liverpool,0.0,0
2017-01-02,0.5387459993362427,0,1,1.2079299688339233,2,Liverpool,129774,0,Daniel Sturridge,2016,2,82,FW,3334,0.0,0.7427970170974731,6,Sunderland,0.5387459993362427,1
2016-12-27,0.5896480083465576,1,1,0.7849820256233215,4,Stoke,129458,0,Daniel Sturridge,2016,1,17,Sub,3153,0.11386600136756897,0.08146870136260986,1,Liverpool,0.5896480083465576,1
2016-12-20,0.033958300948143005,0,0,0.6905199885368347,0,Liverpool,131763,0,Daniel Sturridge,2016,1,7,Sub,3144,0.0,0.6565619707107544,1,Everton,0.033958300948143005,0
2016-11-19,0.0,2,0,0.47529101371765137,0,Liverpool,128535,0,Daniel Sturridge,2016,0,11,Sub,2698,0.44505101442337036,0.4434700012207031,0,Southampton,0.0,0
2016-11-06,0.35120201110839844,0,0,0.30287599563598633,6,Watford,128053,0,Daniel Sturridge,2016,1,16,Sub,2693,0.0,0.032377101480960846,5,Liverpool,0.35120201110839844,0
2016-10-17,0.0,0,0,0.10853499919176102,0,Manchester United,126810,0,Daniel Sturridge,2016,0,61,FW,540,0.0,0.10853499919176102,0,Liverpool,0.0,0
2016-10-01,0.10122700035572052,0,0,0.028226900845766068,1,Liverpool,127348,0,Daniel Sturridge,2016,2,68,Sub,522,0.0,0.028226900845766068,1,Swansea,0.10122700035572052,0
2016-09-24,0.02963469922542572,0,0,0.14724700152873993,5,Hull,126618,0,Daniel Sturridge,2016,1,18,Sub,516,0.0,0.11761199682950974,1,Liverpool,0.02963469922542572,0
2016-09-16,0.11031900346279144,1,0,0.13898299634456635,1,Liverpool,126268,0,Daniel Sturridge,2016,2,58,FW,501,0.046756599098443985,0.0,3,Chelsea,0.11031900346279144,0
2016-09-10,1.1878999471664429,2,0,1.3589600324630737,4,Leicester,126060,1,Daniel Sturridge,2016,1,78,FW,498,0.6138259768486023,0.09644699841737747,5,Liverpool,1.1878999471664429,0
2016-08-27,0.0,0,0,0.1493780016899109,1,Liverpool,125911,0,Daniel Sturridge,2016,1,1,Sub,481,0.0,0.1493780016899109,0,Tottenham,0.0,0
2016-08-20,0.11614099889993668,0,0,0.16782499849796295,2,Liverpool,133981,0,Daniel Sturridge,2016,0,66,FWR,473,0.0,0.07509449869394302,4,Burnley,0.11614099889993668,0
