date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-05-21,0,1,0,0.09177549928426743,0.03038189932703972,1,Bournemouth,0,125249,0,Danny Simpson,2016,1,90,DR,3514,0,Leicester,0.09177549928426743,0
2017-05-18,0,0,0,0.08712469786405563,0,1,Tottenham,0,134211,0,Danny Simpson,2016,6,90,DR,3475,0,Leicester,0.08712469786405563,0
2017-05-13,0,1,0,0.2364560067653656,0.12544099986553192,2,Leicester,0,135300,0,Danny Simpson,2016,1,90,DR,3503,0,Manchester City,0.11101599782705307,0
2017-05-06,0,0,0,0,0,3,Watford,0,134952,0,Danny Simpson,2016,0,90,DR,3495,0,Leicester,0,0
2017-04-29,0,0,0,0,0,0,Leicester,0,134636,0,Danny Simpson,2016,1,90,DR,3489,0,West Bromwich Albion,0,0
2017-04-26,0,0,0,0.06960389763116837,0,1,Leicester,0,133753,0,Danny Simpson,2016,0,90,DR,3410,0,Arsenal,0.06960389763116837,0
2017-04-15,0,0,0,0,0,2,Leicester,0,134141,0,Danny Simpson,2016,2,90,DR,3468,0,Crystal Palace,0,0
2017-04-04,0,0,0,0.24247600138187408,0,2,Sunderland,0,132369,0,Danny Simpson,2016,0,90,DR,3445,0,Leicester,0.24247600138187408,0
2017-04-01,0,2,0,0.7315449714660645,0.12686699628829956,2,Stoke,0,132675,2,Danny Simpson,2016,0,90,DR,3434,0,Leicester,0.6046779751777649,0
2017-03-18,0,1,0,0.4087029993534088,0.06404349952936172,2,Leicester,0,134058,0,Danny Simpson,2016,3,90,DR,3421,0,West Ham,0.3446590006351471,0
2017-03-04,0,0,0,0,0,3,Hull,0,132153,0,Danny Simpson,2016,1,90,DR,3400,0,Leicester,0,0
2017-02-27,0,0,0,0,0,3,Liverpool,0,131765,0,Danny Simpson,2016,1,90,DR,3399,0,Leicester,0,0
2017-02-12,0,0,0,0,0,2,Leicester,0,131277,0,Danny Simpson,2016,0,74,DR,3388,0,Swansea,0,0
2017-02-05,0,0,0,0.06178240105509758,0,0,Manchester United,0,129726,0,Danny Simpson,2016,3,90,DR,3379,0,Leicester,0.06178240105509758,0
2017-01-31,0,1,0,0.02834480069577694,0.02834480069577694,1,Leicester,0,132193,0,Danny Simpson,2016,0,90,DR,3362,0,Burnley,0,0
2017-01-22,0,0,0,0,0,3,Leicester,0,131890,0,Danny Simpson,2016,0,90,DR,3357,0,Southampton,0,0
2017-01-14,0,0,0,0,0,0,Chelsea,0,130530,0,Danny Simpson,2016,3,12,Sub,3347,0,Leicester,0,0
2017-01-02,0,1,0,0.04209680110216141,0.04209680110216141,0,Leicester,0,129546,0,Danny Simpson,2016,0,90,DR,3330,0,Middlesbrough,0.04209680110216141,0
2016-12-31,0,0,0,0.4601759910583496,0,1,West Ham,0,130436,0,Danny Simpson,2016,0,90,DR,3156,0,Leicester,0.4601759910583496,0
2016-12-26,0,1,0,0.031811799854040146,0.20558899641036987,0,Everton,0,129364,0,Danny Simpson,2016,2,90,DR,3148,0,Leicester,0.031811799854040146,0
2016-12-17,0,0,0,0.4259989857673645,0,2,Leicester,0,128632,0,Danny Simpson,2016,2,90,DR,3138,0,Stoke,0.4259989857673645,0
2016-12-10,0,0,0,0,0,4,Manchester City,0,129917,0,Danny Simpson,2016,2,90,DR,3120,0,Leicester,0,0
2016-12-03,0.021939100697636604,0,0,0,0,2,Leicester,0.021939100697636604,128825,0,Danny Simpson,2016,1,90,DR,3108,1,Sunderland,0,0
2016-11-26,0.08501390367746353,1,0,0.3159080147743225,0.07190780341625214,2,Middlesbrough,0.08501390367746353,128015,0,Danny Simpson,2016,2,90,DR,2711,1,Leicester,0.15898600220680237,0
2016-11-19,0,0,0,0,0,2,Leicester,0,128852,0,Danny Simpson,2016,1,90,DR,2701,0,Watford,0,0
2016-11-06,0,0,0,0.05269639939069748,0,1,West Bromwich Albion,0,128537,0,Danny Simpson,2016,2,90,DR,2696,0,Leicester,0.05269639939069748,0
2016-10-29,0,0,0,0.05709660053253174,0,1,Leicester,0,127834,0,Danny Simpson,2016,1,90,DR,2678,0,Tottenham,0.05709660053253174,0
2016-10-22,0,1,0,0.10588300228118896,0.10588300228118896,3,Crystal Palace,0,127238,0,Danny Simpson,2016,1,90,DR,544,0,Leicester,0.10588300228118896,0
2016-10-02,0,0,0,0,0,0,Southampton,0,127156,0,Danny Simpson,2016,0,90,DR,528,0,Leicester,0,0
2016-09-24,0,0,0,0.10126200318336487,0,4,Leicester,0,126648,0,Danny Simpson,2016,1,90,DR,511,0,Manchester United,0.10126200318336487,0
2016-09-17,0,1,0,0.4422529935836792,0.03835190087556839,3,Burnley,0,126356,0,Danny Simpson,2016,0,90,DR,503,0,Leicester,0.40390101075172424,0
2016-09-10,0,0,0,0,0,4,Leicester,0,126066,0,Danny Simpson,2016,1,33,DR,498,0,Liverpool,0,0
2016-08-27,0,0,0,0.38016000390052795,0,2,Swansea,0,125801,0,Danny Simpson,2016,1,90,DR,483,0,Leicester,0.38016000390052795,0
2016-08-20,0,0,0,0,0,0,Arsenal,0,125414,0,Danny Simpson,2016,0,90,DR,478,0,Leicester,0,0
2016-08-13,0,0,0,0.4627690017223358,0,2,Leicester,0,125043,0,Danny Simpson,2016,1,85,DR,461,0,Hull,0.4627690017223358,0
