date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2017-05-21,0.015332999639213085,0,0,0.31751999258995056,3,Middlesbrough,125294,0,Grant Leadbitter,2016,0,90,MC,3515,0.0,0.3021869957447052,1,Liverpool,0.015332999639213085,0
2017-05-13,0.0,0,0,0.13735699653625488,1,Southampton,135325,0,Grant Leadbitter,2016,2,28,Sub,3504,0.0,0.13735699653625488,0,Middlesbrough,0.0,0
2017-05-08,0.009306609630584717,0,0,0.009306609630584717,3,Middlesbrough,134868,0,Grant Leadbitter,2016,0,33,Sub,3493,0.0,0.0,1,Chelsea,0.009306609630584717,0
2017-04-17,0.10932900011539459,0,0,0.0,1,Arsenal,134711,0,Grant Leadbitter,2016,2,90,MC,3461,0.0,0.0,3,Middlesbrough,0.10932900011539459,0
2017-04-08,0.012185500003397465,2,0,0.10791999846696854,0,Burnley,133471,0,Grant Leadbitter,2016,0,90,MC,3456,0.09083700180053711,0.09573479741811752,1,Middlesbrough,0.012185500003397465,0
2017-03-19,0.0132106002420187,1,0,0.28606900572776794,1,Manchester United,133498,0,Grant Leadbitter,2016,3,68,MC,3425,0.05552290007472038,0.27285900712013245,1,Middlesbrough,0.0132106002420187,0
2017-03-04,0.09012170135974884,4,0,0.17872600257396698,2,Middlesbrough,133021,0,Grant Leadbitter,2016,0,77,MC,3403,0.10736099630594254,0.0,2,Stoke,0.09012170135974884,0
2017-01-14,0.10649800300598145,0,0,0.10649800300598145,0,Middlesbrough,131090,0,Grant Leadbitter,2016,0,90,MC,3341,0.0,0.0,1,Watford,0.10649800300598145,0
2017-01-02,0.0,0,0,0.0,0,Leicester,129543,0,Grant Leadbitter,2016,0,1,Sub,3330,0.0,0.0,0,Middlesbrough,0.0,0
2016-12-31,0.3603549897670746,0,1,0.3603549897670746,2,Middlesbrough,130676,0,Grant Leadbitter,2016,1,80,MC,3159,0.0,0.0,2,Manchester United,0.3603549897670746,1
2016-12-14,0.0,0,0,0.0,0,Liverpool,130693,0,Grant Leadbitter,2016,3,33,Sub,3127,0.0,0.0,0,Middlesbrough,0.0,0
2016-11-20,0.0,0,0,0.0,0,Chelsea,128438,0,Grant Leadbitter,2016,1,1,Sub,2705,0.0,0.0,0,Middlesbrough,0.0,0
2016-10-29,0.03951200097799301,1,0,0.11415500193834305,2,Bournemouth,127692,0,Grant Leadbitter,2016,0,26,Sub,2681,0.03869929909706116,0.035943299531936646,1,Middlesbrough,0.03951200097799301,0
