date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-05-21,0,0,0,0.050645701587200165,0,0,Manchester City,0,125385,0,Heurelho Gomes,2016,5,90,GK,3519,0,Watford,0.050645701587200165,0
2017-05-15,0,0,0,0.01556409988552332,0,4,Watford,0,132410,0,Heurelho Gomes,2016,3,90,GK,3414,0,Chelsea,0.01556409988552332,0
2017-05-12,0,0,0,0.02312679961323738,0,1,Watford,0,135271,0,Heurelho Gomes,2016,0,90,GK,3502,0,Everton,0.02312679961323738,0
2017-05-06,0,0,0,0.03500039875507355,0,3,Watford,0,134965,0,Heurelho Gomes,2016,0,90,GK,3495,0,Leicester,0.03500039875507355,0
2017-05-01,0,0,0,0.013778099790215492,0,0,Liverpool,0,134565,0,Heurelho Gomes,2016,1,90,GK,3488,0,Watford,0.013778099790215492,0
2017-04-22,0,0,0,0,0,2,Watford,0,134196,0,Heurelho Gomes,2016,0,90,GK,3474,0,Hull,0,0
2017-04-15,0,0,0,0.0390653982758522,0,1,Swansea,0,134979,0,Heurelho Gomes,2016,0,90,GK,3466,0,Watford,0.0390653982758522,0
2017-04-08,0,0,0,0,0,4,Watford,0,133806,0,Heurelho Gomes,2016,0,90,GK,3453,0,Tottenham,0,0
2017-04-04,0,0,0,0.028981000185012817,0,2,West Bromwich Albion,0,132535,0,Heurelho Gomes,2016,0,90,GK,3443,0,Watford,0.028981000185012817,0
2017-04-01,0,0,0,0.0766574963927269,0,1,Sunderland,0,133191,0,Heurelho Gomes,2016,0,90,GK,3439,0,Watford,0.0766574963927269,0
2017-03-18,0,0,0,0,0,1,Watford,0,133177,0,Heurelho Gomes,2016,0,90,GK,3428,0,Crystal Palace,0,0
2017-03-04,0,0,0,0,0,3,Southampton,0,133437,0,Heurelho Gomes,2016,4,90,GK,3407,0,Watford,0,0
2017-02-25,0,0,0,0,0,1,West Ham,0,132041,0,Heurelho Gomes,2016,1,90,GK,3396,0,Watford,0,0
2017-02-11,0,0,0,0,0,2,Watford,0,130832,0,Heurelho Gomes,2016,0,90,GK,3381,0,Manchester United,0,0
2017-02-04,0,0,0,0,0,2,Burnley,0,130163,0,Heurelho Gomes,2016,1,90,GK,3374,0,Watford,0,0
2017-01-31,0,0,0,0,0,1,Watford,0,132082,0,Heurelho Gomes,2016,2,90,GK,3360,0,Arsenal,0,0
2017-01-21,0,0,0,0,0,2,Watford,0,131388,0,Heurelho Gomes,2016,2,90,GK,3352,0,Bournemouth,0,0
2017-01-14,0,0,0,0.024677300825715065,0,0,Middlesbrough,0,131069,0,Heurelho Gomes,2016,0,67,GK,3341,0,Watford,0.024677300825715065,0
2017-01-04,0,0,0,0,0,2,Watford,0,129655,0,Heurelho Gomes,2016,0,90,GK,3338,0,Stoke,0,0
2017-01-01,0,0,0,0.03627439960837364,0,1,Tottenham,0,130985,0,Heurelho Gomes,2016,4,90,GK,3328,0,Watford,0.03627439960837364,0
2016-12-26,0,0,0,0.03566410019993782,0,1,Crystal Palace,0,129889,0,Heurelho Gomes,2016,1,90,GK,3145,0,Watford,0.03566410019993782,0
2016-12-17,0,1,0,0,0.04041919857263565,1,Watford,0,128712,0,Heurelho Gomes,2016,0,90,GK,3139,0,Sunderland,0,0
2016-12-15,0,0,0,0,0,2,Watford,0,131332,0,Heurelho Gomes,2016,0,90,GK,3132,0,Manchester City,0,0
2016-12-10,0,0,0,0,0,3,Everton,0,130463,0,Heurelho Gomes,2016,2,90,GK,3115,0,Watford,0,0
2016-12-03,0,0,0,0,0,3,Watford,0,128991,0,Heurelho Gomes,2016,1,90,GK,3110,0,West Bromwich Albion,0,0
2016-11-27,0,0,0,0.0675031989812851,0,0,Stoke,0,128291,0,Heurelho Gomes,2016,1,90,GK,2713,0,Watford,0.0675031989812851,0
2016-11-19,0,0,0,0,0,2,Leicester,0,128838,0,Heurelho Gomes,2016,1,90,GK,2701,0,Watford,0,0
2016-11-06,0,0,0,0,0,6,Watford,0,128055,0,Heurelho Gomes,2016,1,32,GK,2693,0,Liverpool,0,0
2016-10-29,0,0,0,0.13963399827480316,0,1,Hull,0,127847,0,Heurelho Gomes,2016,0,90,GK,2679,0,Watford,0.13963399827480316,0
2016-10-22,0,0,0,0,0,0,Watford,0,127417,0,Heurelho Gomes,2016,0,90,GK,543,0,Swansea,0,0
2016-10-16,0,0,0,0,0,0,Watford,0,126870,0,Heurelho Gomes,2016,1,90,GK,538,0,Middlesbrough,0,0
2016-10-01,0,0,0,0,0,2,Bournemouth,0,127430,0,Heurelho Gomes,2016,2,90,GK,525,0,Watford,0,0
2016-09-26,0,0,0,0,0,2,Watford,0,126591,0,Heurelho Gomes,2016,0,90,GK,520,0,Burnley,0,0
2016-09-18,0,0,0,0.0227035004645586,0,3,Manchester United,0,126466,0,Heurelho Gomes,2016,1,90,GK,507,0,Watford,0.0227035004645586,0
2016-09-10,0,0,0,0,0,2,Watford,0,126231,0,Heurelho Gomes,2016,4,90,GK,497,0,West Ham,0,0
2016-08-27,0,0,0,0.01718739978969097,0,1,Arsenal,0,125912,0,Heurelho Gomes,2016,3,90,GK,482,0,Watford,0.01718739978969097,0
2016-08-20,0,0,0,0,0,1,Chelsea,0,125605,0,Heurelho Gomes,2016,2,90,GK,476,0,Watford,0,0
2016-08-13,0,0,0,0.1026500016450882,0,1,Watford,0,125124,0,Heurelho Gomes,2016,1,90,GK,466,0,Southampton,0.1026500016450882,0
