date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-05-21,1.1070499420166016,1,1,1.2523200511932373,0.14527399837970734,1,Bournemouth,1.1070499420166016,125258,0,Jamie Vardy,2016,1,90,FW,3514,3,Leicester,0,1
2017-05-18,0.058902401477098465,1,0,0.07956290245056152,0.02066049911081791,1,Tottenham,0.058902401477098465,134220,0,Jamie Vardy,2016,6,79,FW,3475,1,Leicester,0,0
2017-05-13,0.1631219983100891,1,0,0.2750140130519867,0.11189299821853638,2,Leicester,0.1631219983100891,135309,0,Jamie Vardy,2016,1,90,FW,3503,2,Manchester City,0,0
2017-05-06,0.3173860013484955,1,0,0.5130000114440918,0.11786500364542007,3,Watford,0.3173860013484955,134961,1,Jamie Vardy,2016,0,90,FW,3495,2,Leicester,0.07774890214204788,0
2017-04-29,0.3215219974517822,1,1,0.39435601234436035,0.07283320277929306,0,Leicester,0.3215219974517822,134645,0,Jamie Vardy,2016,1,90,FW,3489,1,West Bromwich Albion,0,1
2017-04-26,0.17666000127792358,0,0,0.08011519908905029,0,1,Leicester,0.17666000127792358,133762,0,Jamie Vardy,2016,0,90,FW,3410,2,Arsenal,0,0
2017-04-15,0.15537799894809723,0,1,0.15537799894809723,0,2,Leicester,0.15537799894809723,134150,0,Jamie Vardy,2016,2,90,FW,3468,1,Crystal Palace,0,1
2017-04-09,0,1,0,0,0.07477190345525742,4,Leicester,0,133268,0,Jamie Vardy,2016,2,64,FW,3458,0,Everton,0,0
2017-04-04,0.20095199346542358,0,1,0.3647820055484772,0,2,Sunderland,0.20095199346542358,132378,0,Jamie Vardy,2016,0,90,FW,3445,3,Leicester,0.1638289988040924,1
2017-04-01,0.2725459933280945,2,1,0.8092859983444214,0.7014430165290833,2,Stoke,0.2725459933280945,132684,0,Jamie Vardy,2016,0,83,FW,3434,2,Leicester,0,1
2017-03-18,0.9560319781303406,1,1,0.35680699348449707,0.01214780006557703,2,Leicester,0.9560319781303406,134067,1,Jamie Vardy,2016,3,80,FW,3421,2,West Ham,0,1
2017-03-04,0,2,0,0.4744180142879486,0.4744180142879486,3,Hull,0,132162,1,Jamie Vardy,2016,1,90,FW,3400,0,Leicester,0.4603840112686157,0
2017-02-27,0.8971089720726013,2,2,0.9379839897155762,0.13495999574661255,3,Liverpool,0.8971089720726013,131774,0,Jamie Vardy,2016,1,90,FW,3399,4,Leicester,0.4333930015563965,2
2017-02-12,0.18433499336242676,0,0,0.5078309774398804,0,2,Leicester,0.18433499336242676,131285,0,Jamie Vardy,2016,0,90,FW,3388,2,Swansea,0.323496013879776,0
2017-02-05,0.06178240105509758,2,0,0.1386999934911728,0.0972181037068367,0,Manchester United,0.06178240105509758,129735,0,Jamie Vardy,2016,3,90,FW,3379,1,Leicester,0.07691779732704163,0
2017-01-31,0.36312198638916016,2,0,0.42120999097824097,0.05808810144662857,1,Leicester,0.36312198638916016,132201,0,Jamie Vardy,2016,0,90,FW,3362,3,Burnley,0,0
2017-01-22,0,1,0,0.016237199306488037,0.016237199306488037,3,Leicester,0,131898,0,Jamie Vardy,2016,0,90,FW,3357,0,Southampton,0,0
2017-01-14,0,2,0,0.0778317004442215,0.0778317004442215,0,Chelsea,0,130529,0,Jamie Vardy,2016,3,90,FW,3347,0,Leicester,0,0
2016-12-17,0.13190999627113342,0,0,0.18626199662685394,0,2,Leicester,0.13190999627113342,128641,0,Jamie Vardy,2016,2,27,FW,3138,2,Stoke,0.05435140058398247,0
2016-12-13,0.6257169842720032,2,0,0.7535290122032166,0.6732040047645569,1,Leicester,0.6257169842720032,130597,0,Jamie Vardy,2016,0,90,FW,3125,2,Bournemouth,0.08075190335512161,0
2016-12-10,1.2771899700164795,0,3,1.2771899700164795,0,4,Manchester City,1.2771899700164795,129926,0,Jamie Vardy,2016,2,90,FW,3120,3,Leicester,0,3
2016-12-03,0.12384700030088425,0,0,0.4184289872646332,0,2,Leicester,0.12384700030088425,128834,0,Jamie Vardy,2016,1,90,FW,3108,2,Sunderland,0.4184289872646332,0
2016-11-26,0,0,0,0,0,2,Middlesbrough,0,128024,0,Jamie Vardy,2016,2,66,FW,2711,0,Leicester,0,0
2016-11-19,0.021239999681711197,1,0,0.07707899808883667,0.05583890154957771,2,Leicester,0.021239999681711197,128861,0,Jamie Vardy,2016,1,90,FW,2701,1,Watford,0,0
2016-11-06,0.0959371030330658,0,0,0.5481230020523071,0,1,West Bromwich Albion,0.0959371030330658,128549,0,Jamie Vardy,2016,2,43,Sub,2696,1,Leicester,0.4521850049495697,0
2016-10-29,0,1,0,0.6041049957275391,0.5507240295410156,1,Leicester,0,127843,1,Jamie Vardy,2016,1,90,FW,2678,0,Tottenham,0.05338079854846001,0
2016-10-22,0,1,0,0.07445850223302841,0.5045179724693298,3,Crystal Palace,0,127249,0,Jamie Vardy,2016,1,14,Sub,544,0,Leicester,0.07445850223302841,0
2016-10-15,0.07249200344085693,0,0,0.07249200344085693,0,3,Leicester,0.07249200344085693,127676,0,Jamie Vardy,2016,0,90,FW,531,1,Chelsea,0,0
2016-10-02,0.05013610050082207,0,0,0.11755800247192383,0,0,Southampton,0.05013610050082207,127165,0,Jamie Vardy,2016,0,68,FW,528,1,Leicester,0.0674218013882637,0
2016-09-24,0,0,0,0,0,4,Leicester,0,126657,0,Jamie Vardy,2016,1,48,FW,511,0,Manchester United,0,0
2016-09-17,0.07333020120859146,3,0,0.6947190165519714,0.6213880181312561,3,Burnley,0.07333020120859146,126365,1,Jamie Vardy,2016,0,90,FW,503,1,Leicester,0,0
2016-09-10,0.8685479760169983,0,1,0.8984119892120361,0,4,Leicester,0.8685479760169983,126075,0,Jamie Vardy,2016,1,90,FW,498,3,Liverpool,0.029864799231290817,1
2016-08-27,0.3629390001296997,0,1,0.3629390001296997,0,2,Swansea,0.3629390001296997,125810,0,Jamie Vardy,2016,1,90,FW,483,3,Leicester,0,1
2016-08-20,0.1310410052537918,1,0,0.16890700161457062,0.01754930056631565,0,Arsenal,0.1310410052537918,125423,0,Jamie Vardy,2016,0,90,FW,478,2,Leicester,0.020316099748015404,0
2016-08-13,0.8769400119781494,2,0,1.0140299797058105,0.13708800077438354,2,Leicester,0.8769400119781494,125052,0,Jamie Vardy,2016,1,90,FW,461,2,Hull,0,0
