date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-05-16,0,0,0,0,0,3,West Bromwich Albion,0,134279,0,John Stones,2016,1,11,Sub,3477,0,Manchester City,0,0
2017-04-08,0.03847489878535271,0,0,0.49900901317596436,0,3,Hull,0.03847489878535271,133359,0,John Stones,2016,1,90,DC,3457,1,Manchester City,0.49900901317596436,0
2017-04-05,0.6851580142974854,0,0,0.24249200522899628,0,2,Manchester City,0.6851580142974854,132719,0,John Stones,2016,1,90,DC,3448,4,Chelsea,0.24249200522899628,0
2017-04-02,0.016996800899505615,0,0,0.11211899667978287,0,2,Manchester City,0.016996800899505615,132358,0,John Stones,2016,2,90,DC,3430,1,Arsenal,0.11211899667978287,0
2017-03-19,0.336234986782074,0,0,0.7214499711990356,0,1,Liverpool,0.336234986782074,133387,0,John Stones,2016,1,90,DC,3426,2,Manchester City,0.7214499711990356,0
2017-03-05,0,0,0,1.1175700426101685,0,0,Manchester City,0,133124,0,John Stones,2016,2,90,DC,3404,0,Sunderland,1.1175700426101685,0
2017-02-13,0,1,0,0.4065839946269989,0.01931910030543804,0,Manchester City,0,130508,0,John Stones,2016,2,90,DC,3389,0,Bournemouth,0.4065839946269989,0
2017-02-05,0,1,0,0.26774901151657104,0.011652300134301186,2,Swansea,0,129836,0,John Stones,2016,1,90,DC,3378,0,Manchester City,0.2560969889163971,0
2017-02-01,0,0,0,0,0,0,Manchester City,0,132302,0,John Stones,2016,4,90,DC,3367,0,West Ham,0,0
2017-01-21,0,0,0,0,0,2,Tottenham,0,131720,0,John Stones,2016,2,4,Sub,3356,0,Manchester City,0,0
2017-01-15,0.026923900470137596,0,0,0.027708400040864944,0,4,Manchester City,0.026923900470137596,130316,0,John Stones,2016,0,90,DC,3348,1,Everton,0.027708400040864944,0
2017-01-02,0,0,0,0,0,2,Burnley,0,129432,0,John Stones,2016,1,1,Sub,3332,0,Manchester City,0,0
2016-12-31,0,0,0,0.09959889948368073,0,1,Manchester City,0,130562,0,John Stones,2016,0,90,DC,3162,0,Liverpool,0.09959889948368073,0
2016-12-26,0,0,0,0,0,0,Manchester City,0,129296,0,John Stones,2016,3,17,DC,3152,0,Hull,0,0
2016-12-10,0,0,0,0.4294140040874481,0,4,Manchester City,0,129933,0,John Stones,2016,2,90,DC,3120,0,Leicester,0.4294140040874481,0
2016-12-03,0,0,0,0.21666699647903442,0,1,Chelsea,0,128566,0,John Stones,2016,3,80,DC,3105,0,Manchester City,0.21666699647903442,0
2016-11-05,0.02002199925482273,0,0,1.0106799602508545,0,1,Middlesbrough,0.02002199925482273,128099,0,John Stones,2016,1,90,DC,2689,1,Manchester City,1.0106799602508545,0
2016-10-29,0.2698250114917755,1,0,0.32026898860931396,0.18768499791622162,0,Manchester City,0.2698250114917755,127891,0,John Stones,2016,4,90,DC,2680,1,West Bromwich Albion,0.13258400559425354,0
2016-10-23,0,1,0,0.05505380034446716,0.01351850014179945,1,Southampton,0,127352,0,John Stones,2016,1,90,DC,549,0,Manchester City,0.05505380034446716,0
2016-10-15,0.014485100284218788,0,0,0.4247809946537018,0,1,Everton,0.014485100284218788,126831,0,John Stones,2016,1,90,DC,534,1,Manchester City,0.4247809946537018,0
2016-10-02,0,0,0,0.29145199060440063,0,2,Manchester City,0,127394,0,John Stones,2016,0,90,DC,529,0,Tottenham,0.29145199060440063,0
2016-09-24,0.05571870133280754,0,0,0.42510300874710083,0,1,Manchester City,0.05571870133280754,126762,0,John Stones,2016,3,90,DC,515,1,Swansea,0.42510300874710083,0
2016-09-17,0,0,0,0.028912900015711784,0,4,Bournemouth,0,126395,0,John Stones,2016,0,37,Sub,504,0,Manchester City,0.028912900015711784,0
2016-09-10,0,0,0,0.06514009833335876,0,1,Manchester City,0,126096,0,John Stones,2016,2,90,DC,491,0,Manchester United,0.06514009833335876,0
2016-08-28,0,0,0,0.508342981338501,0,3,West Ham,0,125831,0,John Stones,2016,1,61,DC,490,0,Manchester City,0.508342981338501,0
2016-08-20,0,0,0,0.4332660138607025,0,1,Manchester City,0,125512,0,John Stones,2016,4,90,DC,472,0,Stoke,0.4332660138607025,0
2016-08-13,0,0,0,0.07802289724349976,0,2,Sunderland,0,125059,0,John Stones,2016,1,90,DC,467,0,Manchester City,0.07802289724349976,0
