date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2017-05-12,0.0,1,0,0.1291079968214035,1,Watford,135282,0,Juan Zuñiga,2016,0,54,Sub,3502,0.02312679961323738,0.1059809997677803,0,Everton,0.0,0
2017-05-06,0.011695699766278267,0,0,0.1045520007610321,3,Watford,134976,0,Juan Zuñiga,2016,0,17,Sub,3495,0.0,0.09285590052604675,1,Leicester,0.011695699766278267,0
2017-04-22,0.0,1,0,0.017276499420404434,2,Watford,134207,0,Juan Zuñiga,2016,0,1,Sub,3474,0.017276499420404434,0.0,0,Hull,0.0,0
2017-04-08,0.0,0,0,0.0,4,Watford,133818,0,Juan Zuñiga,2016,0,30,Sub,3453,0.0,0.0,0,Tottenham,0.0,0
2017-04-01,0.0,0,0,0.05153010040521622,1,Sunderland,133202,0,Juan Zuñiga,2016,0,1,Sub,3439,0.0,0.05153010040521622,0,Watford,0.0,0
2017-01-14,0.0,0,0,0.0,0,Middlesbrough,131080,0,Juan Zuñiga,2016,0,1,Sub,3341,0.0,0.0,0,Watford,0.0,0
2016-12-26,0.026117799803614616,0,0,0.04617819935083389,1,Crystal Palace,129901,0,Juan Zuñiga,2016,1,87,Sub,3145,0.0,0.04617819935083389,1,Watford,0.026117799803614616,0
2016-12-17,0.0,0,0,0.0,1,Watford,128720,0,Juan Zuñiga,2016,0,58,ML,3139,0.0,0.0,0,Sunderland,0.0,0
2016-12-15,0.0,0,0,0.3603219985961914,2,Watford,131343,0,Juan Zuñiga,2016,0,61,Sub,3132,0.0,0.3603219985961914,0,Manchester City,0.0,0
2016-12-10,0.0,0,0,0.7584689855575562,3,Everton,130464,0,Juan Zuñiga,2016,2,90,DR,3115,0.0,0.7584689855575562,0,Watford,0.0,0
2016-12-03,0.0988771989941597,0,0,0.2173900008201599,3,Watford,128992,0,Juan Zuñiga,2016,1,79,DR,3110,0.0,0.11851199716329575,1,West Bromwich Albion,0.0988771989941597,0
2016-11-19,0.0,0,0,0.4194979965686798,2,Leicester,128845,0,Juan Zuñiga,2016,1,90,ML,2701,0.0,0.4194979965686798,0,Watford,0.0,0
2016-11-06,0.0,1,0,0.1000789999961853,6,Watford,128066,0,Juan Zuñiga,2016,1,1,Sub,2693,0.1000789999961853,0.1000789999961853,0,Liverpool,0.0,0
2016-10-29,0.0,1,0,0.08726110309362411,1,Hull,127859,0,Juan Zuñiga,2016,0,4,Sub,2679,0.08726110309362411,0.08726110309362411,0,Watford,0.0,0
2016-10-22,0.029997900128364563,1,0,0.045078400522470474,0,Watford,127418,0,Juan Zuñiga,2016,0,63,DR,543,0.015080500394105911,0.0,1,Swansea,0.029997900128364563,0
2016-10-16,0.0,0,0,0.0,0,Watford,126882,0,Juan Zuñiga,2016,1,17,Sub,538,0.0,0.0,0,Middlesbrough,0.0,0
2016-10-01,0.015175599604845047,0,0,0.0388358011841774,2,Bournemouth,127431,0,Juan Zuñiga,2016,2,90,DR,525,0.0,0.023660199716687202,1,Watford,0.015175599604845047,0
2016-09-26,0.0,0,0,0.0,2,Watford,126603,0,Juan Zuñiga,2016,0,42,Sub,520,0.0,0.0,0,Burnley,0.0,0
2016-09-18,0.36519500613212585,0,1,0.36519500613212585,3,Manchester United,126477,0,Juan Zuñiga,2016,1,4,Sub,507,0.0,0.0,1,Watford,0.36519500613212585,1
2016-08-20,0.0,0,0,0.0,1,Chelsea,125616,0,Juan Zuñiga,2016,2,1,Sub,476,0.0,0.0,0,Watford,0.0,0
2016-08-13,0.0,0,0,0.0,1,Watford,125135,0,Juan Zuñiga,2016,1,13,Sub,466,0.0,0.0,0,Southampton,0.0,0
