date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2017-05-21,0.052858199924230576,0,0,0.019673099741339684,0,Stoke,125332,0,Maya Yoshida,2016,1,90,DC,3517,0.0,0.019673099741339684,1,Southampton,0.052858199924230576,0
2017-05-17,0.0,0,0,0.11747899651527405,0,Manchester United,132947,0,Maya Yoshida,2016,0,90,DC,3412,0.0,0.11747899651527405,0,Southampton,0.0,0
2017-05-13,0.01384770032018423,0,0,0.0818943977355957,1,Southampton,135328,0,Maya Yoshida,2016,2,90,DC,3504,0.0,0.0818943977355957,1,Middlesbrough,0.01384770032018423,0
2017-05-10,0.009184329770505428,0,0,0.1718900054693222,0,Arsenal,131932,0,Maya Yoshida,2016,2,90,DC,3390,0.0,0.1718900054693222,1,Southampton,0.009184329770505428,0
2017-05-07,0.11269199848175049,0,0,0.0,0,Southampton,135023,0,Maya Yoshida,2016,0,90,DC,3496,0.0,0.0,1,Liverpool,0.11269199848175049,0
2017-04-29,0.0,0,0,0.0,0,Hull,134458,0,Maya Yoshida,2016,0,90,DC,3484,0.0,0.0,0,Southampton,0.0,0
2017-04-25,0.08329059928655624,2,0,0.04565479978919029,4,Southampton,134170,0,Maya Yoshida,2016,2,90,DC,3473,0.11184000223875046,0.04565479978919029,1,Chelsea,0.08329059928655624,0
2017-04-15,0.3296929895877838,0,0,0.0,0,Manchester City,134760,0,Maya Yoshida,2016,3,90,DC,3462,0.0,0.0,2,Southampton,0.3296929895877838,0
2017-04-08,0.0,0,0,0.03284610062837601,0,Southampton,133919,0,Maya Yoshida,2016,1,90,DC,3454,0.0,0.03284610062837601,0,West Bromwich Albion,0.0,0
2017-04-05,0.8536210060119629,0,1,1.275629997253418,3,Crystal Palace,132814,0,Maya Yoshida,2016,1,90,DC,3447,0.0,0.5119969844818115,2,Southampton,0.8536210060119629,1
2017-04-01,0.12388599663972855,0,0,0.21904000639915466,0,Bournemouth,132975,0,Maya Yoshida,2016,0,90,DC,3437,0.0,0.21904000639915466,1,Southampton,0.12388599663972855,0
2017-03-19,0.0,0,0,0.0,2,Southampton,133836,0,Maya Yoshida,2016,1,90,DC,3422,0.0,0.0,0,Tottenham,0.0,0
2017-03-04,0.09459179639816284,1,0,0.0,3,Southampton,133452,0,Maya Yoshida,2016,4,90,DC,3407,0.04979110136628151,0.0,1,Watford,0.09459179639816284,0
2017-02-11,0.0,0,0,0.20691800117492676,0,Southampton,131167,0,Maya Yoshida,2016,4,90,DC,3384,0.0,0.20691800117492676,0,Sunderland,0.0,0
2017-02-04,0.07003889977931976,0,0,0.26330599188804626,1,West Ham,129946,0,Maya Yoshida,2016,3,90,DC,3376,0.0,0.26330599188804626,1,Southampton,0.07003889977931976,0
2017-01-31,0.025284800678491592,0,0,0.5479689836502075,2,Southampton,132273,0,Maya Yoshida,2016,1,90,DC,3365,0.0,0.5479689836502075,1,Swansea,0.025284800678491592,0
2017-01-22,0.0,0,0,0.0,3,Leicester,131877,0,Maya Yoshida,2016,0,90,DC,3357,0.0,0.0,0,Southampton,0.0,0
2017-01-14,0.0,0,0,0.07917860150337219,1,Southampton,130207,0,Maya Yoshida,2016,0,90,DC,3345,0.0,0.07917860150337219,0,Burnley,0.0,0
2017-01-02,0.0,0,0,0.0,3,Southampton,129351,0,Maya Yoshida,2016,0,90,DC,3331,0.0,0.0,0,Everton,0.0,0
2016-12-31,0.0,0,0,0.0,1,West Bromwich Albion,130765,0,Maya Yoshida,2016,2,90,DC,3160,0.0,0.0,0,Southampton,0.0,0
2016-12-18,0.0,0,0,0.18832699954509735,1,Southampton,131584,0,Maya Yoshida,2016,3,90,DC,3141,0.0,0.18832699954509735,0,Bournemouth,0.0,0
2016-11-06,0.0325654000043869,1,0,0.45836201310157776,2,Southampton,128469,0,Maya Yoshida,2016,1,90,DR,2694,0.015533099882304668,0.4102639853954315,1,Hull,0.0325654000043869,0
2016-08-13,0.09870579838752747,0,0,0.02098879963159561,1,Watford,125112,0,Maya Yoshida,2016,1,90,DC,466,0.0,0.02098879963159561,1,Southampton,0.09870579838752747,0
