date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-05-20,0.15420599281787872,1,0,0.7190030217170715,0.020865699276328087,3,Nice,0.15420599281787872,122959,0,Memphis Depay,2016,3,90,AML,4289,2,Lyon,0.5647969841957092,0
2017-05-14,0.09493199735879898,2,0,0.5404459834098816,0.3774870038032532,1,Lyon,0.09493199735879898,124749,1,Memphis Depay,2016,3,77,AML,4277,2,Montpellier,0.21329399943351746,0
2017-05-07,0.044907599687576294,3,0,0.08134520053863525,0.630158007144928,3,Nantes,0.044907599687576294,124210,2,Memphis Depay,2016,2,90,AML,4270,2,Lyon,0.05960389971733093,0
2017-04-23,0.433133989572525,2,0,0.4678010046482086,0.0906480997800827,1,Monaco,0.433133989572525,122793,1,Memphis Depay,2016,2,90,FWL,4249,1,Lyon,0.03466729819774628,0
2017-04-08,0.5798259973526001,2,0,0.8610910177230835,0.10718400031328201,1,Lorient,0.5798259973526001,122738,1,Memphis Depay,2016,4,90,FWL,4230,5,Lyon,0.19636300206184387,0
2017-04-02,0.09688659757375717,1,0,0.31030699610710144,0.13682100176811218,1,Lyon,0.09688659757375717,121730,0,Memphis Depay,2016,1,18,Sub,4220,1,Rennes,0.07660029828548431,0
2017-03-19,0.05135729908943176,0,0,0.022565100342035294,0,2,Lyon,0.05135729908943176,122058,0,Memphis Depay,2016,1,78,AML,4213,3,Paris Saint Germain,0.014905599877238274,0
2017-03-12,1.0047099590301514,3,2,1.125480055809021,0.16344699263572693,4,Toulouse,1.0047099590301514,121409,0,Memphis Depay,2016,0,88,FWL,4203,5,Lyon,0.08224020153284073,2
2017-03-03,0.46759700775146484,2,0,0.42780500650405884,0.08239690214395523,1,Lyon,0.46759700775146484,121616,0,Memphis Depay,2016,1,86,FWL,4186,3,Bordeaux,0.07059170305728912,0
2017-02-26,1.9979000091552734,6,2,2.4328300952911377,0.5434070229530334,5,Metz,1.9979000091552734,121109,1,Memphis Depay,2016,0,90,AML,4180,7,Lyon,0.06326659768819809,2
2017-02-19,0.9563050270080566,7,0,1.7056599855422974,1.1834299564361572,4,Dijon,0.9563050270080566,123767,1,Memphis Depay,2016,2,90,AML,4169,7,Lyon,0.22292199730873108,0
2017-02-11,0.3832840025424957,0,0,0.363552987575531,0,2,Lyon,0.3832840025424957,123365,0,Memphis Depay,2016,1,21,Sub,4164,3,Guingamp,0.033396098762750626,0
2017-02-08,0.45805901288986206,2,1,0.7025629878044128,0.5503860116004944,4,Nancy,0.45805901288986206,120781,0,Memphis Depay,2016,0,51,Sub,4149,2,Lyon,0.1760679930448532,1
2017-02-05,0.34637999534606934,0,0,0.3267500102519989,0,2,Lyon,0.34637999534606934,119275,0,Memphis Depay,2016,0,65,FWL,4135,3,Saint-Etienne,0.009878960438072681,0
2017-01-28,0.01393279992043972,0,0,0.01393279992043972,0,1,Lille,0.01393279992043972,118598,0,Memphis Depay,2016,2,67,AML,4133,1,Lyon,0,0
2017-01-22,0,0,0,0,0,3,Marseille,0,120067,0,Memphis Depay,2016,1,11,Sub,4124,0,Lyon,0,0
2016-10-29,0,0,0,0.01142009999603033,0,0,Burnley,0,127636,0,Memphis Depay,2016,0,6,Sub,2682,0,Manchester United,0.01142009999603033,0
2016-10-02,0,0,0,0,0,1,Stoke,0,127221,0,Memphis Depay,2016,1,5,Sub,527,0,Manchester United,0,0
2016-09-18,0,0,0,0,0,3,Manchester United,0,126491,0,Memphis Depay,2016,1,1,Sub,507,0,Watford,0,0
2016-08-14,0,0,0,0,0,1,Manchester United,0,124921,0,Memphis Depay,2016,3,1,Sub,468,0,Bournemouth,0,0
