date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-04-08,0.022875700145959854,1,0,0.022875700145959854,0.11580699682235718,1,Swansea,0.022875700145959854,134024,0,Michail Antonio,2016,0,39,AMC,3455,1,West Ham,0,0
2017-04-05,0.04146450012922287,0,0,0,0,3,West Ham,0.04146450012922287,133323,0,Michail Antonio,2016,0,48,ML,3440,1,Arsenal,0,0
2017-03-18,0.16159500181674957,3,0,0.7131519913673401,0.5515570044517517,2,Leicester,0.16159500181674957,134052,0,Michail Antonio,2016,3,90,AML,3421,3,West Ham,0,0
2017-03-11,0.35992398858070374,1,1,0.3409099876880646,0.05180620029568672,3,West Ham,0.35992398858070374,133870,0,Michail Antonio,2016,2,90,AMC,3411,6,Bournemouth,0.022651199251413345,1
2017-02-25,0.5920379757881165,1,0,1.2599899768829346,0.018033599480986595,1,West Ham,0.5920379757881165,132065,0,Michail Antonio,2016,1,90,FW,3396,3,Watford,0.6499180197715759,0
2017-02-11,0.10844899713993073,1,0,0.15982499718666077,0.016735799610614777,2,West Bromwich Albion,0.10844899713993073,131356,0,Michail Antonio,2016,2,90,FW,3385,2,West Ham,0.07424090057611465,0
2017-02-04,0.02531689964234829,1,0,0.05721240118145943,0.015051599591970444,1,West Ham,0.02531689964234829,129966,0,Michail Antonio,2016,3,90,FW,3376,1,Southampton,0.016844000667333603,0
2017-02-01,0.021077699959278107,1,0,0.06902369856834412,0.04794599860906601,0,Manchester City,0.021077699959278107,132293,0,Michail Antonio,2016,4,90,AMC,3367,1,West Ham,0,0
2017-01-21,0.6832659840583801,1,0,0.857653021812439,0.05034000054001808,1,West Ham,0.6832659840583801,131814,0,Michail Antonio,2016,3,90,FW,3351,4,Middlesbrough,0.12404700368642807,0
2017-01-14,0.0791746973991394,4,0,1.3987799882888794,1.3196099996566772,3,Crystal Palace,0.0791746973991394,131182,3,Michail Antonio,2016,0,90,MR,3346,1,West Ham,0.061990998685359955,0
2017-01-02,0.49500998854637146,2,0,0.3525570034980774,0.1469690054655075,0,Manchester United,0.49500998854637146,130088,0,Michail Antonio,2016,2,90,FW,3335,2,West Ham,0,0
2016-12-31,0.6066300272941589,0,0,0.6013190150260925,0,1,West Ham,0.6066300272941589,130456,0,Michail Antonio,2016,0,90,AMR,3156,5,Leicester,0.05598219856619835,0
2016-12-26,1.2756999731063843,0,1,1.460510015487671,0,1,West Ham,1.2756999731063843,129800,0,Michail Antonio,2016,4,85,AMR,3146,3,Swansea,0.18481199443340302,1
2016-12-17,0.1767520010471344,1,0,0.15180599689483643,0.04981959983706474,1,Hull,0.1767520010471344,128953,0,Michail Antonio,2016,0,90,MR,3137,2,West Ham,0.01598449982702732,0
2016-12-14,0.08203619718551636,1,0,0.2179660052061081,0.08920930325984955,1,Burnley,0.08203619718551636,130906,0,Michail Antonio,2016,0,90,MR,3129,2,West Ham,0.2179660052061081,0
2016-12-11,0.4712130129337311,0,1,0.4712130129337311,0,2,West Ham,0.4712130129337311,130048,0,Michail Antonio,2016,2,90,FW,3124,2,Liverpool,0,1
2016-11-27,0.02287380024790764,1,0,0.1587039977312088,0.13583099842071533,1,West Ham,0.02287380024790764,128141,0,Michail Antonio,2016,1,90,MR,2716,1,Manchester United,0,0
2016-11-19,0.6798030138015747,1,1,0.026365499943494797,0.021595900878310204,3,West Ham,0.6798030138015747,128772,0,Michail Antonio,2016,2,90,MR,2704,3,Tottenham,0.026365499943494797,1
2016-11-05,0.16738000512123108,0,0,0.03962799906730652,0,1,Stoke,0.16738000512123108,128211,0,Michail Antonio,2016,1,90,MR,2690,3,West Ham,0.018348300829529762,0
2016-10-30,0.22705499827861786,3,0,0.33624398708343506,0.2374500036239624,2,West Ham,0.22705499827861786,127592,0,Michail Antonio,2016,0,90,FW,2684,2,Everton,0,0
2016-10-22,0.02847369946539402,1,0,0.36945000290870667,0.049082498997449875,1,Sunderland,0.02847369946539402,127461,0,Michail Antonio,2016,0,65,MR,542,1,West Ham,0.29189398884773254,0
2016-10-15,0.019359799101948738,1,0,0.15382400155067444,0.07321009784936905,0,West Ham,0.019359799101948738,127726,0,Michail Antonio,2016,1,90,MR,537,1,Crystal Palace,0.061253901571035385,0
2016-10-01,0.1971679925918579,1,0,0.5175060033798218,0.02576499991118908,1,Middlesbrough,0.1971679925918579,127494,0,Michail Antonio,2016,1,90,FW,526,5,West Ham,0.3345459997653961,0
2016-09-25,0.143885999917984,1,0,0.20243099331855774,0.05854490026831627,0,Southampton,0.143885999917984,126780,0,Michail Antonio,2016,3,90,AMR,519,2,West Ham,0,0
2016-09-17,0.8730430006980896,2,1,0.962939977645874,0.2353930026292801,4,West Ham,0.8730430006980896,126515,0,Michail Antonio,2016,2,90,AMR,505,8,West Bromwich Albion,0.1415719985961914,1
2016-09-10,0.870760977268219,0,2,0.8218520283699036,0,2,Watford,0.870760977268219,126224,0,Michail Antonio,2016,4,90,AMR,497,7,West Ham,0,2
2016-08-28,0.5659170150756836,0,1,0.5659170150756836,0,3,West Ham,0.5659170150756836,125846,0,Michail Antonio,2016,1,90,DMR,490,1,Manchester City,0,1
2016-08-21,0.7920590043067932,2,1,0.9396489858627319,0.08009029924869537,1,Bournemouth,0.7920590043067932,125670,0,Michail Antonio,2016,0,90,AML,480,4,West Ham,0.7415869832038879,1
2016-08-15,0,0,0,0,0,2,West Ham,0,124964,0,Michail Antonio,2016,1,54,DR,470,0,Chelsea,0,0
