date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-05-21,0,0,0,0.5211340188980103,0,3,Everton,0,125145,0,Nacho Monreal,2016,1,90,ML,3510,0,Arsenal,0.5211340188980103,0
2017-05-16,0.02742459997534752,1,0,1.1168500185012817,0.020125899463891983,2,Sunderland,0.02742459997534752,135091,0,Nacho Monreal,2016,0,90,DC,3470,1,Arsenal,1.0967299938201904,0
2017-05-13,0.30165600776672363,0,0,0.7188559770584106,0,1,Arsenal,0.30165600776672363,133678,0,Nacho Monreal,2016,4,90,ML,3505,1,Stoke,0.4171999990940094,0
2017-05-10,0,0,0,0.350629985332489,0,0,Arsenal,0,131946,0,Nacho Monreal,2016,2,90,DC,3390,0,Southampton,0.350629985332489,0
2017-05-07,0,0,0,0,0,2,Manchester United,0,134678,0,Nacho Monreal,2016,0,90,DC,3490,0,Arsenal,0,0
2017-04-30,0,0,0,0.061456698924303055,0,2,Arsenal,0,134554,0,Nacho Monreal,2016,0,90,DC,3487,0,Tottenham,0.061456698924303055,0
2017-04-26,0.046550098806619644,0,0,0.11900199949741364,0,1,Leicester,0.046550098806619644,133741,0,Nacho Monreal,2016,0,90,DC,3410,1,Arsenal,0.0724513977766037,0
2017-04-17,0.013459299691021442,0,0,0.3077850043773651,0,1,Arsenal,0.013459299691021442,134725,0,Nacho Monreal,2016,2,90,ML,3461,1,Middlesbrough,0.3077850043773651,0
2017-04-10,0,1,0,0.0702069029211998,0.05335019901394844,3,Arsenal,0,133153,0,Nacho Monreal,2016,0,90,DL,3459,0,Crystal Palace,0.01685670018196106,0
2017-04-05,0,0,0,0.11840400099754333,0,3,West Ham,0,133304,0,Nacho Monreal,2016,0,90,DL,3440,0,Arsenal,0.11840400099754333,0
2017-04-02,0.029569299891591072,0,0,0.09579320251941681,0,2,Manchester City,0.029569299891591072,132345,0,Nacho Monreal,2016,2,90,DL,3430,1,Arsenal,0.09579320251941681,0
2017-03-18,0.028883900493383408,0,0,0.16909000277519226,0,3,Arsenal,0.028883900493383408,133949,0,Nacho Monreal,2016,1,90,DL,3420,1,West Bromwich Albion,0.1402059942483902,0
2017-03-04,0,1,0,0.13861499726772308,0.13861499726772308,3,Arsenal,0,132802,0,Nacho Monreal,2016,1,90,DL,3401,0,Liverpool,0,0
2017-02-04,0,1,0,0.3907960057258606,0.29176199436187744,3,Arsenal,0,129325,1,Nacho Monreal,2016,1,90,DL,3370,0,Chelsea,0.3907960057258606,0
2017-01-31,0.015027100220322609,0,0,0.2738330066204071,0,1,Watford,0.015027100220322609,132072,0,Nacho Monreal,2016,2,90,DL,3360,1,Arsenal,0.2738330066204071,0
2017-01-22,0.037980999797582626,1,0,0.40685200691223145,0.06937229633331299,2,Burnley,0.037980999797582626,131294,0,Nacho Monreal,2016,1,90,DL,3358,1,Arsenal,0.3688710033893585,0
2017-01-14,0,0,0,0.08978089690208435,0,0,Arsenal,0,130864,0,Nacho Monreal,2016,4,90,DL,3343,0,Swansea,0.08978089690208435,0
2017-01-03,0,0,0,0.10205099731683731,0,3,Arsenal,0,131113,0,Nacho Monreal,2016,3,90,DL,3336,0,Bournemouth,0.10205099731683731,0
