date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-05-21,0.12216199934482574,2,0,0.7495710253715515,0.11503099650144577,3,Middlesbrough,0.12216199934482574,125276,0,Nathaniel Clyne,2016,0,90,DR,3515,2,Liverpool,0.5123779773712158,0
2017-05-14,0,1,0,0.04364490136504173,0.024553600698709488,0,Liverpool,0,134114,0,Nathaniel Clyne,2016,4,90,DR,3509,0,West Ham,0.04364490136504173,0
2017-05-07,0,1,0,0.064068503677845,0.027309099212288857,0,Southampton,0,135008,0,Nathaniel Clyne,2016,0,90,DR,3496,0,Liverpool,0.0367593988776207,0
2017-05-01,0.018456099554896355,0,0,0.03411509841680527,0,0,Liverpool,0.018456099554896355,134580,0,Nathaniel Clyne,2016,1,90,DR,3488,1,Watford,0.015659000724554062,0
2017-04-23,0,1,0,0.14218200743198395,0.08192980289459229,1,Crystal Palace,0,134239,0,Nathaniel Clyne,2016,2,86,DR,3476,0,Liverpool,0.0602525994181633,0
2017-04-16,0,0,0,0.3716210126876831,0,0,Liverpool,0,135049,0,Nathaniel Clyne,2016,1,90,DR,3469,0,West Bromwich Albion,0.3716210126876831,0
2017-04-08,0,1,0,0.1775590032339096,0.031694598495960236,1,Liverpool,0,133593,0,Nathaniel Clyne,2016,2,90,DML,3451,0,Stoke,0.14586399495601654,0
2017-04-05,0.05401340126991272,0,0,0.8617619872093201,0,2,Bournemouth,0.05401340126991272,132921,0,Nathaniel Clyne,2016,2,90,DR,3449,2,Liverpool,0.807748019695282,0
2017-04-01,0,0,0,0.10188599675893784,0,3,Everton,0,132757,0,Nathaniel Clyne,2016,1,90,DR,3435,0,Liverpool,0.10188599675893784,0
2017-03-19,0,0,0,0.22698399424552917,0,1,Liverpool,0,133398,0,Nathaniel Clyne,2016,1,90,DR,3426,0,Manchester City,0.22698399424552917,0
2017-03-12,0,1,0,0.02122120000422001,0.02122120000422001,2,Burnley,0,125442,0,Nathaniel Clyne,2016,1,90,DR,3419,0,Liverpool,0,0
2017-03-04,0,1,0,0.17948099970817566,0.0366269014775753,3,Arsenal,0,132785,0,Nathaniel Clyne,2016,1,90,DR,3401,0,Liverpool,0.1428540050983429,0
2017-02-27,0.03650389984250069,3,0,0.4709109961986542,0.18678699433803558,3,Liverpool,0.03650389984250069,131779,0,Nathaniel Clyne,2016,1,90,DR,3399,1,Leicester,0.31748101115226746,0
2017-02-11,0.049118898808956146,2,0,0.2510960102081299,0.13194599747657776,2,Tottenham,0.049118898808956146,130711,0,Nathaniel Clyne,2016,0,90,DR,3386,1,Liverpool,0.07003069669008255,0
2017-02-04,0,0,0,0.04796519875526428,0,2,Liverpool,0,129629,0,Nathaniel Clyne,2016,0,90,DR,3373,0,Hull,0.04796519875526428,0
2017-01-31,0,1,0,0.8072739839553833,0.012379099614918232,1,Chelsea,0,129143,0,Nathaniel Clyne,2016,1,90,DR,3366,0,Liverpool,0.8072739839553833,0
2017-01-21,0.013174699619412422,1,0,0.6130430102348328,0.025445900857448578,2,Swansea,0.013174699619412422,131625,0,Nathaniel Clyne,2016,3,90,DR,3350,1,Liverpool,0.6130430102348328,0
2017-01-02,0,2,0,0.7326700091362,0.669061005115509,2,Liverpool,0,129766,0,Nathaniel Clyne,2016,2,90,DR,3334,0,Sunderland,0.6940889954566956,0
2016-12-31,0.1024480015039444,0,0,0.14286500215530396,0,1,Manchester City,0.1024480015039444,130548,0,Nathaniel Clyne,2016,0,90,DR,3162,1,Liverpool,0.040417201817035675,0
2016-12-27,0,0,0,0.14565899968147278,0,4,Stoke,0,129448,0,Nathaniel Clyne,2016,1,90,DR,3153,0,Liverpool,0.14565899968147278,0
2016-12-20,0.06405790150165558,4,0,0.396807998418808,0.30610400438308716,0,Liverpool,0.06405790150165558,131751,0,Nathaniel Clyne,2016,1,90,DR,3144,1,Everton,0.19924800097942352,0
2016-12-14,0,2,0,1.6931999921798706,0.5608320236206055,0,Liverpool,0,130697,1,Nathaniel Clyne,2016,3,90,DR,3127,0,Middlesbrough,1.6931999921798706,0
2016-12-11,0.06709150224924088,1,0,0.5187119841575623,0.07471589744091034,2,West Ham,0.06709150224924088,130027,0,Nathaniel Clyne,2016,2,90,DR,3124,1,Liverpool,0.3769040107727051,0
2016-12-04,0.0316024012863636,2,0,0.5824670195579529,0.541018009185791,4,Liverpool,0.0316024012863636,128359,0,Nathaniel Clyne,2016,3,90,DR,3112,1,Bournemouth,0.5508649945259094,0
2016-11-26,0.03448159992694855,2,0,0.11912299692630768,0.056391701102256775,2,Sunderland,0.03448159992694855,128070,0,Nathaniel Clyne,2016,0,90,DR,2710,2,Liverpool,0.02824929915368557,0
2016-11-19,0.4132309854030609,0,0,0.49437999725341797,0,0,Liverpool,0.4132309854030609,128524,0,Nathaniel Clyne,2016,0,90,DR,2698,1,Southampton,0.08114960044622421,0
2016-11-06,0,2,0,0.4153290092945099,0.15327200293540955,6,Watford,0,128042,0,Nathaniel Clyne,2016,1,90,DR,2693,0,Liverpool,0.37251800298690796,0
2016-10-29,0,1,0,1.0430999994277954,0.44599899649620056,2,Liverpool,0,127527,0,Nathaniel Clyne,2016,4,90,DR,2683,0,Crystal Palace,0.5971029996871948,0
