date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2017-05-21,0.34311801195144653,1,0,0.38069799542427063,3,Everton,125163,0,Ross Barkley,2016,1,65,Sub,3510,0.11485099792480469,0.03757999837398529,6,Arsenal,0.34311801195144653,0
2017-05-12,0.20989899337291718,1,1,0.2523129880428314,1,Watford,135265,0,Ross Barkley,2016,0,83,FWR,3502,0.037859201431274414,0.021608000621199608,4,Everton,0.20989899337291718,1
2017-05-06,0.0,2,0,0.03907819837331772,1,Everton,135144,0,Ross Barkley,2016,0,43,Sub,3498,0.10555399954319,0.0,0,Swansea,0.0,0
2017-04-30,0.11169999837875366,2,0,0.20064400136470795,0,Chelsea,134382,0,Ross Barkley,2016,3,90,AMC,3481,0.08546660095453262,0.06175319850444794,2,Everton,0.11169999837875366,0
2017-04-22,0.0,1,0,0.04307600110769272,0,Everton,134342,0,Ross Barkley,2016,0,90,FWR,3479,0.018101699650287628,0.02497429959475994,0,West Ham,0.0,0
2017-04-15,0.22328299283981323,4,0,0.7359049916267395,3,Burnley,134601,0,Ross Barkley,2016,1,90,FWR,3467,0.22106699645519257,0.5025010108947754,7,Everton,0.22328299283981323,0
2017-04-09,0.6769989728927612,2,0,1.0313899517059326,4,Leicester,133254,1,Ross Barkley,2016,2,90,FWR,3458,0.3222390115261078,0.059467900544404984,3,Everton,0.6769989728927612,0
2017-04-04,0.0,3,0,0.07980640232563019,1,Everton,132640,0,Ross Barkley,2016,1,82,AMR,3446,0.10815999656915665,0.04930479824542999,0,Manchester United,0.0,0
2017-04-01,0.08411149680614471,1,0,0.12360300123691559,3,Everton,132778,0,Ross Barkley,2016,1,90,FWR,3435,0.35160401463508606,0.08418480306863785,2,Liverpool,0.08411149680614471,0
2017-03-18,0.1053289994597435,3,0,1.4412100315093994,4,Hull,133278,0,Ross Barkley,2016,0,90,MR,3427,0.27884799242019653,1.18996000289917,1,Everton,0.1053289994597435,0
2017-03-11,0.22445599734783173,1,0,1.3352999687194824,3,West Bromwich Albion,132570,1,Ross Barkley,2016,0,90,AMR,3416,0.5547149777412415,0.6019740104675293,6,Everton,0.22445599734783173,0
2017-03-05,0.031808000057935715,4,0,0.07866810262203217,3,Everton,133351,1,Ross Barkley,2016,2,90,AMC,3406,0.48746100068092346,0.054025501012802124,1,Tottenham,0.031808000057935715,0
2017-02-25,0.34866100549697876,5,0,0.3982439935207367,2,Sunderland,131604,0,Ross Barkley,2016,0,84,FWR,3393,0.19933100044727325,0.3262389898300171,2,Everton,0.34866100549697876,0
2017-02-11,0.023217400535941124,2,0,0.5332599878311157,0,Everton,130951,0,Ross Barkley,2016,0,89,FWR,3382,0.43747198581695557,0.39107799530029297,1,Middlesbrough,0.023217400535941124,0
2017-02-04,0.5947690010070801,3,1,1.327589988708496,6,Bournemouth,129511,1,Ross Barkley,2016,3,90,FWR,3372,0.6675249934196472,0.5366420149803162,2,Everton,0.5947690010070801,1
2017-02-01,0.10525400191545486,2,0,0.4594520032405853,1,Everton,129246,0,Ross Barkley,2016,1,90,MC,3369,0.07401060312986374,0.4233880043029785,3,Stoke,0.10525400191545486,0
2017-01-21,0.23181000351905823,0,0,0.24871200323104858,0,Everton,131561,0,Ross Barkley,2016,1,90,MC,3353,0.0,0.02795260027050972,5,Crystal Palace,0.23181000351905823,0
2017-01-15,0.0,4,0,0.35368600487709045,4,Manchester City,130306,2,Ross Barkley,2016,0,90,MC,3348,0.35368600487709045,0.0,0,Everton,0.0,0
2017-01-02,0.07613269984722137,4,0,0.30222800374031067,3,Southampton,129344,0,Ross Barkley,2016,0,88,AML,3331,0.2579500079154968,0.050954800099134445,2,Everton,0.07613269984722137,0
2016-12-31,0.2698250114917755,2,1,0.9095739722251892,2,Everton,130346,0,Ross Barkley,2016,2,90,AMC,3155,0.11359699815511703,0.5927979946136475,5,Hull,0.2698250114917755,1
2016-12-26,0.0,0,0,0.6191719770431519,0,Everton,129390,0,Ross Barkley,2016,2,12,Sub,3148,0.0,0.6191719770431519,0,Leicester,0.0,0
2016-12-20,0.023698100820183754,2,0,0.050724200904369354,0,Liverpool,131744,0,Ross Barkley,2016,1,90,AMC,3144,0.32622799277305603,0.0270261000841856,1,Everton,0.023698100820183754,0
2016-12-13,0.13635200262069702,3,0,0.4628300070762634,2,Arsenal,131241,1,Ross Barkley,2016,1,90,MC,3126,0.45913198590278625,0.39902999997138977,3,Everton,0.13635200262069702,0
2016-12-10,0.1255899965763092,2,0,0.13034600019454956,3,Everton,130489,0,Ross Barkley,2016,2,24,Sub,3115,0.07830870151519775,0.0,2,Watford,0.1255899965763092,0
2016-11-27,0.04934249818325043,2,0,0.07217609882354736,1,Everton,128201,0,Ross Barkley,2016,0,72,AMC,2715,0.04307520017027855,0.0,1,Southampton,0.04934249818325043,0
2016-11-19,0.2700270116329193,3,0,1.1419399976730347,1,Swansea,128325,0,Ross Barkley,2016,1,90,AMC,2702,0.09907960146665573,0.9230750203132629,2,Everton,0.2700270116329193,0
2016-11-05,0.0,1,0,0.0,5,Everton,128007,0,Ross Barkley,2016,0,90,MC,2691,0.013132099993526936,0.0,0,Chelsea,0.0,0
2016-10-30,0.6421520113945007,3,1,0.7458950281143188,2,West Ham,127576,0,Ross Barkley,2016,0,89,AMC,2684,0.13240300118923187,0.0,5,Everton,0.6421520113945007,1
2016-10-22,0.1554969996213913,1,0,0.29002100229263306,2,Everton,127091,0,Ross Barkley,2016,1,90,MC,546,0.02073800005018711,0.13323000073432922,4,Burnley,0.1554969996213913,0
