date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2017-05-21,0.42929399013519287,0,1,1.0377700328826904,1,West Ham,125176,0,Sam Vokes,2016,2,90,FW,3511,0.0,0.6084759831428528,2,Burnley,0.42929399013519287,1
2017-05-13,0.30398300290107727,0,1,0.15261000394821167,2,Burnley,135225,0,Sam Vokes,2016,1,90,FW,3500,0.0,0.0,5,Bournemouth,0.30398300290107727,1
2017-05-06,0.5895190238952637,1,2,0.5984939932823181,2,West Bromwich Albion,134796,0,Sam Vokes,2016,2,90,FW,3492,0.0186064001172781,0.057812098413705826,3,Burnley,0.5895190238952637,2
2017-04-29,0.3832870125770569,0,0,0.8738219738006592,0,Burnley,134371,0,Sam Vokes,2016,2,90,FW,3480,0.0,0.5797039866447449,4,Crystal Palace,0.3832870125770569,0
2017-04-15,0.8593189716339111,0,0,0.09814970195293427,3,Burnley,134617,0,Sam Vokes,2016,1,75,FW,3467,0.0,0.0,3,Everton,0.09814970195293427,1
2017-04-08,0.3337610065937042,0,0,0.3337610065937042,0,Burnley,133490,0,Sam Vokes,2016,0,26,Sub,3456,0.0,0.0,1,Middlesbrough,0.3337610065937042,0
2017-04-04,0.0,0,0,0.0,1,Stoke,133420,0,Sam Vokes,2016,0,86,FW,3441,0.0,0.0,0,Burnley,0.0,0
2017-04-01,0.026257099583745003,1,0,0.05576790124177933,0,Tottenham,132436,0,Sam Vokes,2016,2,32,Sub,3431,0.06671209633350372,0.029510799795389175,1,Burnley,0.026257099583745003,0
2017-03-18,0.10021200031042099,0,0,0.05832640081644058,0,Burnley,133737,0,Sam Vokes,2016,0,21,Sub,3423,0.0,0.0,2,Sunderland,0.10021200031042099,0
2017-03-12,0.0,0,0,0.0,2,Burnley,125467,0,Sam Vokes,2016,1,9,Sub,3419,0.0,0.0,0,Liverpool,0.0,0
2017-03-04,0.017468400299549103,1,0,0.13811899721622467,3,Burnley,133242,1,Sam Vokes,2016,2,82,FW,3405,0.07713279873132706,0.04351779818534851,1,Swansea,0.017468400299549103,0
2017-02-25,0.0,0,0,0.0,1,Burnley,131707,0,Sam Vokes,2016,1,3,Sub,3394,0.0,0.0,0,Hull,0.0,0
2017-02-12,0.0,0,0,0.0,1,Chelsea,130613,0,Sam Vokes,2016,1,7,Sub,3387,0.0,0.0,0,Burnley,0.0,0
2017-02-04,0.0,0,0,0.0,2,Burnley,130190,0,Sam Vokes,2016,1,2,Sub,3374,0.0,0.0,0,Watford,0.0,0
2017-01-31,0.6340879797935486,0,1,0.06748480349779129,1,Leicester,132191,0,Sam Vokes,2016,0,10,Sub,3362,0.0,0.0,2,Burnley,0.6340879797935486,1
2017-01-22,0.0,1,0,0.08651509881019592,2,Burnley,131317,0,Sam Vokes,2016,1,12,Sub,3358,0.08651509881019592,0.0,0,Arsenal,0.0,0
2017-01-14,0.16148699820041656,0,0,0.1275169998407364,1,Southampton,130204,0,Sam Vokes,2016,0,15,Sub,3345,0.0,0.0,2,Burnley,0.16148699820041656,0
2017-01-02,0.0919995978474617,0,0,0.13350899517536163,2,Burnley,129446,0,Sam Vokes,2016,1,19,Sub,3332,0.0,0.10268700122833252,2,Manchester City,0.0919995978474617,0
2016-12-31,0.0,1,0,0.06928910315036774,4,Sunderland,130118,0,Sam Vokes,2016,1,8,Sub,3157,0.06928910315036774,0.0,0,Burnley,0.0,0
2016-12-26,0.0,1,0,0.0,1,Middlesbrough,129128,1,Sam Vokes,2016,0,22,Sub,3150,0.07001669704914093,0.0,0,Burnley,0.0,0
2016-12-18,0.0,0,0,0.0,2,Burnley,128809,0,Sam Vokes,2016,1,5,Sub,3143,0.0,0.0,0,Tottenham,0.0,0
2016-12-14,0.594618022441864,1,0,0.8119109869003296,1,Burnley,130926,0,Sam Vokes,2016,0,90,FW,3129,0.3257189989089966,0.0,2,West Ham,0.594618022441864,0
2016-12-10,0.13750100135803223,1,0,0.05635809898376465,3,Bournemouth,129596,0,Sam Vokes,2016,2,56,FW,3119,0.15302300453186035,0.0,3,Burnley,0.13750100135803223,0
2016-12-03,0.0,0,0,0.0,2,Burnley,128753,0,Sam Vokes,2016,0,11,Sub,3107,0.0,0.0,0,Stoke,0.0,0
2016-11-26,0.06994529813528061,0,0,0.06994529813528061,1,Manchester City,129097,0,Sam Vokes,2016,2,90,FW,2707,0.0,0.0,1,Burnley,0.06994529813528061,0
2016-11-22,0.0,1,0,0.0,4,Burnley,128945,0,Sam Vokes,2016,0,72,FW,2706,0.4242750108242035,0.0,0,West Bromwich Albion,0.0,0
2016-11-05,1.3786699771881104,2,1,1.5152599811553955,3,Crystal Palace,127968,1,Sam Vokes,2016,2,90,FW,2688,0.12318500131368637,0.01340780034661293,6,Burnley,1.3786699771881104,1
2016-10-29,0.013006599619984627,0,0,0.07295390218496323,0,Burnley,127648,0,Sam Vokes,2016,0,90,FW,2682,0.0,0.05994730070233345,1,Manchester United,0.013006599619984627,0
2016-10-22,0.6659719944000244,1,1,0.6659719944000244,2,Everton,127081,0,Sam Vokes,2016,1,90,FW,546,0.017986899241805077,0.0,2,Burnley,0.6659719944000244,1
2016-10-16,0.8231250047683716,1,0,0.0748715028166771,3,Burnley,126908,0,Sam Vokes,2016,1,90,FW,539,0.012915699742734432,0.012915699742734432,2,Southampton,0.06195579841732979,1
2016-10-02,0.4137600064277649,0,0,0.33427000045776367,0,Arsenal,127003,0,Sam Vokes,2016,1,90,FW,530,0.0,0.0198426004499197,3,Burnley,0.4137600064277649,0
