date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2017-05-21,0.04802669957280159,1,0,0.0,5,Sunderland,125213,0,Sebastian Larsson,2016,1,90,MC,3512,0.13067999482154846,0.0,1,Chelsea,0.04802669957280159,0
2017-05-16,0.0,0,0,0.1131649985909462,2,Sunderland,135110,0,Sebastian Larsson,2016,0,90,MC,3470,0.0,0.1131649985909462,0,Arsenal,0.0,0
2017-05-13,0.06303240358829498,4,0,0.1340859979391098,0,Swansea,133772,0,Sebastian Larsson,2016,2,90,MC,3506,0.15376199781894684,0.023044899106025696,1,Sunderland,0.06303240358829498,0
2017-05-06,0.03257039934396744,1,0,0.0,0,Sunderland,134922,1,Sebastian Larsson,2016,2,10,Sub,3494,0.588808000087738,0.0,1,Hull,0.03257039934396744,0
2017-04-09,0.0,0,0,0.5431299805641174,0,Manchester United,133693,0,Sebastian Larsson,2016,3,42,ML,3452,0.0,0.5431299805641174,0,Sunderland,0.0,0
2017-04-04,0.07630880177021027,3,0,0.18096600472927094,2,Sunderland,132390,0,Sebastian Larsson,2016,0,74,ML,3445,0.11003600060939789,0.1408510059118271,2,Leicester,0.07630880177021027,0
2017-03-18,0.13381700217723846,2,0,0.4292759895324707,0,Burnley,133718,0,Sebastian Larsson,2016,0,82,MC,3423,0.30336299538612366,0.02163279987871647,2,Sunderland,0.13381700217723846,0
2017-03-05,0.04031350091099739,1,0,0.16189399361610413,0,Manchester City,133116,0,Sebastian Larsson,2016,2,90,MC,3404,0.0923565998673439,0.12157999724149704,1,Sunderland,0.04031350091099739,0
2017-02-25,0.0,2,0,0.0,2,Sunderland,131618,0,Sebastian Larsson,2016,0,90,MC,3393,0.11614199727773666,0.0,0,Everton,0.0,0
2017-02-11,0.06555069983005524,0,0,0.0,0,Southampton,131159,0,Sebastian Larsson,2016,4,59,MC,3384,0.0,0.0,1,Sunderland,0.06555069983005524,0
2017-02-04,0.01887810043990612,1,0,0.10937900096178055,0,Sunderland,129412,0,Sebastian Larsson,2016,4,90,MC,3371,0.015043999999761581,0.0905006006360054,1,Crystal Palace,0.01887810043990612,0
2017-01-31,0.0,0,0,0.0,0,Tottenham,132238,0,Sebastian Larsson,2016,0,90,MC,3364,0.0,0.0,0,Sunderland,0.0,0
2017-01-21,0.0,2,0,0.10201899707317352,2,Sunderland,132033,0,Sebastian Larsson,2016,0,90,MC,3355,0.09003009647130966,0.10201899707317352,0,West Bromwich Albion,0.0,0
2017-01-14,0.1059110015630722,2,0,0.16396699845790863,1,Stoke,130747,0,Sebastian Larsson,2016,3,90,AML,3342,0.03892960026860237,0.05805660039186478,2,Sunderland,0.1059110015630722,0
2017-01-02,0.06623899936676025,0,0,0.020048100501298904,2,Liverpool,129760,0,Sebastian Larsson,2016,2,90,ML,3334,0.0,0.020048100501298904,1,Sunderland,0.06623899936676025,0
2016-12-31,0.007939400151371956,1,0,0.07694649696350098,4,Sunderland,130127,0,Sebastian Larsson,2016,1,90,DMC,3157,0.04565099999308586,0.06900709867477417,1,Burnley,0.007939400151371956,0
2016-12-26,0.03306780010461807,1,0,0.05279960110783577,3,Sunderland,129578,0,Sebastian Larsson,2016,1,86,MC,3147,0.0667956992983818,0.05279960110783577,1,Manchester United,0.03306780010461807,0
2016-12-17,0.0,0,0,0.0,1,Watford,128710,0,Sebastian Larsson,2016,0,1,Sub,3139,0.0,0.0,0,Sunderland,0.0,0
2016-12-14,0.022219600155949593,0,0,0.10311199724674225,0,Chelsea,130801,0,Sebastian Larsson,2016,1,31,Sub,3128,0.0,0.08089189976453781,1,Sunderland,0.022219600155949593,0
2016-12-10,0.0,1,0,0.0,3,Sunderland,130370,0,Sebastian Larsson,2016,0,57,MR,3117,0.08206439763307571,0.0,0,Swansea,0.0,0
2016-12-03,0.0,1,0,0.0,2,Leicester,128823,0,Sebastian Larsson,2016,1,40,Sub,3108,0.11419600248336792,0.0,0,Sunderland,0.0,0
