date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-05-21,0,0,0,0,0,1,Bournemouth,0,125263,0,Simon Francis,2016,1,90,DC,3514,0,Leicester,0,0
2017-05-13,0.03026990033686161,0,0,0.6249369978904724,0,2,Burnley,0.03026990033686161,135203,0,Simon Francis,2016,1,90,DC,3500,1,Bournemouth,0.5946670174598694,0
2017-05-06,0,0,0,0.6496809720993042,0,2,Stoke,0,134734,0,Simon Francis,2016,2,90,DC,3491,0,Bournemouth,0.6496809720993042,0
2017-04-29,0,0,0,0.014246899634599686,0,0,Bournemouth,0,134525,0,Simon Francis,2016,1,90,DC,3486,0,Sunderland,0.014246899634599686,0
2017-04-22,0.019407600164413452,0,0,0.02352200075984001,0,4,Middlesbrough,0.019407600164413452,135147,0,Simon Francis,2016,0,90,DC,3471,1,Bournemouth,0.02352200075984001,0
2017-04-15,0,0,0,0.07923030108213425,0,4,Bournemouth,0,134939,0,Simon Francis,2016,0,90,DC,3465,0,Tottenham,0.07923030108213425,0
2017-04-08,0.016607100144028664,0,0,0.16936500370502472,0,1,Chelsea,0.016607100144028664,133030,0,Simon Francis,2016,3,90,DC,3450,1,Bournemouth,0.16936500370502472,0
2017-04-05,0,1,0,0,0.015743400901556015,2,Bournemouth,0,132934,0,Simon Francis,2016,2,90,DC,3449,0,Liverpool,0,0
2017-04-01,0,0,0,0.023258399218320847,0,0,Bournemouth,0,132990,0,Simon Francis,2016,0,90,DC,3437,0,Southampton,0.023258399218320847,0
2017-03-18,0,0,0,0.13165199756622314,0,2,Swansea,0,133058,0,Simon Francis,2016,0,90,DC,3429,0,Bournemouth,0.13165199756622314,0
2017-03-11,0,0,0,0.41531500220298767,0,3,West Ham,0,133850,0,Simon Francis,2016,2,90,DC,3411,0,Bournemouth,0.41531500220298767,0
2017-02-13,0,0,0,0,0,0,Manchester City,0,130493,0,Simon Francis,2016,2,22,DC,3389,0,Bournemouth,0,0
2017-02-04,0,0,0,0.09893789887428284,0,6,Bournemouth,0,129519,0,Simon Francis,2016,3,48,DC,3372,0,Everton,0.09893789887428284,0
2017-01-31,0,1,0,0.042064301669597626,0.01104430016130209,0,Crystal Palace,0,132126,0,Simon Francis,2016,2,90,DC,3361,0,Bournemouth,0.03102000057697296,0
2017-01-03,0,0,0,0.39097800850868225,0,3,Arsenal,0,131096,0,Simon Francis,2016,3,85,DR,3336,0,Bournemouth,0.39097800850868225,0
2016-12-31,0,1,0,0.7524669766426086,0.05092180147767067,0,Bournemouth,0,130889,0,Simon Francis,2016,3,90,DR,3161,0,Swansea,0.701545000076294,0
2016-12-26,0,2,0,0.4767040014266968,0.03260109946131706,3,Bournemouth,0,129214,0,Simon Francis,2016,0,90,DC,3151,0,Chelsea,0.4767040014266968,0
2016-12-18,0,1,0,0.13618700206279755,0.07648400217294693,1,Southampton,0,131569,0,Simon Francis,2016,3,90,DR,3141,0,Bournemouth,0.05970260128378868,0
2016-12-13,0,1,0,0.4488089978694916,0.046787600964307785,1,Leicester,0,130574,0,Simon Francis,2016,0,90,DR,3125,0,Bournemouth,0.4488089978694916,0
2016-12-10,0,4,0,0.5377110242843628,0.3763059973716736,3,Bournemouth,0,129601,1,Simon Francis,2016,2,90,DR,3119,0,Burnley,0.5223109722137451,0
2016-12-04,0,0,0,0.013886099681258202,0,4,Liverpool,0,128345,0,Simon Francis,2016,3,90,DR,3112,0,Bournemouth,0.013886099681258202,0
2016-11-27,0.014360499568283558,2,0,0.16120900213718414,0.6676869988441467,3,Bournemouth,0.014360499568283558,129019,0,Simon Francis,2016,1,90,DR,2714,1,Arsenal,0.16120900213718414,0
2016-11-19,0,0,0,0.14682899415493011,0,0,Bournemouth,0,128606,0,Simon Francis,2016,1,90,DR,2699,0,Stoke,0.14682899415493011,0
2016-11-05,0,1,0,0.07376989722251892,0.07376989722251892,1,Sunderland,0,127932,0,Simon Francis,2016,2,90,DC,2687,0,Bournemouth,0,0
2016-10-29,0,1,0,0.05454060062766075,0.023943699896335602,2,Bournemouth,0,127697,0,Simon Francis,2016,0,90,DC,2681,0,Middlesbrough,0.03059690073132515,0
2016-10-22,0,1,0,0.25685200095176697,0.06363330036401749,0,Tottenham,0,127020,0,Simon Francis,2016,0,90,DC,541,0,Bournemouth,0.19321900606155396,0
2016-10-15,0,2,0,0.958823025226593,0.10984800010919571,6,Hull,0,127599,0,Simon Francis,2016,1,90,DC,533,0,Bournemouth,0.9083889722824097,0
2016-10-01,0,1,0,0.07775740325450897,0.019599400460720062,2,Bournemouth,0,127445,0,Simon Francis,2016,2,90,DC,525,0,Watford,0.05815809965133667,0
2016-09-24,0.01576399989426136,0,0,0.13717399537563324,0,1,Everton,0.01576399989426136,126553,0,Simon Francis,2016,0,90,DC,517,1,Bournemouth,0.12140999734401703,0
2016-09-17,0,0,0,0.09803149849176407,0,4,Bournemouth,0,126398,0,Simon Francis,2016,0,90,DC,504,0,Manchester City,0.09803149849176407,0
2016-09-10,0.014192700386047363,0,0,0.16590599715709686,0,1,West Bromwich Albion,0.014192700386047363,125997,0,Simon Francis,2016,0,90,DC,495,1,Bournemouth,0.16590599715709686,0
2016-08-27,0,0,0,0.5537670254707336,0,1,Bournemouth,0,125733,0,Simon Francis,2016,1,90,DC,486,0,Crystal Palace,0.5537670254707336,0
2016-08-21,0.0547713004052639,0,0,0.07547859847545624,0,1,Bournemouth,0.0547713004052639,125677,0,Simon Francis,2016,0,90,DC,480,1,West Ham,0.020707299932837486,0
2016-08-14,0,0,0,0.01485930010676384,0,1,Manchester United,0,124896,0,Simon Francis,2016,3,90,DC,468,0,Bournemouth,0.01485930010676384,0
