date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2017-05-21,0.09506809711456299,1,0,0.09506809711456299,0,Stoke,125343,0,Sofiane Boufal,2016,1,23,Sub,3517,0.0816923975944519,0.0,1,Southampton,0.09506809711456299,0
2017-05-17,0.04184180125594139,0,0,0.10883700102567673,0,Manchester United,132957,0,Sofiane Boufal,2016,0,12,Sub,3412,0.0,0.06699559837579727,1,Southampton,0.04184180125594139,0
2017-05-13,0.05589919909834862,1,0,0.0,1,Southampton,135336,0,Sofiane Boufal,2016,2,48,FWL,3504,0.025505999103188515,0.0,1,Middlesbrough,0.05589919909834862,0
2017-05-10,0.11448299884796143,0,0,0.14551199972629547,0,Arsenal,131942,0,Sofiane Boufal,2016,2,18,Sub,3390,0.0,0.0814255028963089,2,Southampton,0.11448299884796143,0
2017-05-07,0.0,0,0,0.0,0,Southampton,135030,0,Sofiane Boufal,2016,0,61,ML,3496,0.0,0.0,0,Liverpool,0.0,0
2017-04-29,0.015828300267457962,0,0,0.04993309825658798,0,Hull,134463,0,Sofiane Boufal,2016,0,59,AMR,3484,0.0,0.03410480171442032,1,Southampton,0.015828300267457962,0
2017-04-25,0.05873040109872818,0,0,0.0,4,Southampton,134177,0,Sofiane Boufal,2016,2,69,ML,3473,0.0,0.0,1,Chelsea,0.05873040109872818,0
2017-04-15,0.014147000387310982,1,0,0.014147000387310982,0,Manchester City,134770,0,Sofiane Boufal,2016,3,28,Sub,3462,0.0,0.0,1,Southampton,0.014147000387310982,0
2017-04-01,0.0,2,0,0.2689090073108673,0,Bournemouth,132985,0,Sofiane Boufal,2016,0,25,Sub,3437,0.15163500607013702,0.11727400124073029,0,Southampton,0.0,0
2017-03-19,0.023453600704669952,0,0,0.023453600704669952,2,Southampton,133846,0,Sofiane Boufal,2016,1,18,Sub,3422,0.0,0.0,1,Tottenham,0.023453600704669952,0
2017-03-04,0.08367019891738892,0,0,0.15625500679016113,3,Southampton,133462,0,Sofiane Boufal,2016,4,10,Sub,3407,0.0,0.07258529961109161,2,Watford,0.08367019891738892,0
2017-02-04,0.0,0,0,0.16697800159454346,1,West Ham,129952,0,Sofiane Boufal,2016,3,65,FWR,3376,0.0,0.16697800159454346,0,Southampton,0.0,0
2017-01-31,0.05934309959411621,1,0,0.6702889800071716,2,Southampton,132282,0,Sofiane Boufal,2016,1,33,Sub,3365,0.06297700107097626,0.5479689836502075,1,Swansea,0.05934309959411621,0
2017-01-02,0.019235100597143173,1,0,0.32655900716781616,3,Southampton,129361,0,Sofiane Boufal,2016,0,20,Sub,3331,0.2894049882888794,0.017918599769473076,1,Everton,0.019235100597143173,0
2016-12-31,0.0459538996219635,3,0,0.13462699949741364,1,West Bromwich Albion,130772,0,Sofiane Boufal,2016,2,90,FWL,3160,0.14865800738334656,0.061155401170253754,2,Southampton,0.0459538996219635,0
2016-12-28,0.0,0,0,0.0,1,Tottenham,129679,0,Sofiane Boufal,2016,4,73,FWL,3154,0.0,0.0,0,Southampton,0.0,0
2016-12-18,0.06762660294771194,1,0,1.2563899755477905,1,Southampton,131592,0,Sofiane Boufal,2016,3,63,FWL,3141,0.018948499113321304,1.188770055770874,1,Bournemouth,0.06762660294771194,0
2016-12-15,0.10894600301980972,2,0,0.1263979971408844,0,Southampton,131423,0,Sofiane Boufal,2016,0,90,AMC,3133,0.04533569887280464,0.0,3,Stoke,0.10894600301980972,0
2016-12-11,0.1369740068912506,2,1,0.21361300349235535,1,Middlesbrough,130255,0,Sofiane Boufal,2016,0,74,FWL,3123,0.07663819938898087,0.02034280076622963,2,Southampton,0.1369740068912506,1
2016-12-03,0.13129399716854095,4,0,0.3170759975910187,3,Southampton,128422,0,Sofiane Boufal,2016,0,78,FWL,3106,0.15456700325012207,0.08987709879875183,3,Crystal Palace,0.13129399716854095,0
2016-11-19,0.0,0,0,0.0,0,Liverpool,128519,0,Sofiane Boufal,2016,0,67,FWL,2698,0.0,0.0,0,Southampton,0.0,0
2016-11-06,0.0,3,0,0.2050970047712326,2,Southampton,128479,0,Sofiane Boufal,2016,1,20,Sub,2694,0.16340699791908264,0.041689399629831314,0,Hull,0.0,0
2016-10-30,0.0,0,0,0.09163519740104675,0,Chelsea,127748,0,Sofiane Boufal,2016,2,28,Sub,2685,0.0,0.09163519740104675,0,Southampton,0.0,0
2016-10-23,0.04255840182304382,1,0,0.10970000177621841,1,Southampton,127375,0,Sofiane Boufal,2016,1,18,Sub,549,0.06714139878749847,0.0,1,Manchester City,0.04255840182304382,0
