date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2017-05-21,0.0,0,0,0.0,3,Everton,125159,0,Tom Davies,2016,1,25,MC,3510,0.0,0.0,0,Arsenal,0.0,0
2017-05-12,0.09347499907016754,0,0,0.19997400045394897,1,Watford,135264,0,Tom Davies,2016,0,90,MC,3502,0.0,0.10649900138378143,2,Everton,0.09347499907016754,0
2017-05-06,0.0,0,0,0.0999331995844841,1,Everton,135138,0,Tom Davies,2016,0,90,MC,3498,0.0,0.0999331995844841,0,Swansea,0.0,0
2017-04-30,0.0,1,0,0.0262122992426157,0,Chelsea,134380,0,Tom Davies,2016,3,90,DMC,3481,0.0262122992426157,0.0,0,Everton,0.0,0
2017-04-22,0.0,0,0,0.0,0,Everton,134341,0,Tom Davies,2016,0,48,MC,3479,0.0,0.0,0,West Ham,0.0,0
2017-04-15,0.0,2,0,0.12250199913978577,3,Burnley,134600,0,Tom Davies,2016,1,90,MC,3467,0.05933680012822151,0.09050559997558594,0,Everton,0.0,0
2017-04-09,0.5170350074768066,1,1,1.3991999626159668,4,Leicester,133253,0,Tom Davies,2016,2,90,MC,3458,0.6113110184669495,0.3177649974822998,2,Everton,0.5170350074768066,1
2017-04-04,0.030618300661444664,0,0,0.030618300661444664,1,Everton,132641,0,Tom Davies,2016,1,90,AMC,3446,0.0,0.0,1,Manchester United,0.030618300661444664,0
2017-04-01,0.0,0,0,0.0,3,Everton,132776,0,Tom Davies,2016,1,68,MC,3435,0.0,0.0,0,Liverpool,0.0,0
2017-03-18,0.0,1,0,0.8885800242424011,4,Hull,133280,1,Tom Davies,2016,0,78,MC,3427,0.5692899823188782,0.3192889988422394,0,Everton,0.0,0
2017-03-11,0.14690199494361877,0,0,0.7802140116691589,3,West Bromwich Albion,132571,0,Tom Davies,2016,0,90,AMC,3416,0.0,0.6333119869232178,2,Everton,0.14690199494361877,0
2017-03-05,0.0,0,0,0.0,3,Everton,133350,0,Tom Davies,2016,2,65,AMC,3406,0.0,0.0,0,Tottenham,0.0,0
2017-02-25,0.047031600028276443,0,0,0.11287800222635269,2,Sunderland,131603,0,Tom Davies,2016,0,71,MC,3393,0.0,0.11287800222635269,1,Everton,0.047031600028276443,0
2017-02-11,0.0,2,0,0.3571999967098236,0,Everton,130950,0,Tom Davies,2016,0,90,MC,3382,0.2846289873123169,0.07257050275802612,0,Middlesbrough,0.0,0
2017-02-04,0.0,1,0,0.42641401290893555,6,Bournemouth,129516,0,Tom Davies,2016,3,27,Sub,3372,0.028681199997663498,0.39773300290107727,0,Everton,0.0,0
2017-02-01,0.3358359932899475,1,0,0.4510740041732788,1,Everton,129245,0,Tom Davies,2016,1,90,MC,3369,0.060427598655223846,0.1152380034327507,1,Stoke,0.3358359932899475,0
2017-01-21,0.016902100294828415,2,0,0.24579599499702454,0,Everton,131560,1,Tom Davies,2016,1,90,MC,3353,0.16164399683475494,0.06724979728460312,1,Crystal Palace,0.016902100294828415,0
2017-01-15,0.11491599678993225,0,1,0.22519299387931824,4,Manchester City,130305,0,Tom Davies,2016,0,90,MC,3348,0.0,0.11027699708938599,1,Everton,0.11491599678993225,1
2017-01-02,0.048013001680374146,1,0,0.16306599974632263,3,Southampton,129341,1,Tom Davies,2016,0,90,DMC,3331,0.14012500643730164,0.022941099479794502,1,Everton,0.048013001680374146,0
2016-12-31,0.0,1,0,0.5206959843635559,2,Everton,130350,0,Tom Davies,2016,2,22,Sub,3155,0.025571899488568306,0.4951240122318268,0,Hull,0.0,0
2016-12-26,0.04836520180106163,0,0,0.6419969797134399,0,Everton,129388,0,Tom Davies,2016,2,20,Sub,3148,0.0,0.5936310291290283,2,Leicester,0.04836520180106163,0
2016-11-05,0.0,0,0,0.0,5,Everton,128012,0,Tom Davies,2016,0,22,Sub,2691,0.0,0.0,0,Chelsea,0.0,0
2016-09-12,0.0,0,0,0.10928100347518921,0,Everton,126188,0,Tom Davies,2016,3,13,Sub,500,0.0,0.10928100347518921,0,Sunderland,0.0,0
2016-08-27,0.0,0,0,0.0,1,Stoke,125756,0,Tom Davies,2016,0,1,Sub,487,0.0,0.0,0,Everton,0.0,0
