date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2017-05-21,0.4355759918689728,1,1,1.052340030670166,1,Tottenham,125239,1,Victor Wanyama,2016,7,90,DMC,3513,0.02591470070183277,1.052340030670166,1,Hull,0.4355759918689728,1
2017-05-18,0.06998579949140549,1,0,0.5174000263214111,1,Tottenham,134230,0,Victor Wanyama,2016,6,90,MC,3475,0.04859190061688423,0.46880799531936646,1,Leicester,0.06998579949140549,0
2017-05-14,0.4558829963207245,0,1,0.06552059948444366,2,Manchester United,133880,0,Victor Wanyama,2016,1,90,DMC,3507,0.0,0.06552059948444366,2,Tottenham,0.4558829963207245,1
2017-05-05,0.0,0,0,0.08512470126152039,1,Tottenham,135192,0,Victor Wanyama,2016,0,75,DMC,3499,0.0,0.08512470126152039,0,West Ham,0.0,0
2017-04-30,0.024309100583195686,3,0,0.6802089810371399,2,Arsenal,134542,0,Victor Wanyama,2016,0,90,DMC,3487,0.6293870210647583,0.04732370004057884,1,Tottenham,0.024309100583195686,0
2017-04-26,0.0,0,0,0.014573900029063225,0,Tottenham,132499,0,Victor Wanyama,2016,1,47,MC,3415,0.0,0.014573900029063225,0,Crystal Palace,0.0,0
2017-04-15,0.0,0,0,0.0,4,Bournemouth,134935,0,Victor Wanyama,2016,0,9,Sub,3465,0.0,0.0,0,Tottenham,0.0,0
2017-04-01,0.0,0,0,0.06943339854478836,0,Tottenham,132442,0,Victor Wanyama,2016,2,43,MC,3431,0.0,0.06943339854478836,0,Burnley,0.0,0
2017-03-19,0.0,1,0,0.5781189799308777,2,Southampton,133826,0,Victor Wanyama,2016,1,90,MC,3422,0.039846599102020264,0.5382729768753052,0,Tottenham,0.0,0
2017-03-05,0.14402900636196136,2,0,0.22347800433635712,3,Everton,133334,0,Victor Wanyama,2016,2,90,MC,3406,0.04723000153899193,0.14864300191402435,3,Tottenham,0.14402900636196136,0
2017-02-26,0.09900929778814316,2,0,0.2781449854373932,4,Stoke,131992,0,Victor Wanyama,2016,0,90,MC,3397,0.05916929990053177,0.11996699869632721,1,Tottenham,0.09900929778814316,0
2017-02-11,0.0,0,0,0.07467850297689438,2,Tottenham,130730,0,Victor Wanyama,2016,0,90,DMC,3386,0.0,0.07467850297689438,0,Liverpool,0.0,0
2017-02-04,0.06781449913978577,1,0,0.4892039895057678,1,Middlesbrough,130057,0,Victor Wanyama,2016,0,90,DMC,3377,0.018388699740171432,0.42138901352882385,2,Tottenham,0.06781449913978577,0
2017-01-31,0.3212060034275055,1,0,0.08230560272932053,0,Tottenham,132249,0,Victor Wanyama,2016,0,90,DMC,3364,0.015311400406062603,0.015296099707484245,3,Sunderland,0.3212060034275055,0
2017-01-21,0.02113180048763752,0,0,0.02113180048763752,2,Tottenham,131728,0,Victor Wanyama,2016,2,90,MC,3356,0.0,0.0,1,Manchester City,0.02113180048763752,0
2017-01-14,0.09315170347690582,2,0,0.607994019985199,4,West Bromwich Albion,130963,0,Victor Wanyama,2016,0,90,MC,3340,0.5935649871826172,0.5148419737815857,1,Tottenham,0.09315170347690582,0
2017-01-05,0.020319899544119835,0,0,0.8897619843482971,2,Chelsea,129867,0,Victor Wanyama,2016,0,90,MC,3339,0.0,0.8694419860839844,1,Tottenham,0.020319899544119835,0
2017-01-01,0.0,0,0,0.18057499825954437,1,Tottenham,131003,0,Victor Wanyama,2016,4,90,DMC,3328,0.0,0.18057499825954437,0,Watford,0.0,0
2016-12-28,0.15144099295139313,0,0,0.2837660014629364,1,Tottenham,129688,0,Victor Wanyama,2016,4,90,DMC,3154,0.0,0.13232499361038208,2,Southampton,0.15144099295139313,0
2016-12-18,0.07534380257129669,1,0,0.3324440121650696,2,Burnley,128788,0,Victor Wanyama,2016,1,90,MC,3143,0.07537110149860382,0.30972999334335327,2,Tottenham,0.07534380257129669,0
2016-12-15,0.6805700063705444,2,1,1.1832499504089355,3,Hull,131488,0,Victor Wanyama,2016,0,90,DMC,3134,0.05501680076122284,1.1066399812698364,2,Tottenham,0.6805700063705444,1
