date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-05-21,0.2690019905567169,2,1,0.863440990447998,0.10098200291395187,5,Sunderland,0.2690019905567169,125202,0,Willian,2016,1,90,AMC,3512,5,Chelsea,0.6410459876060486,1
2017-05-15,0.17198699712753296,7,0,0.7501770257949829,0.5295159816741943,4,Watford,0.17198699712753296,132405,1,Willian,2016,3,90,AMC,3414,2,Chelsea,0.3223859965801239,0
2017-05-12,0,0,0,0,0,0,Chelsea,0,134013,0,Willian,2016,1,14,Sub,3508,0,West Bromwich Albion,0,0
2017-05-08,0,1,0,0.2267419993877411,0.12457499653100967,3,Middlesbrough,0,134853,0,Willian,2016,0,17,Sub,3493,0,Chelsea,0.2267419993877411,0
2017-04-30,0.5204529762268066,0,1,0.5204529762268066,0,0,Chelsea,0.5204529762268066,134398,0,Willian,2016,3,3,Sub,3481,1,Everton,0,1
2017-04-25,0,0,0,0,0,4,Southampton,0,134165,0,Willian,2016,2,1,Sub,3473,0,Chelsea,0,0
2017-04-16,0,0,0,0,0,2,Chelsea,0,134673,0,Willian,2016,0,22,Sub,3460,0,Manchester United,0,0
2017-04-08,0,0,0,0,0,1,Chelsea,0,133053,0,Willian,2016,3,1,Sub,3450,0,Bournemouth,0,0
2017-04-05,0,1,0,0,0.012777700088918209,2,Manchester City,0,132713,0,Willian,2016,1,8,Sub,3448,0,Chelsea,0,0
2017-04-01,0.05289430171251297,1,0,0.40261000394821167,0.04986939951777458,1,Crystal Palace,0.05289430171251297,132519,0,Willian,2016,2,29,Sub,3432,1,Chelsea,0.352741003036499,0
2017-03-18,0.06743690371513367,3,1,0.16710099577903748,0.19741499423980713,1,Chelsea,0.06743690371513367,133623,0,Willian,2016,2,90,FWR,3424,2,Stoke,0,1
2017-03-06,0.08837209641933441,1,0,0.19823099672794342,0.10985899716615677,1,Chelsea,0.08837209641933441,133654,0,Willian,2016,2,11,Sub,3409,1,West Ham,0,0
2017-02-25,0,1,0,0.023858100175857544,0.023858100175857544,3,Swansea,0,131440,0,Willian,2016,1,3,Sub,3391,0,Chelsea,0.023858100175857544,0
2017-02-12,0,0,0,0.05835229903459549,0,1,Chelsea,0,130626,0,Willian,2016,1,17,Sub,3387,0,Burnley,0.05835229903459549,0
2017-02-04,0,0,0,0.06424129754304886,0,3,Arsenal,0,129318,0,Willian,2016,1,2,Sub,3370,0,Chelsea,0.06424129754304886,0
2017-01-31,0.07210230082273483,0,0,0.07210230082273483,0,1,Chelsea,0.07210230082273483,129163,0,Willian,2016,1,85,FWR,3366,2,Liverpool,0,0
2017-01-22,0,0,0,0,0,2,Hull,0,131468,0,Willian,2016,0,10,Sub,3359,0,Chelsea,0,0
2017-01-14,0.02711009979248047,1,0,0.09502819925546646,0.0192463006824255,0,Chelsea,0.02711009979248047,130541,0,Willian,2016,3,85,FWR,3347,1,Leicester,0.04867180064320564,0
2017-01-05,0,0,0,0.045535601675510406,0,2,Chelsea,0,129887,0,Willian,2016,0,23,Sub,3339,0,Tottenham,0.045535601675510406,0
2016-12-31,0.3890089988708496,1,2,0.6301419734954834,0.03097590059041977,4,Stoke,0.3890089988708496,130226,0,Willian,2016,2,85,FWR,3158,5,Chelsea,0.27396300435066223,2
2016-12-26,0.1426759958267212,2,0,0.3941099941730499,0.1307860016822815,3,Bournemouth,0.1426759958267212,129205,0,Willian,2016,0,84,FWR,3151,1,Chelsea,0.26332399249076843,0
2016-12-17,0,2,0,0.2417529970407486,0.15799599885940552,0,Chelsea,0,131674,0,Willian,2016,1,66,FWR,3135,0,Crystal Palace,0.10068599879741669,0
2016-12-14,0.4398120045661926,4,0,0.7479760050773621,0.16802600026130676,0,Chelsea,0.4398120045661926,130812,1,Willian,2016,1,90,FWR,3128,5,Sunderland,0.36117199063301086,0
2016-12-11,0.030989399179816246,0,0,0.030989399179816246,0,1,West Bromwich Albion,0.030989399179816246,129708,0,Willian,2016,0,26,Sub,3121,1,Chelsea,0,0
2016-12-03,0.540677011013031,0,1,0.540677011013031,0,1,Chelsea,0.540677011013031,128589,0,Willian,2016,3,38,Sub,3105,3,Manchester City,0,1
2016-11-26,0.11514899879693985,0,0,0.11514899879693985,0,2,Tottenham,0.11514899879693985,129180,0,Willian,2016,1,12,Sub,2712,1,Chelsea,0,0
2016-10-30,0.090147003531456,0,0,0.17358499765396118,0,0,Chelsea,0.090147003531456,127762,0,Willian,2016,2,11,Sub,2685,1,Southampton,0.08343800157308578,0
2016-10-23,0,1,0,0.09101220220327377,0.0531034991145134,4,Manchester United,0,127139,0,Willian,2016,0,10,Sub,550,0,Chelsea,0.09101220220327377,0
2016-10-01,0.21428200602531433,3,1,0.4193029999732971,0.17923499643802643,0,Chelsea,0.21428200602531433,127121,0,Willian,2016,2,90,FWR,524,3,Hull,0.20502200722694397,1
2016-09-24,0.04267359897494316,3,0,0.2370859980583191,0.17104199528694153,3,Chelsea,0.04267359897494316,126542,0,Willian,2016,0,72,MR,518,1,Arsenal,0.033494800329208374,0
2016-09-16,0,3,0,0.7906010150909424,0.14391200244426727,1,Liverpool,0,126252,0,Willian,2016,2,85,AMR,501,0,Chelsea,0.7906010150909424,0
2016-09-11,0.22630399465560913,6,0,0.2782979905605316,0.3476339876651764,2,Chelsea,0.22630399465560913,126209,0,Willian,2016,2,79,MR,499,4,Swansea,0,0
2016-08-27,0.14704400300979614,5,1,0.8693320155143738,0.35702401399612427,3,Burnley,0.14704400300979614,125695,0,Willian,2016,0,78,MR,485,2,Chelsea,0.5434550046920776,1
2016-08-15,0.10875999927520752,3,0,0.09299410134553909,0.1563040018081665,2,West Ham,0.10875999927520752,124955,0,Willian,2016,1,82,MR,470,2,Chelsea,0.03660089895129204,0
