date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-05-21,0,1,0,0.07935520261526108,0.042452599853277206,1,Bournemouth,0,125262,0,Adam Smith,2016,1,90,DR,3514,0,Leicester,0.07935520261526108,0
2017-05-13,0,0,0,0.19933199882507324,0,2,Burnley,0,135202,0,Adam Smith,2016,1,90,DR,3500,0,Bournemouth,0.19933199882507324,0
2017-05-06,0.060939300805330276,2,0,1.0810999870300293,0.5187860131263733,2,Stoke,0.060939300805330276,134732,1,Adam Smith,2016,2,90,DR,3491,1,Bournemouth,0.5623189806938171,0
2017-04-29,0.014246899634599686,4,0,0.8016930222511292,0.25026100873947144,0,Bournemouth,0.014246899634599686,134524,0,Adam Smith,2016,1,90,DR,3486,1,Sunderland,0.6637240052223206,0
2017-04-22,0,0,0,0.6285889744758606,0,4,Middlesbrough,0,135146,0,Adam Smith,2016,0,90,DR,3471,0,Bournemouth,0.6285889744758606,0
2017-04-15,0,0,0,0.11868900060653687,0,4,Bournemouth,0,134938,0,Adam Smith,2016,0,90,DR,3465,0,Tottenham,0.11868900060653687,0
2017-04-08,0.023205900564789772,0,0,0.1895260065793991,0,1,Chelsea,0.023205900564789772,133029,0,Adam Smith,2016,3,90,DR,3450,1,Bournemouth,0.1895260065793991,0
2017-04-05,0.013449300080537796,0,0,0.11338400095701218,0,2,Bournemouth,0.013449300080537796,132933,0,Adam Smith,2016,2,90,DR,3449,1,Liverpool,0.09993509948253632,0
2017-04-01,0.11557299643754959,0,0,0.042208898812532425,0,0,Bournemouth,0.11557299643754959,132988,0,Adam Smith,2016,0,90,DR,3437,2,Southampton,0.023258399218320847,0
2017-03-18,0.05796220153570175,1,0,0.2348179966211319,0.14648400247097015,2,Swansea,0.05796220153570175,133057,0,Adam Smith,2016,0,90,DR,3429,1,Bournemouth,0.08833370357751846,0
2017-03-11,0.10944899916648865,1,0,0.5959179997444153,0.36140498518943787,3,West Ham,0.10944899916648865,133849,0,Adam Smith,2016,2,90,DR,3411,2,Bournemouth,0.12506400048732758,0
2017-03-04,0,0,0,0,0,1,Bournemouth,0,132907,0,Adam Smith,2016,1,90,DR,3402,0,Manchester United,0,0
2017-02-25,0.014143199659883976,2,0,0.1285099983215332,0.033778999000787735,2,Bournemouth,0.014143199659883976,132111,0,Adam Smith,2016,1,90,DR,3395,1,West Bromwich Albion,0.11436700075864792,0
2017-02-13,0,0,0,0.020612100139260292,0,0,Manchester City,0,130492,0,Adam Smith,2016,2,90,DR,3389,0,Bournemouth,0.020612100139260292,0
2017-01-31,0,2,0,0.01614929921925068,0.03198130056262016,0,Crystal Palace,0,132125,0,Adam Smith,2016,2,90,DR,3361,0,Bournemouth,0,0
2017-01-21,0,1,0,0.7722370028495789,0.5268830060958862,2,Watford,0,131375,1,Adam Smith,2016,2,90,DR,3352,0,Bournemouth,0.7722370028495789,0
2017-01-14,0,0,0,0.30751198530197144,0,3,Bournemouth,0,130422,0,Adam Smith,2016,1,90,DR,3344,0,Hull,0.30751198530197144,0
2017-01-03,0,1,0,0.1707639992237091,0.05309139937162399,3,Arsenal,0,131108,0,Adam Smith,2016,3,19,Sub,3336,0,Bournemouth,0.1707639992237091,0
2016-12-31,0,0,0,0,0,0,Bournemouth,0,130900,0,Adam Smith,2016,3,15,Sub,3161,0,Swansea,0,0
2016-12-26,0.09010980278253555,1,0,0.1664150059223175,0.07782559841871262,3,Bournemouth,0.09010980278253555,129215,0,Adam Smith,2016,0,90,DMR,3151,1,Chelsea,0.08858949691057205,0
2016-12-18,0.037303101271390915,1,0,0.1372389942407608,0.03450319916009903,1,Southampton,0.037303101271390915,131575,0,Adam Smith,2016,3,90,AMR,3141,1,Bournemouth,0.10273600369691849,0
2016-12-13,0.046787600964307785,3,0,0.44999900460243225,0.40321099758148193,1,Leicester,0.046787600964307785,130580,0,Adam Smith,2016,0,90,AMR,3125,1,Bournemouth,0.06233770027756691,0
2016-12-10,0.09027840197086334,1,0,0.5337030291557312,0.07703330367803574,3,Bournemouth,0.09027840197086334,129605,0,Adam Smith,2016,2,90,MR,3119,2,Burnley,0.41297098994255066,0
2016-12-04,0,0,0,0.08396559953689575,0,4,Liverpool,0,128348,0,Adam Smith,2016,3,90,DL,3112,0,Bournemouth,0.08396559953689575,0
2016-11-27,0.42191100120544434,1,0,0.2676370143890381,0.09328199923038483,3,Bournemouth,0.42191100120544434,129025,0,Adam Smith,2016,1,90,AMR,2714,2,Arsenal,0.16120900213718414,0
2016-11-05,0,1,0,0.9896680116653442,0.6390339732170105,1,Sunderland,0,127931,1,Adam Smith,2016,2,90,DR,2687,0,Bournemouth,0.35063400864601135,0
2016-10-29,0.15189699828624725,1,0,0.16975900530815125,0.3309659957885742,2,Bournemouth,0.15189699828624725,127695,0,Adam Smith,2016,0,90,DR,2681,5,Middlesbrough,0.03263309970498085,0
2016-10-22,0,0,0,0.016526300460100174,0,0,Tottenham,0,127019,0,Adam Smith,2016,0,90,DR,541,0,Bournemouth,0.016526300460100174,0
2016-10-15,0,1,0,0.9464089870452881,0.4106380045413971,6,Hull,0,127597,1,Adam Smith,2016,1,90,DR,533,0,Bournemouth,0.9464089870452881,0
2016-10-01,0,2,0,0.4518760144710541,0.43227601051330566,2,Bournemouth,0,127444,0,Adam Smith,2016,2,90,DR,525,0,Watford,0.019599400460720062,0
2016-09-24,0,0,0,0.047102298587560654,0,1,Everton,0,126551,0,Adam Smith,2016,0,90,DR,517,0,Bournemouth,0.047102298587560654,0
2016-09-17,0.012399699538946152,1,0,0.1435289978981018,0.11477699875831604,4,Bournemouth,0.012399699538946152,126397,0,Adam Smith,2016,0,90,DR,504,1,Manchester City,0.016351399943232536,0
2016-09-10,0,1,0,0.2952759861946106,0.09286049753427505,1,West Bromwich Albion,0,125996,1,Adam Smith,2016,0,90,DR,495,0,Bournemouth,0.20241500437259674,0
2016-08-27,0,1,0,0.5992159843444824,0.13947400450706482,1,Bournemouth,0,125732,0,Adam Smith,2016,1,90,DR,486,0,Crystal Palace,0.5992159843444824,0
2016-08-21,0.023267200216650963,0,0,0.04397450014948845,0,1,Bournemouth,0.023267200216650963,125676,0,Adam Smith,2016,0,90,DR,480,1,West Ham,0.020707299932837486,0
2016-08-14,0.10613200068473816,0,1,0.1041179969906807,0,1,Manchester United,0.10613200068473816,124895,0,Adam Smith,2016,3,90,DR,468,2,Bournemouth,0.01485930010676384,1
