date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-05-21,0,0,0,0.40001600980758667,0,1,West Ham,0,125181,0,Angelo Ogbonna,2016,2,90,DC,3511,0,Burnley,0.40001600980758667,0
2017-01-21,0,0,0,1.3214000463485718,0,1,West Ham,0,131807,0,Angelo Ogbonna,2016,3,90,DC,3351,0,Middlesbrough,1.3214000463485718,0
2017-01-14,0,0,0,0.024420499801635742,0,3,Crystal Palace,0,131179,0,Angelo Ogbonna,2016,0,47,DC,3346,0,West Ham,0.024420499801635742,0
2017-01-02,0,0,0,0.019342800602316856,0,0,Manchester United,0,130081,0,Angelo Ogbonna,2016,2,90,DC,3335,0,West Ham,0.019342800602316856,0
2016-12-31,0.030831199139356613,0,0,0.014256400056183338,0,1,West Ham,0.030831199139356613,130452,0,Angelo Ogbonna,2016,0,90,DC,3156,1,Leicester,0.014256400056183338,0
2016-12-26,0,0,0,0,0,1,West Ham,0,129795,0,Angelo Ogbonna,2016,4,90,DC,3146,0,Swansea,0,0
2016-12-17,0.016020700335502625,0,0,0.016020700335502625,0,1,Hull,0.016020700335502625,128950,0,Angelo Ogbonna,2016,0,90,DC,3137,1,West Ham,0,0
2016-12-14,0,0,0,0.12875600159168243,0,1,Burnley,0,130903,0,Angelo Ogbonna,2016,0,90,DC,3129,0,West Ham,0.12875600159168243,0
2016-12-11,0,0,0,0.05445360019803047,0,2,West Ham,0,130039,0,Angelo Ogbonna,2016,2,90,DC,3124,0,Liverpool,0.05445360019803047,0
2016-12-03,0,1,0,0.24234099686145782,0.038538601249456406,1,Arsenal,0,129060,0,Angelo Ogbonna,2016,5,90,DC,3111,0,West Ham,0.20380200445652008,0
2016-11-27,0,0,0,0,0,1,West Ham,0,128138,0,Angelo Ogbonna,2016,1,90,DC,2716,0,Manchester United,0,0
2016-11-19,0,0,0,0,0,3,West Ham,0,128769,0,Angelo Ogbonna,2016,2,90,DC,2704,0,Tottenham,0,0
2016-11-05,0.023329399526119232,0,0,0,0,1,Stoke,0.023329399526119232,128208,0,Angelo Ogbonna,2016,1,90,DC,2690,1,West Ham,0,0
2016-10-30,0,1,0,0.10366100072860718,0.02220899984240532,2,West Ham,0,127583,0,Angelo Ogbonna,2016,0,90,DC,2684,0,Everton,0.08145230263471603,0
2016-10-22,0,0,0,0.21476200222969055,0,1,Sunderland,0,127458,0,Angelo Ogbonna,2016,0,90,DC,542,0,West Ham,0.21476200222969055,0
2016-10-15,0,0,0,0.013728500343859196,0,0,West Ham,0,127723,0,Angelo Ogbonna,2016,1,90,DC,537,0,Crystal Palace,0.013728500343859196,0
2016-10-01,0,2,0,0.18716399371623993,0.14719100296497345,1,Middlesbrough,0,127489,0,Angelo Ogbonna,2016,1,90,DL,526,0,West Ham,0.08959870040416718,0
2016-09-25,0,1,0,0.03480980172753334,0.021672900766134262,0,Southampton,0,126775,0,Angelo Ogbonna,2016,3,90,DC,519,0,West Ham,0.03480980172753334,0
2016-09-17,0,0,0,0.5300130248069763,0,4,West Ham,0,126510,0,Angelo Ogbonna,2016,2,90,DC,505,0,West Bromwich Albion,0.5300130248069763,0
2016-08-28,0,1,0,0.04030599817633629,0.04030599817633629,3,West Ham,0,125843,0,Angelo Ogbonna,2016,1,90,DC,490,0,Manchester City,0,0
