date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-05-06,0.016413500532507896,0,0,0.016413500532507896,0,1,Everton,0.016413500532507896,135141,0,Dominic Calvert-Lewin,2016,0,47,FWL,3498,1,Swansea,0,0
2017-04-30,0.06837029755115509,0,0,0.06837029755115509,0,0,Chelsea,0.06837029755115509,134383,0,Dominic Calvert-Lewin,2016,3,74,AML,3481,2,Everton,0,0
2017-04-22,0,0,0,0,0,0,Everton,0,134345,0,Dominic Calvert-Lewin,2016,0,16,Sub,3479,0,West Ham,0,0
2017-04-04,0,0,0,0,0,1,Everton,0,132645,0,Dominic Calvert-Lewin,2016,1,8,Sub,3446,0,Manchester United,0,0
2017-04-01,0,0,0,0,0,3,Everton,0,132780,0,Dominic Calvert-Lewin,2016,1,84,FWL,3435,0,Liverpool,0,0
2017-03-18,0.7022129893302917,0,1,0.7832499742507935,0,4,Hull,0.7022129893302917,133281,0,Dominic Calvert-Lewin,2016,0,57,ML,3427,2,Everton,0.08103790134191513,1
2017-03-11,0,0,0,0,0,3,West Bromwich Albion,0,132575,0,Dominic Calvert-Lewin,2016,0,4,Sub,3416,0,Everton,0,0
2017-01-02,0,0,0,0,0,3,Southampton,0,129343,0,Dominic Calvert-Lewin,2016,0,11,AMC,3331,0,Everton,0,0
2016-12-31,0.37942200899124146,0,0,0.5206959843635559,0,2,Everton,0.37942200899124146,130351,0,Dominic Calvert-Lewin,2016,2,14,Sub,3155,1,Hull,0.14127400517463684,0
2016-12-20,0,0,0,0,0,0,Liverpool,0,131748,0,Dominic Calvert-Lewin,2016,1,16,Sub,3144,0,Everton,0,0
2016-12-13,0.07874330133199692,0,0,0,0,2,Arsenal,0.07874330133199692,131246,0,Dominic Calvert-Lewin,2016,1,9,Sub,3126,1,Everton,0,0
