date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-05-21,0.3506920039653778,1,1,0.3506920039653778,0.480307012796402,2,West Bromwich Albion,0.3506920039653778,125366,1,Fernando Llorente,2016,1,90,FW,3518,1,Swansea,0,1
2017-05-13,0.23279699683189392,0,1,0,0,0,Swansea,0.23279699683189392,133788,0,Fernando Llorente,2016,2,90,FW,3506,1,Sunderland,0,1
2017-05-06,1.1321699619293213,0,1,1.0638999938964844,0,1,Everton,1.1321699619293213,135127,0,Fernando Llorente,2016,0,88,FW,3498,2,Swansea,0.22055600583553314,1
2017-04-30,0.21102899312973022,2,0,0.27059799432754517,0.07857979834079742,1,Swansea,0.21102899312973022,134425,0,Fernando Llorente,2016,1,90,FW,3482,2,Manchester United,0.10820599645376205,0
2017-04-22,0.026747800409793854,0,1,0,0,2,Stoke,0.026747800409793854,134303,0,Fernando Llorente,2016,0,61,FW,3478,1,Swansea,0,1
2017-04-15,0.16480499505996704,2,0,0.24461700022220612,0.08550389856100082,1,Swansea,0.16480499505996704,135002,0,Fernando Llorente,2016,0,82,FW,3466,2,Watford,0.05356679856777191,0
2017-04-08,0.011824199929833412,0,0,0.098540298640728,0,1,Swansea,0.011824199929833412,134042,0,Fernando Llorente,2016,0,42,Sub,3455,1,West Ham,0.098540298640728,0
2017-03-18,0,1,0,0.07285899668931961,0.07285899668931961,2,Swansea,0,133080,0,Fernando Llorente,2016,0,84,FW,3429,0,Bournemouth,0,0
2017-03-11,0,0,0,0,0,2,Swansea,0,132669,0,Fernando Llorente,2016,1,44,FW,3417,0,Hull,0,0
2017-03-04,0.6030309796333313,0,2,0.5616999864578247,0,3,Burnley,0.6030309796333313,133227,0,Fernando Llorente,2016,2,90,FW,3405,6,Swansea,0.09567350149154663,2
2017-02-25,0.19204600155353546,0,1,0,0,3,Swansea,0.19204600155353546,131452,0,Fernando Llorente,2016,1,90,FW,3391,1,Chelsea,0,1
2017-02-12,0.012288300320506096,0,0,0.3612230122089386,0,2,Leicester,0.012288300320506096,131271,0,Fernando Llorente,2016,0,76,FW,3388,1,Swansea,0.34893399477005005,0
2017-02-05,0,0,0,0,0,2,Swansea,0,129856,0,Fernando Llorente,2016,1,84,FW,3378,0,Manchester City,0,0
2017-01-31,0.12099400162696838,2,0,0.0753583014011383,0.0753583014011383,2,Southampton,0.12099400162696838,132266,0,Fernando Llorente,2016,1,90,FW,3365,1,Swansea,0,0
2017-01-21,1.0669100284576416,0,2,0.48880699276924133,0,2,Swansea,1.0669100284576416,131647,0,Fernando Llorente,2016,3,86,FW,3350,2,Liverpool,0.48880699276924133,2
2017-01-14,0,1,0,0,0.0605412982404232,0,Arsenal,0,130856,0,Fernando Llorente,2016,4,71,FW,3343,0,Swansea,0,0
2017-01-04,0.055824100971221924,2,0,0.5758699774742126,0.5200459957122803,1,Swansea,0.055824100971221924,131229,0,Fernando Llorente,2016,2,90,FW,3337,1,Crystal Palace,0.11321000009775162,0
2016-12-31,0.07600060105323792,1,0,0.08254099637269974,0.006540469825267792,0,Bournemouth,0.07600060105323792,130884,0,Fernando Llorente,2016,3,60,FW,3161,1,Swansea,0,0
