date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-05-21,0.4527699947357178,2,1,1.4162700176239014,0.17679400742053986,3,Everton,0.4527699947357178,125142,0,Héctor Bellerín,2016,1,90,MR,3510,1,Arsenal,0.7867050170898438,1
2017-05-16,0.15399299561977386,1,0,0.3875490128993988,0.0657946988940239,2,Sunderland,0.15399299561977386,135093,0,Héctor Bellerín,2016,0,90,MR,3470,3,Arsenal,0.23355600237846375,0
2017-05-13,0.039052098989486694,2,0,2.1187899112701416,1.0217499732971191,1,Arsenal,0.039052098989486694,133675,2,Héctor Bellerín,2016,4,90,MR,3505,1,Stoke,1.0579899549484253,0
2017-05-10,0,2,0,0.1598149985074997,0.1598149985074997,0,Arsenal,0,131957,0,Héctor Bellerín,2016,2,55,Sub,3390,0,Southampton,0,0
2017-05-07,0,0,0,0,0,2,Manchester United,0,134689,0,Héctor Bellerín,2016,0,5,Sub,3490,0,Arsenal,0,0
2017-04-30,0,0,0,0,0,2,Arsenal,0,134562,0,Héctor Bellerín,2016,0,12,Sub,3487,0,Tottenham,0,0
2017-04-26,0,3,0,0.0836464986205101,0.09522789716720581,1,Leicester,0,133742,0,Héctor Bellerín,2016,0,90,MR,3410,0,Arsenal,0.06133680045604706,0
2017-04-17,0,1,0,0.051906801760196686,0.2981950044631958,1,Arsenal,0,134730,0,Héctor Bellerín,2016,2,1,Sub,3461,0,Middlesbrough,0.051906801760196686,0
2017-04-10,0.09552709758281708,0,0,0.11314000189304352,0,3,Arsenal,0.09552709758281708,133150,0,Héctor Bellerín,2016,0,90,DR,3459,2,Crystal Palace,0.06137790158390999,0
2017-04-05,0.5971860289573669,2,0,0.6928349733352661,0.09370960295200348,3,West Ham,0.5971860289573669,133301,0,Héctor Bellerín,2016,0,90,DR,3440,2,Arsenal,0.09564889967441559,0
2017-04-02,0,1,0,0.15399399399757385,0.033184800297021866,2,Manchester City,0,132342,0,Héctor Bellerín,2016,2,90,DR,3430,0,Arsenal,0.12080900371074677,0
2017-03-18,0,1,0,0.2054619938135147,0.013718999922275543,3,Arsenal,0,133946,0,Héctor Bellerín,2016,1,90,DR,3420,0,West Bromwich Albion,0.2054619938135147,0
2017-03-04,0,0,0,0,0,3,Arsenal,0,132799,0,Héctor Bellerín,2016,1,90,DR,3401,0,Liverpool,0,0
2017-02-11,0.09082800149917603,1,0,0.262935996055603,0.12812599539756775,2,Hull,0.09082800149917603,130380,0,Héctor Bellerín,2016,0,90,DR,3380,1,Arsenal,0.043981898576021194,0
2017-02-04,0,0,0,0,0,3,Arsenal,0,129322,0,Héctor Bellerín,2016,1,16,DR,3370,0,Chelsea,0,0
2017-01-22,0,0,0,0,0,2,Burnley,0,131302,0,Héctor Bellerín,2016,1,1,Sub,3358,0,Arsenal,0,0
2017-01-03,0,0,0,0.3278219997882843,0,3,Arsenal,0,131110,0,Héctor Bellerín,2016,3,90,DR,3336,0,Bournemouth,0.3278219997882843,0
2017-01-01,0,1,0,0.57743901014328,0.018022699281573296,2,Crystal Palace,0,129999,0,Héctor Bellerín,2016,0,90,DR,3329,0,Arsenal,0.5594170093536377,0
2016-12-26,0.2050279974937439,0,0,0.5652850270271301,0,1,West Bromwich Albion,0.2050279974937439,129033,0,Héctor Bellerín,2016,0,90,DR,3149,2,Arsenal,0.360258013010025,0
2016-12-18,0.05730560049414635,0,0,0.5406259894371033,0,2,Arsenal,0.05730560049414635,131834,0,Héctor Bellerín,2016,1,90,DR,3142,2,Manchester City,0.48332101106643677,0
2016-12-13,0,0,0,0.025419799610972404,0,2,Arsenal,0,131249,0,Héctor Bellerín,2016,1,90,DR,3126,0,Everton,0.025419799610972404,0
2016-12-10,0.06613949686288834,3,0,0.728971004486084,0.4427579939365387,3,Stoke,0.06613949686288834,129488,1,Héctor Bellerín,2016,1,66,Sub,3118,2,Arsenal,0.3435159921646118,0
2016-11-06,0.08479280024766922,0,0,0.32275500893592834,0,1,Tottenham,0.08479280024766922,127903,0,Héctor Bellerín,2016,1,90,DR,2692,1,Arsenal,0.23796199262142181,0
2016-10-29,0,1,0,0.5518220067024231,0.0700433999300003,1,Arsenal,0,127807,0,Héctor Bellerín,2016,4,90,DR,2677,0,Sunderland,0.48177799582481384,0
