date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-05-21,0.514473021030426,1,1,0.589942991733551,0.08513230085372925,2,West Bromwich Albion,0.514473021030426,125365,0,Jordan Ayew,2016,1,90,FWR,3518,2,Swansea,0.4706439971923828,1
2017-05-13,0,0,0,0,0,0,Swansea,0,133787,0,Jordan Ayew,2016,2,90,FW,3506,0,Sunderland,0,0
2017-05-06,0.0515126995742321,2,0,0.9241269826889038,0.9241269826889038,1,Everton,0.0515126995742321,135126,1,Jordan Ayew,2016,0,90,FW,3498,1,Swansea,0.08078750222921371,0
2017-04-30,0.1387290060520172,1,0,0.28410500288009644,0.10721799731254578,1,Swansea,0.1387290060520172,134424,0,Jordan Ayew,2016,1,90,FW,3482,2,Manchester United,0.03815700113773346,0
2017-04-22,0.11958300322294235,1,0,0.21753500401973724,0.023592500016093254,2,Stoke,0.11958300322294235,134302,1,Jordan Ayew,2016,0,90,FWR,3478,2,Swansea,0.07435909658670425,0
2017-04-15,0,0,0,0.03622889891266823,0,1,Swansea,0,135004,0,Jordan Ayew,2016,0,8,Sub,3466,0,Watford,0.03622889891266823,0
2017-04-08,0,0,0,0,0,1,Swansea,0,134038,0,Jordan Ayew,2016,0,90,FW,3455,0,West Ham,0,0
2017-04-05,0,1,0,0.6965889930725098,0.6965889930725098,1,Tottenham,0,132460,1,Jordan Ayew,2016,3,76,FW,3444,0,Swansea,0,0
2017-04-02,0.06437250226736069,0,0,0.020015200600028038,0,0,Middlesbrough,0.06437250226736069,133093,0,Jordan Ayew,2016,0,90,FW,3438,2,Swansea,0,0
2017-03-18,0,0,0,0.01967659965157509,0,2,Swansea,0,133076,0,Jordan Ayew,2016,0,57,MR,3429,0,Bournemouth,0.01967659965157509,0
2017-03-11,0.11211500316858292,0,0,0.1894810050725937,0,2,Swansea,0.11211500316858292,132671,0,Jordan Ayew,2016,1,46,Sub,3417,2,Hull,0.07736539840698242,0
2017-03-04,0.0212095994502306,0,0,0.0212095994502306,0,3,Burnley,0.0212095994502306,133229,0,Jordan Ayew,2016,2,15,Sub,3405,1,Swansea,0,0
2017-02-25,0,0,0,0,0,3,Swansea,0,131454,0,Jordan Ayew,2016,1,12,Sub,3391,0,Chelsea,0,0
2017-02-12,0,0,0,0,0,2,Leicester,0,131273,0,Jordan Ayew,2016,0,14,Sub,3388,0,Swansea,0,0
