date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-05-13,0,0,0,0.3395639955997467,0,1,Southampton,0,135332,0,Jordy Clasie,2016,2,90,MC,3504,0,Middlesbrough,0.3395639955997467,0
2017-04-08,0.044411301612854004,0,1,0.17760899662971497,0,0,Southampton,0.044411301612854004,133923,0,Jordy Clasie,2016,1,86,DMC,3454,1,West Bromwich Albion,0.13319799304008484,1
2017-03-04,0,0,0,0,0,3,Southampton,0,133463,0,Jordy Clasie,2016,4,1,Sub,3407,0,Watford,0,0
2017-01-31,0,0,0,0.610945999622345,0,2,Southampton,0,132276,0,Jordy Clasie,2016,1,77,MC,3365,0,Swansea,0.610945999622345,0
2017-01-22,0,0,0,0.12647099792957306,0,3,Leicester,0,131887,0,Jordy Clasie,2016,0,15,Sub,3357,0,Southampton,0.12647099792957306,0
2017-01-02,0.028200900182127953,0,0,0.32174399495124817,0,3,Southampton,0.028200900182127953,129354,0,Jordy Clasie,2016,0,81,MC,3331,1,Everton,0.32174399495124817,0
2016-12-18,0,1,0,0.2857460081577301,0.06259620189666748,1,Southampton,0,131588,1,Jordy Clasie,2016,3,90,MC,3141,0,Bournemouth,0.2857460081577301,0
2016-12-11,0.15316499769687653,1,0,0.31048300862312317,0.04641139879822731,1,Middlesbrough,0.15316499769687653,130250,0,Jordy Clasie,2016,0,86,MC,3123,3,Southampton,0.15731699764728546,0
2016-11-27,0,1,0,0.3223620057106018,0.08864480257034302,1,Everton,0,128191,0,Jordy Clasie,2016,0,10,Sub,2715,0,Southampton,0.3223620057106018,0
2016-11-06,0.1659640073776245,0,0,0.248431995511055,0,2,Southampton,0.1659640073776245,128473,0,Jordy Clasie,2016,1,81,MC,2694,2,Hull,0.248431995511055,0
2016-10-30,0,0,0,0,0,0,Chelsea,0,127742,0,Jordy Clasie,2016,2,62,MC,2685,0,Southampton,0,0
2016-10-23,0.07254140079021454,0,0,0.07254140079021454,0,1,Southampton,0.07254140079021454,127368,0,Jordy Clasie,2016,1,69,MC,549,2,Manchester City,0,0
2016-10-16,0.023367300629615784,1,0,0.23922599852085114,0.04994669929146767,3,Burnley,0.023367300629615784,126890,0,Jordy Clasie,2016,1,90,MC,539,1,Southampton,0.21585899591445923,0
2016-09-18,0.0184129998087883,0,0,0.7964670062065125,0,1,Swansea,0.0184129998087883,126416,0,Jordy Clasie,2016,0,55,MC,509,1,Southampton,0.7780539989471436,0
2016-09-10,0,1,0,0.07510159909725189,0.07510159909725189,2,Southampton,0,125986,0,Jordy Clasie,2016,1,66,MC,494,0,Arsenal,0,0
2016-08-19,0.0185116995126009,0,0,0.196833997964859,0,2,Southampton,0.0185116995126009,125493,0,Jordy Clasie,2016,0,79,Sub,471,1,Manchester United,0.17832200229167938,0
