date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-05-21,0,0,0,0,0,0,Manchester City,0,125411,0,Kelechi Iheanacho,2016,5,17,Sub,3519,0,Watford,0,0
2017-05-06,0,0,0,0,0,5,Crystal Palace,0,135073,0,Kelechi Iheanacho,2016,0,4,Sub,3497,0,Manchester City,0,0
2017-04-15,0,0,0,0,0,0,Manchester City,0,134784,0,Kelechi Iheanacho,2016,3,1,Sub,3462,0,Southampton,0,0
2017-04-08,0,0,0,0.2213599979877472,0,3,Hull,0,133368,0,Kelechi Iheanacho,2016,1,16,Sub,3457,0,Manchester City,0.2213599979877472,0
2017-03-08,0.49542099237442017,0,0,0.49542099237442017,0,0,Stoke,0.49542099237442017,132740,0,Kelechi Iheanacho,2016,0,13,Sub,3418,1,Manchester City,0,0
2017-01-15,0,0,0,0.08410400152206421,0,4,Manchester City,0,130324,0,Kelechi Iheanacho,2016,0,26,Sub,3348,0,Everton,0.08410400152206421,0
2017-01-02,0.17565199732780457,0,0,0.17565199732780457,0,2,Burnley,0.17565199732780457,129429,0,Kelechi Iheanacho,2016,1,48,FW,3332,2,Manchester City,0,0
2016-12-31,0,0,0,0,0,1,Manchester City,0,130571,0,Kelechi Iheanacho,2016,0,1,Sub,3162,0,Liverpool,0,0
2016-12-26,0.797186017036438,0,1,0.8879290223121643,0,0,Manchester City,0.797186017036438,129304,0,Kelechi Iheanacho,2016,3,31,Sub,3152,2,Hull,0.0907427966594696,1
2016-12-18,0,0,0,0,0,2,Arsenal,0,131831,0,Kelechi Iheanacho,2016,1,5,Sub,3142,0,Manchester City,0,0
2016-12-10,0,2,0,0.15302999317646027,0.09033060073852539,4,Manchester City,0,129939,0,Kelechi Iheanacho,2016,2,60,FW,3120,0,Leicester,0.06269989907741547,0
2016-12-03,0.04363260045647621,0,0,0.030362000688910484,0,1,Chelsea,0.04363260045647621,128575,0,Kelechi Iheanacho,2016,3,10,Sub,3105,2,Manchester City,0,0
2016-11-05,0,0,0,0,0,1,Middlesbrough,0,128107,0,Kelechi Iheanacho,2016,1,1,Sub,2689,0,Manchester City,0,0
2016-10-23,0.6927899718284607,1,1,0.6768829822540283,0.08714090287685394,1,Southampton,0.6927899718284607,127360,0,Kelechi Iheanacho,2016,1,42,Sub,549,4,Manchester City,0.14561299979686737,1
2016-10-15,0.21761900186538696,0,0,0.2646529972553253,0,1,Everton,0.21761900186538696,126837,0,Kelechi Iheanacho,2016,1,58,FW,534,2,Manchester City,0.13742400705814362,0
2016-10-02,0.3165079951286316,1,0,0.4204440116882324,0.10393600165843964,2,Manchester City,0.3165079951286316,127404,0,Kelechi Iheanacho,2016,0,23,Sub,529,2,Tottenham,0.10393600165843964,0
2016-09-17,0.8379020094871521,5,1,1.9176199436187744,1.2527899742126465,4,Bournemouth,0.8379020094871521,126392,1,Kelechi Iheanacho,2016,0,90,FW,504,4,Manchester City,0.9705569744110107,1
2016-09-10,0.6606619954109192,2,1,1.0921800136566162,0.3778339922428131,1,Manchester City,0.6606619954109192,126102,1,Kelechi Iheanacho,2016,2,55,FW,491,1,Manchester United,0.05368629842996597,1
2016-08-20,0,2,0,0.6223549842834473,0.6223549842834473,1,Manchester City,0,125520,1,Kelechi Iheanacho,2016,4,5,Sub,472,0,Stoke,0.6223549842834473,0
2016-08-13,0.5025240182876587,0,0,0.5025240182876587,0,2,Sunderland,0.5025240182876587,125067,0,Kelechi Iheanacho,2016,1,9,Sub,467,2,Manchester City,0,0
