date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-05-21,0.016811799257993698,2,0,0.061756499111652374,0.04605739936232567,1,Tottenham,0.016811799257993698,125226,0,Tom Huddlestone,2016,7,90,MC,3513,1,Hull,0.017690500244498253,0
2017-05-06,0,0,0,0.1337140053510666,0,0,Sunderland,0,134910,0,Tom Huddlestone,2016,2,24,Sub,3494,0,Hull,0.1337140053510666,0
2017-04-29,0,0,0,0.09907220304012299,0,0,Hull,0,134483,0,Tom Huddlestone,2016,0,6,Sub,3484,0,Southampton,0.09907220304012299,0
2017-04-22,0,0,0,0,0,2,Watford,0,134195,0,Tom Huddlestone,2016,0,6,Sub,3474,0,Hull,0,0
2017-04-15,0,1,0,0.6416249871253967,0.027804799377918243,3,Hull,0,134835,0,Tom Huddlestone,2016,1,72,MC,3463,0,Stoke,0.6416249871253967,0
2017-03-18,0,0,0,0.0651635006070137,0,4,Hull,0,133294,0,Tom Huddlestone,2016,0,74,MC,3427,0,Everton,0.0651635006070137,0
2017-03-11,0.06950719654560089,0,0,1.1885900497436523,0,2,Swansea,0.06950719654560089,132651,0,Tom Huddlestone,2016,1,90,DMC,3417,3,Hull,1.135159969329834,0
2017-03-04,0,0,0,0.12519699335098267,0,3,Hull,0,132170,0,Tom Huddlestone,2016,1,90,DMC,3400,0,Leicester,0.12519699335098267,0
2017-02-25,0,0,0,0.2532149851322174,0,1,Burnley,0.7611690163612366,131686,0,Tom Huddlestone,2016,1,90,DMC,3394,1,Hull,0.2532149851322174,1
2017-02-11,0,0,0,0.1461080014705658,0,2,Hull,0,130398,0,Tom Huddlestone,2016,0,79,DMC,3380,0,Arsenal,0.1461080014705658,0
2017-02-04,0,1,0,0.20266300439834595,0.111115001142025,2,Liverpool,0,129620,0,Tom Huddlestone,2016,0,90,DMC,3373,0,Hull,0.09154769778251648,0
2017-02-01,0,2,0,0.13679300248622894,0.12308099865913391,0,Hull,0,132332,0,Tom Huddlestone,2016,0,90,DMC,3368,0,Manchester United,0.013712099753320217,0
2017-01-22,0.03878840059041977,0,0,0.07707049697637558,0,2,Hull,0.03878840059041977,131476,0,Tom Huddlestone,2016,0,90,MC,3359,1,Chelsea,0.03828220069408417,0
2017-01-14,0.08723189681768417,1,0,0.6862850189208984,0.08800829946994781,3,Bournemouth,0.08723189681768417,130414,0,Tom Huddlestone,2016,1,90,MC,3344,2,Hull,0.6513630151748657,0
2017-01-02,0.05852559953927994,1,0,0.4940800070762634,0.02330479957163334,3,Hull,0.05852559953927994,129990,0,Tom Huddlestone,2016,1,90,MC,3333,3,West Bromwich Albion,0.4281730055809021,0
2016-12-31,0,0,0,0,0,2,Everton,0,130337,0,Tom Huddlestone,2016,2,3,Sub,3155,0,Hull,0,0
2016-12-26,0,1,0,0,0.08500809967517853,0,Manchester City,0,129285,0,Tom Huddlestone,2016,3,65,MC,3152,0,Hull,0,0
2016-12-17,0,1,0,0.21116800606250763,0.0263311006128788,1,Hull,0,128969,0,Tom Huddlestone,2016,0,89,MC,3137,0,West Ham,0.1848369985818863,0
2016-12-15,0,1,0,0.11502999812364578,0.014212699607014656,3,Hull,0,131504,0,Tom Huddlestone,2016,0,90,MC,3134,0,Tottenham,0.11502999812364578,0
2016-12-10,0.028180299326777458,2,0,0.8038679957389832,0.11636699736118317,3,Crystal Palace,0.028180299326777458,129814,0,Tom Huddlestone,2016,3,90,MC,3116,1,Hull,0.7039089798927307,0
2016-12-06,0,1,0,0.015493200160562992,0.009652139618992805,1,Hull,0,128670,0,Tom Huddlestone,2016,0,27,Sub,3114,0,Middlesbrough,0.015493200160562992,0
2016-11-06,0.031211700290441513,0,0,0,0,2,Southampton,0.031211700290441513,128466,0,Tom Huddlestone,2016,1,12,Sub,2694,1,Hull,0,0
2016-10-22,0,1,0,0.05557569861412048,0.0432450994849205,0,Stoke,0,127188,0,Tom Huddlestone,2016,2,69,DMC,545,0,Hull,0.01233069971203804,0
2016-10-15,0.021021900698542595,0,0,0.021021900698542595,0,6,Hull,0.021021900698542595,127623,0,Tom Huddlestone,2016,1,32,Sub,533,1,Bournemouth,0,0
2016-10-01,0.01064279954880476,0,0,0.01064279954880476,0,0,Chelsea,0.01064279954880476,127111,0,Tom Huddlestone,2016,2,7,Sub,524,1,Hull,0.01064279954880476,0
2016-09-24,0,0,0,0,0,5,Hull,0,126625,0,Tom Huddlestone,2016,1,49,MC,516,0,Liverpool,0,0
2016-09-17,0,1,0,0.017110100015997887,0.017110100015997887,1,Arsenal,0,126333,0,Tom Huddlestone,2016,4,61,MC,502,0,Hull,0,0
2016-09-10,0.011761699803173542,0,0,0.43424099683761597,0,1,Hull,0.011761699803173542,126045,0,Tom Huddlestone,2016,1,90,MC,496,1,Burnley,0.4224799871444702,0
2016-08-27,0.05122150108218193,0,0,0.05326249822974205,0,0,Manchester United,0.05122150108218193,125779,0,Tom Huddlestone,2016,1,90,MC,488,3,Hull,0.015002699568867683,0
2016-08-20,0.01023939996957779,3,0,1.0608799457550049,0.36548298597335815,0,Hull,0.01023939996957779,125571,0,Tom Huddlestone,2016,2,90,MC,474,1,Swansea,0.6851609945297241,0
2016-08-13,0.03815549984574318,0,0,0,0,2,Leicester,0.03815549984574318,125038,0,Tom Huddlestone,2016,1,90,MC,461,1,Hull,0,0
