date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-04-16,0,0,0,0,0,2,Chelsea,0,134660,0,Zlatan Ibrahimovic,2016,0,5,Sub,3460,0,Manchester United,0,0
2017-04-09,0.47296300530433655,2,1,1.2638399600982666,0.18367700278759003,0,Manchester United,0.47296300530433655,133707,1,Zlatan Ibrahimovic,2016,3,90,FW,3452,3,Sunderland,0.701878011226654,1
2017-04-04,0.1553730070590973,0,0,0.19911900162696838,0,1,Everton,0.9165419936180115,132628,0,Zlatan Ibrahimovic,2016,1,90,FW,3446,3,Manchester United,0.04374609887599945,1
2017-03-04,0.37949898838996887,1,0,0.5292080044746399,0.018063200637698174,1,Bournemouth,1.1406699419021606,132902,0,Zlatan Ibrahimovic,2016,1,90,FW,3402,7,Manchester United,0.29987698793411255,0
2017-02-11,0.8078709840774536,6,0,1.772130012512207,0.7488679885864258,2,Watford,0.8078709840774536,130828,1,Zlatan Ibrahimovic,2016,0,90,FW,3381,7,Manchester United,0.25839200615882874,0
2017-02-05,0.30594199895858765,3,1,1.1189099550247192,0.07947789877653122,0,Manchester United,0.30594199895858765,129747,0,Zlatan Ibrahimovic,2016,3,90,FW,3379,1,Leicester,0.733485996723175,1
2017-02-01,0.22421899437904358,1,0,0.5634049773216248,0.29492199420928955,0,Hull,0.22421899437904358,132322,0,Zlatan Ibrahimovic,2016,0,90,FW,3368,4,Manchester United,0.33918699622154236,0
2017-01-21,0.08670689910650253,2,0,0.6247140169143677,0.50348299741745,1,Manchester United,0.08670689910650253,131981,0,Zlatan Ibrahimovic,2016,1,90,FW,3354,1,Stoke,0.12123099714517593,0
2017-01-15,0.3551419973373413,0,1,0.18178699910640717,0,1,Liverpool,0.3551419973373413,130637,0,Zlatan Ibrahimovic,2016,1,90,FW,3349,3,Manchester United,0,1
2017-01-02,0.24100099503993988,1,1,1.1297099590301514,0.05422290042042732,0,Manchester United,0.24100099503993988,130102,0,Zlatan Ibrahimovic,2016,2,90,FW,3335,4,West Ham,0.8829960227012634,1
2016-12-31,0.6184319853782654,2,0,0.5717819929122925,0.11057999730110168,2,Middlesbrough,0.6184319853782654,130663,1,Zlatan Ibrahimovic,2016,1,90,FW,3159,4,Manchester United,0.19395899772644043,0
2016-12-26,1.0425100326538086,5,1,1.4809800386428833,0.5047230124473572,3,Sunderland,1.0425100326538086,129568,2,Zlatan Ibrahimovic,2016,1,90,FW,3147,4,Manchester United,0.21246300637722015,1
2016-12-17,0.31685900688171387,2,2,0.6167640089988708,0.09377189725637436,0,Manchester United,0.31685900688171387,128888,0,Zlatan Ibrahimovic,2016,2,90,FW,3140,2,West Bromwich Albion,0.299905002117157,2
2016-12-15,0.20576900243759155,2,1,0.35459399223327637,0.15841299295425415,1,Manchester United,0.20576900243759155,131036,0,Zlatan Ibrahimovic,2016,2,90,FW,3130,4,Crystal Palace,0.027046799659729004,1
2016-12-11,0.18427999317646027,1,0,0.2743529975414276,0.09007269889116287,1,Tottenham,0.18427999317646027,130144,0,Zlatan Ibrahimovic,2016,0,90,FW,3122,2,Manchester United,0,0
2016-12-04,0.16070400178432465,0,1,0.09655609726905823,0,1,Manchester United,0.16070400178432465,128505,0,Zlatan Ibrahimovic,2016,1,90,FW,3113,3,Everton,0.08034359663724899,1
2016-11-27,0.5338180065155029,5,1,0.8346120119094849,0.24830299615859985,1,West Ham,0.5338180065155029,128133,0,Zlatan Ibrahimovic,2016,1,90,FW,2716,4,Manchester United,0.2662220001220703,1
