date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2018-04-21,0.0,3,0,0.4314279854297638,2,Liverpool,234124,1,Alex Oxlade-Chamberlain,2017,2,23,Sub,7468,0.4314279854297638,0.35695400834083557,0,West Bromwich Albion,0.0,0
2018-04-14,0.06542380154132843,2,0,1.029979944229126,3,Bournemouth,232266,1,Alex Oxlade-Chamberlain,2017,0,90,MC,7452,0.7565550208091736,0.30531400442123413,3,Liverpool,0.06542380154132843,0
2018-04-07,0.013330300338566303,0,0,0.07516639679670334,0,Liverpool,230373,0,Alex Oxlade-Chamberlain,2017,0,22,Sub,7443,0.0,0.06183610111474991,1,Everton,0.013330300338566303,0
2018-03-31,0.0,1,0,0.5505989789962769,1,Liverpool,227078,0,Alex Oxlade-Chamberlain,2017,2,24,Sub,7432,0.022702699527144432,0.527895987033844,0,Crystal Palace,0.0,0
2018-03-17,0.037967499345541,0,0,0.037967499345541,5,Watford,224180,0,Alex Oxlade-Chamberlain,2017,0,18,Sub,7423,0.0,0.0,1,Liverpool,0.037967499345541,0
2018-03-10,0.04143590107560158,1,0,0.061174798756837845,2,Liverpool,222119,0,Alex Oxlade-Chamberlain,2017,1,64,MC,7414,0.019739000126719475,0.0,3,Manchester United,0.04143590107560158,0
2018-03-03,0.0,1,0,0.9009609818458557,2,Newcastle United,221168,1,Alex Oxlade-Chamberlain,2017,0,80,MC,7403,0.37601301074028015,0.5249469876289368,0,Liverpool,0.0,0
2018-02-24,0.13625800609588623,4,0,1.1542400121688843,4,West Ham,219156,1,Alex Oxlade-Chamberlain,2017,1,90,MC,7395,0.9209250211715698,0.36213698983192444,3,Liverpool,0.13625800609588623,0
2018-02-11,0.04172300174832344,0,0,0.3850040137767792,0,Liverpool,215207,0,Alex Oxlade-Chamberlain,2017,2,61,MC,7384,0.0,0.34328100085258484,1,Southampton,0.04172300174832344,0
2018-02-04,0.030799299478530884,1,0,0.05478839948773384,2,Tottenham,214951,0,Alex Oxlade-Chamberlain,2017,2,24,Sub,7375,0.05478839948773384,0.0,1,Liverpool,0.030799299478530884,0
2018-01-30,0.0,0,0,0.0,0,Liverpool,215352,0,Alex Oxlade-Chamberlain,2017,3,6,Sub,7359,0.0,0.0,0,Huddersfield,0.0,0
2018-01-22,0.046664200723171234,1,0,0.046664200723171234,1,Liverpool,210212,0,Alex Oxlade-Chamberlain,2017,0,69,AMC,7357,0.037969399243593216,0.0,2,Swansea,0.046664200723171234,0
2018-01-14,0.0902286022901535,3,1,0.43477699160575867,4,Manchester City,208267,1,Alex Oxlade-Chamberlain,2017,3,90,MC,7343,0.1992959976196289,0.1719910055398941,2,Liverpool,0.0902286022901535,1
