date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2018-05-13,0,0,0,0,0,3,Everton,0,240123,0,Arthur Masuaku,2017,1,20,DML,7489,0,West Ham,0,0
2018-05-10,0,0,0,0.07962380349636078,0,0,Manchester United,0,238818,0,Arthur Masuaku,2017,0,67,DML,7428,0,West Ham,0.07962380349636078,0
2018-05-05,0,1,0,0.719635009765625,0.010882100090384483,0,West Ham,0,237530,0,Arthur Masuaku,2017,2,90,DML,7479,0,Leicester,0.719635009765625,0
2018-04-29,0,0,0,0,0,1,Manchester City,0,236501,0,Arthur Masuaku,2017,4,20,Sub,7478,0,West Ham,0,0
2018-04-22,0,0,0,0.010062499903142452,0,4,West Ham,0,234809,0,Arthur Masuaku,2017,1,90,DML,7459,0,Arsenal,0.010062499903142452,0
2018-04-16,0.012841500341892242,2,0,0.10220199823379517,0.10354399681091309,1,Stoke,0.012841500341892242,233183,0,Arthur Masuaku,2017,1,82,DML,7458,1,West Ham,0.02064399980008602,0
2018-04-08,0,1,0,0.10049200057983398,0.10049200057983398,1,West Ham,0,230337,0,Arthur Masuaku,2017,1,90,DML,7442,0,Chelsea,0.10049200057983398,0
2018-03-31,0,2,0,0.21264499425888062,0.18886500597000122,3,Southampton,0,226838,1,Arthur Masuaku,2017,0,90,DML,7434,0,West Ham,0.02377990074455738,0
2018-01-20,0,1,0,0.03445050120353699,0.017393900081515312,1,Bournemouth,0,209229,0,Arthur Masuaku,2017,1,90,DML,7358,0,West Ham,0.017056599259376526,0
2018-01-13,0,0,0,0,0,1,West Ham,0,207698,0,Arthur Masuaku,2017,4,90,DML,7342,0,Huddersfield,0,0
2018-01-04,0,1,0,0.31473299860954285,0.30333900451660156,1,West Ham,0,206702,0,Arthur Masuaku,2017,1,90,DML,7326,0,Tottenham,0.011393699795007706,0
2018-01-02,0.02465759962797165,0,0,0.3238320052623749,0,2,West Bromwich Albion,0.02465759962797165,206523,0,Arthur Masuaku,2017,1,75,DML,7329,1,West Ham,0.2991740107536316,0
2017-12-26,0.03231620043516159,2,0,0.6877750158309937,0.4914650022983551,3,West Ham,0.03231620043516159,205598,0,Arthur Masuaku,2017,3,90,DML,7309,1,Bournemouth,0.16399399936199188,0
2017-12-23,0.016728699207305908,0,0,0.05811439827084541,0,2,Newcastle United,0.016728699207305908,205365,0,Arthur Masuaku,2017,3,90,DML,7300,1,West Ham,0.05811439827084541,0
2017-12-16,0.022230099886655807,2,0,0.46337100863456726,0.2756730020046234,0,West Ham,0.022230099886655807,202717,0,Arthur Masuaku,2017,3,90,ML,7297,1,Stoke,0.44113999605178833,0
2017-12-13,0,0,0,0.14480699598789215,0,0,Arsenal,0,202757,0,Arthur Masuaku,2017,0,90,DL,7286,0,West Ham,0.14480699598789215,0
2017-12-09,0.04123200103640556,0,0,0.04123200103640556,0,1,Chelsea,0.04123200103640556,199019,0,Arthur Masuaku,2017,0,90,DML,7269,1,West Ham,0,0
2017-12-03,0.00955228041857481,0,0,0.00955228041857481,0,2,West Ham,0.00955228041857481,178618,0,Arthur Masuaku,2017,1,90,DML,7262,1,Manchester City,0,0
2017-11-29,0,0,0,0,0,4,West Ham,0,179224,0,Arthur Masuaku,2017,0,90,ML,7256,0,Everton,0,0
2017-11-24,0.029210299253463745,0,0,0.10077100247144699,0,1,Leicester,0.029210299253463745,178582,0,Arthur Masuaku,2017,1,90,AML,7247,1,West Ham,0.07156070321798325,0
2017-11-19,0,1,0,0.063161201775074,0.063161201775074,2,West Ham,0,178955,0,Arthur Masuaku,2017,0,12,Sub,7230,0,Watford,0,0
2017-10-28,0,0,0,0.017598599195480347,0,2,West Ham,0,177770,0,Arthur Masuaku,2017,2,40,Sub,7213,0,Crystal Palace,0.017598599195480347,0
2017-10-20,0.011150100268423557,1,0,0.1893330067396164,0.011217700317502022,0,Brighton,0.011150100268423557,177450,0,Arthur Masuaku,2017,3,90,DL,7208,1,West Ham,0.16696499288082123,0
2017-10-14,0,0,0,0,0,1,West Ham,0,178351,0,Arthur Masuaku,2017,1,1,Sub,7190,0,Burnley,0,0
2017-09-30,0,2,0,0.39000600576400757,0.39000600576400757,1,Swansea,0,178282,1,Arthur Masuaku,2017,0,11,Sub,7183,0,West Ham,0.3286620080471039,0
2017-09-23,0,1,0,0.0711750015616417,0.0711750015616417,2,Tottenham,0,177784,1,Arthur Masuaku,2017,3,14,Sub,7169,0,West Ham,0.0711750015616417,0
2017-08-13,0,0,0,0.030512800440192223,0,4,West Ham,0,175946,0,Arthur Masuaku,2017,0,82,DL,7128,0,Manchester United,0.030512800440192223,0
