date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2018-05-06,0.0,0,0,0.8699579834938049,5,Burnley,238351,0,Calum Chambers,2017,0,81,DC,7487,0.0,0.8699579834938049,0,Arsenal,0.0,0
2018-04-29,0.0,0,0,0.4584749937057495,2,Arsenal,236643,0,Calum Chambers,2017,1,90,DC,7473,0.0,0.4584749937057495,0,Manchester United,0.0,0
2018-04-22,0.0,0,0,0.0,4,West Ham,234802,0,Calum Chambers,2017,1,1,Sub,7459,0.0,0.0,0,Arsenal,0.0,0
2018-04-15,0.5044010281562805,0,0,0.5013759732246399,2,Arsenal,232664,0,Calum Chambers,2017,1,79,DR,7454,0.0,0.48267799615859985,3,Newcastle United,0.5044010281562805,0
2018-04-08,0.12105900049209595,0,0,0.4861460030078888,3,Southampton,230243,0,Calum Chambers,2017,2,90,DC,7439,0.0,0.4861460030078888,2,Arsenal,0.12105900049209595,0
2018-04-01,0.9036710262298584,0,0,0.09740220010280609,3,Stoke,226974,0,Calum Chambers,2017,0,90,DC,7429,0.0,0.09740220010280609,3,Arsenal,0.9036710262298584,0
2018-03-11,0.0,0,0,0.10689900070428848,3,Watford,222968,0,Calum Chambers,2017,0,15,Sub,7409,0.0,0.10689900070428848,0,Arsenal,0.0,0
2018-03-04,0.0,1,0,0.11095000058412552,2,Arsenal,221561,0,Calum Chambers,2017,1,85,DR,7399,0.07604079693555832,0.03490930050611496,0,Brighton,0.0,0
2018-01-14,0.018379900604486465,0,0,0.06592340022325516,2,Arsenal,208139,0,Calum Chambers,2017,1,75,DC,7339,0.0,0.06592340022325516,1,Bournemouth,0.018379900604486465,0
2018-01-03,0.0,0,0,0.10630299896001816,2,Chelsea,206658,0,Calum Chambers,2017,2,89,DC,7330,0.0,0.10630299896001816,0,Arsenal,0.0,0
2017-12-31,0.0,0,0,0.46276599168777466,1,Arsenal,206370,0,Calum Chambers,2017,1,90,DC,7328,0.0,0.46276599168777466,0,West Bromwich Albion,0.0,0
2017-12-28,0.01566690020263195,1,0,0.8781179785728455,2,Arsenal,205845,0,Calum Chambers,2017,3,90,DC,7311,0.02712699957191944,0.8353239893913269,1,Crystal Palace,0.01566690020263195,0
