date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2018-05-13,0.03532329946756363,0,0,0.10189999639987946,2,West Bromwich Albion,240185,0,Christian Benteke,2017,0,21,Sub,7493,0.0,0.10189999639987946,1,Crystal Palace,0.03532329946756363,0
2018-05-05,0.10803399980068207,0,0,0.10803399980068207,1,Crystal Palace,237201,0,Christian Benteke,2017,2,22,Sub,7481,0.0,0.0,1,Stoke,0.10803399980068207,0
2018-04-28,0.7611690163612366,0,0,0.0,5,Leicester,235749,0,Christian Benteke,2017,0,3,Sub,7470,0.0,0.0,1,Crystal Palace,0.0,1
2018-04-21,0.0,0,0,0.0,0,Crystal Palace,234346,0,Christian Benteke,2017,0,6,Sub,7467,0.0,0.0,0,Watford,0.0,0
2018-04-14,0.0,1,0,0.13240399956703186,3,Brighton,232049,0,Christian Benteke,2017,2,16,Sub,7450,0.13240399956703186,0.0,0,Crystal Palace,0.0,0
2018-03-31,0.7616729736328125,0,0,0.7616729736328125,1,Liverpool,227062,0,Christian Benteke,2017,2,90,FW,7432,0.0,0.0,2,Crystal Palace,0.7616729736328125,0
2018-03-17,0.23944100737571716,4,0,0.5200830101966858,0,Crystal Palace,223979,0,Christian Benteke,2017,2,90,FW,7421,0.25555500388145447,0.20695500075817108,3,Huddersfield,0.23944100737571716,0
2018-03-10,0.0,2,0,0.1186169981956482,2,Crystal Palace,222505,0,Christian Benteke,2017,1,48,FW,7411,0.1186169981956482,0.08771330118179321,0,Chelsea,0.0,0
2018-03-05,0.21810799837112427,1,0,0.2717429995536804,2,Manchester United,221858,1,Christian Benteke,2017,3,90,FW,7401,0.053634900599718094,0.0,3,Crystal Palace,0.21810799837112427,0
2018-02-25,0.0,0,0,0.0,0,Tottenham,219659,0,Christian Benteke,2017,1,90,FW,7397,0.0,0.0,0,Crystal Palace,0.0,0
2018-02-10,0.6035659909248352,1,0,0.454710990190506,3,Crystal Palace,215101,0,Christian Benteke,2017,1,90,FW,7380,0.012120099738240242,0.035739898681640625,5,Everton,0.6035659909248352,0
2018-02-04,0.633292019367218,2,0,0.8726770281791687,1,Newcastle United,214893,0,Christian Benteke,2017,1,90,FW,7373,0.20001499354839325,0.0823730006814003,3,Crystal Palace,0.633292019367218,0
2018-01-30,0.8904970288276672,1,1,0.9439039826393127,1,Crystal Palace,215401,0,Christian Benteke,2017,1,90,FW,7360,0.016732700169086456,0.03667439892888069,1,West Ham,0.8904970288276672,1
2018-01-20,0.14967000484466553,1,0,0.2122350037097931,4,Crystal Palace,209138,1,Christian Benteke,2017,1,90,FW,7349,0.10911300033330917,0.06256420165300369,1,Arsenal,0.14967000484466553,0
2018-01-13,1.0767600536346436,2,0,0.32497599720954895,1,Burnley,207665,1,Christian Benteke,2017,0,90,FW,7341,0.13641199469566345,0.07813619822263718,5,Crystal Palace,1.0767600536346436,0
2018-01-02,0.13358399271965027,3,0,0.2619509994983673,1,Crystal Palace,206570,1,Christian Benteke,2017,2,90,FW,7336,0.6617249846458435,0.04585440084338188,2,Southampton,0.13358399271965027,0
2017-12-31,0.3540459871292114,1,0,0.2899540066719055,0,Manchester City,206334,0,Christian Benteke,2017,0,90,FW,7321,0.05088070034980774,0.0,3,Crystal Palace,0.3540459871292114,0
2017-12-28,0.0,0,0,0.22399599850177765,2,Arsenal,205837,0,Christian Benteke,2017,3,90,FW,7311,0.0,0.22399599850177765,0,Crystal Palace,0.0,0
2017-12-16,1.1627000570297241,2,1,1.976040005683899,0,Crystal Palace,202609,1,Christian Benteke,2017,3,89,FW,7294,0.5474749803543091,0.26586800813674927,4,Leicester,1.1627000570297241,1
2017-12-12,0.0,0,0,0.0,2,Watford,202814,0,Christian Benteke,2017,1,90,FW,7282,0.0,0.0,0,Crystal Palace,0.0,0
2017-12-09,1.1360100507736206,2,0,0.4097450077533722,2,Bournemouth,198799,0,Christian Benteke,2017,2,90,FW,7273,0.7172200083732605,0.0,5,Crystal Palace,0.37483900785446167,0
2017-12-02,0.5860379934310913,0,0,0.2096399962902069,0,Crystal Palace,178871,0,Christian Benteke,2017,0,90,FW,7265,0.0,0.0,4,West Bromwich Albion,0.5860379934310913,0
2017-11-28,0.08023510128259659,0,0,0.09932839870452881,0,Crystal Palace,178845,0,Christian Benteke,2017,0,90,FW,7250,0.0,0.01909329928457737,1,Brighton,0.08023510128259659,0
2017-11-25,0.10470999777317047,0,0,0.10470999777317047,2,Stoke,179187,0,Christian Benteke,2017,1,42,Sub,7246,0.0,0.0,2,Crystal Palace,0.10470999777317047,0
2017-11-18,0.3430030047893524,0,0,0.36711999773979187,2,Everton,178638,0,Christian Benteke,2017,2,13,Sub,7234,0.0,0.02411689981818199,2,Crystal Palace,0.3430030047893524,0
2017-09-23,0.0,1,0,0.0802851989865303,5,Crystal Palace,177524,0,Christian Benteke,2017,0,74,FW,7173,0.060150500386953354,0.0201347004622221,0,Manchester City,0.0,0
