date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2018-05-13,0.0,0,0,0.1443289965391159,0,Manchester City,240036,0,Cédric Soares,2017,1,90,DR,7498,0.0,0.1443289965391159,0,Southampton,0.0,0
2018-05-08,0.0,2,0,0.09387270361185074,0,Southampton,238639,0,Cédric Soares,2017,1,90,DMR,7426,0.3538149893283844,0.09387270361185074,0,Swansea,0.0,0
2018-05-05,0.0,1,0,0.2919679880142212,1,Southampton,237752,1,Cédric Soares,2017,1,90,DMR,7486,0.2661849856376648,0.025783399119973183,0,Everton,0.0,0
2018-04-28,0.0,0,0,0.08498039841651917,2,Bournemouth,235826,0,Cédric Soares,2017,1,90,DMR,7475,0.0,0.08498039841651917,0,Southampton,0.0,0
2018-04-19,0.051911599934101105,0,0,0.1388300061225891,0,Southampton,233891,0,Cédric Soares,2017,0,90,DMR,7464,0.0,0.08691819757223129,1,Leicester,0.051911599934101105,0
2018-04-14,0.0,0,0,0.0,2,Chelsea,233043,0,Cédric Soares,2017,3,90,DMR,7455,0.0,0.0,0,Southampton,0.0,0
2018-04-08,0.013913399539887905,2,0,0.048071298748254776,3,Southampton,230258,2,Cédric Soares,2017,2,90,DMR,7439,1.2206300497055054,0.034157898277044296,1,Arsenal,0.013913399539887905,0
2018-03-31,0.0,1,0,0.08346480131149292,3,Southampton,226848,0,Cédric Soares,2017,0,90,DR,7434,0.07490579783916473,0.08346480131149292,0,West Ham,0.0,0
2018-03-10,0.0117661003023386,0,0,0.0117661003023386,3,Southampton,222280,0,Cédric Soares,2017,0,90,DR,7415,0.0,0.0,1,Newcastle United,0.0117661003023386,0
2018-03-03,0.09173800051212311,3,0,0.2951259911060333,0,Stoke,220940,0,Cédric Soares,2017,0,90,DR,7405,0.17077699303627014,0.10113099962472916,4,Southampton,0.09173800051212311,0
2018-02-24,0.0,1,0,0.08081349730491638,1,Southampton,219137,0,Cédric Soares,2017,1,90,DR,7398,0.04967439919710159,0.031139099970459938,0,Burnley,0.0,0
2018-02-11,0.0,0,0,0.03617909923195839,0,Liverpool,215187,0,Cédric Soares,2017,2,90,DR,7384,0.0,0.03617909923195839,0,Southampton,0.0,0
2018-02-03,0.0,2,0,0.4695869982242584,2,Southampton,215036,0,Cédric Soares,2017,3,90,DR,7378,0.4390070140361786,0.03057990036904812,0,West Bromwich Albion,0.0,0
2018-01-31,0.01657399907708168,0,0,0.04938109964132309,1,Brighton,215489,0,Cédric Soares,2017,1,90,DR,7363,0.0,0.03280710056424141,1,Southampton,0.01657399907708168,0
2018-01-21,0.013531600125133991,0,0,0.6565859913825989,1,Tottenham,209887,0,Cédric Soares,2017,1,90,DR,7355,0.0,0.6430540084838867,1,Southampton,0.013531600125133991,0
2018-01-13,0.028398100286722183,0,0,0.13043899834156036,2,Southampton,207748,0,Cédric Soares,2017,2,90,DR,7347,0.0,0.10204099863767624,1,Watford,0.028398100286722183,0
2017-12-16,0.0,0,0,0.0,1,Southampton,203215,0,Cédric Soares,2017,0,16,DMR,7292,0.0,0.0,0,Chelsea,0.0,0
2017-12-13,0.0,1,0,0.0422665998339653,1,Leicester,202974,0,Cédric Soares,2017,4,90,DR,7285,0.016667800024151802,0.0422665998339653,0,Southampton,0.0,0
2017-11-29,0.0,0,0,0.0,2,Southampton,179298,0,Cédric Soares,2017,1,89,DR,7257,0.0,0.0,0,Manchester City,0.0,0
2017-11-26,0.022850999608635902,2,0,0.49530500173568726,4,Everton,179588,0,Cédric Soares,2017,1,90,DR,7241,0.3994799852371216,0.4724540114402771,1,Southampton,0.022850999608635902,0
2017-11-18,0.0,0,0,0.0,3,Southampton,178809,0,Cédric Soares,2017,0,90,DR,7231,0.0,0.0,0,Liverpool,0.0,0
2017-11-04,0.0,2,0,0.1937139928340912,0,Burnley,179150,0,Cédric Soares,2017,1,90,DR,7223,0.13982799649238586,0.12892499566078186,0,Southampton,0.0,0
2017-10-29,0.0,0,0,0.0,1,Southampton,177652,0,Cédric Soares,2017,1,90,DR,7211,0.0,0.0,0,Brighton,0.0,0
2017-10-21,0.011783500202000141,2,0,0.18144500255584717,1,West Bromwich Albion,177337,0,Cédric Soares,2017,0,90,DR,7204,0.09279680252075195,0.1696619987487793,1,Southampton,0.011783500202000141,0
2017-10-15,0.022476300597190857,1,0,0.1892089992761612,2,Newcastle United,178466,0,Cédric Soares,2017,2,90,DR,7195,0.02408530004322529,0.1667329967021942,1,Southampton,0.022476300597190857,0
2017-09-30,0.10052800178527832,3,0,0.6608589887619019,2,Southampton,178230,0,Cédric Soares,2017,1,90,DR,7181,0.18553400039672852,0.503944993019104,3,Stoke,0.10052800178527832,0
2017-09-23,0.0,0,0,0.16044600307941437,0,Manchester United,177584,0,Cédric Soares,2017,1,85,DR,7172,0.0,0.16044600307941437,0,Southampton,0.0,0
2017-09-16,0.09505520015954971,0,0,0.19497500360012054,0,Southampton,176302,0,Cédric Soares,2017,1,90,DR,7160,0.0,0.1122020035982132,2,Crystal Palace,0.09505520015954971,0
2017-09-09,0.016022000461816788,0,0,0.047874100506305695,0,Watford,177172,0,Cédric Soares,2017,2,90,DR,7150,0.0,0.047874100506305695,1,Southampton,0.016022000461816788,0
2017-08-26,0.0,0,0,0.29624301195144653,0,Southampton,176330,0,Cédric Soares,2017,0,90,DR,7144,0.0,0.29624301195144653,0,Huddersfield,0.0,0
2017-08-19,0.1331000030040741,1,0,0.17920799553394318,3,West Ham,179807,0,Cédric Soares,2017,2,90,DR,7130,0.04610870033502579,0.0,2,Southampton,0.1331000030040741,0
2017-08-12,0.03831860050559044,0,0,1.0112799406051636,0,Swansea,175985,0,Cédric Soares,2017,0,90,DR,7122,0.0,0.9729570150375366,2,Southampton,0.03831860050559044,0
