date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2018-05-13,0.0,0,0,0.0,5,Leicester,240105,0,Danny Simpson,2017,4,58,DR,7490,0.0,0.0,0,Tottenham,0.0,0
2018-05-09,0.0,1,0,0.36857500672340393,3,Arsenal,238678,0,Danny Simpson,2017,1,85,DR,7422,0.0405425988137722,0.3280330002307892,0,Leicester,0.0,0
2018-04-14,0.0,0,0,0.3202179968357086,2,Leicester,232025,0,Danny Simpson,2017,1,90,DR,7449,0.0,0.3202179968357086,0,Burnley,0.0,0
2018-04-07,0.0,0,0,0.026591099798679352,1,Newcastle United,230375,0,Danny Simpson,2017,2,59,DR,7444,0.0,0.026591099798679352,0,Leicester,0.0,0
2018-03-31,0.0,0,0,0.07826799899339676,0,Leicester,227012,0,Danny Simpson,2017,2,90,DR,7430,0.0,0.07826799899339676,0,Brighton,0.0,0
2018-03-10,0.0,0,0,0.06745699793100357,1,Leicester,222308,0,Danny Simpson,2017,4,90,DR,7417,0.0,0.06745699793100357,0,West Bromwich Albion,0.0,0
2018-02-24,0.0,1,0,0.02312449924647808,1,Stoke,218960,0,Danny Simpson,2017,1,64,DR,7396,0.02312449924647808,0.0,0,Leicester,0.0,0
2018-02-10,0.0,0,0,0.0,5,Leicester,215156,0,Danny Simpson,2017,1,43,Sub,7382,0.0,0.0,0,Manchester City,0.0,0
2018-02-03,0.0,0,0,0.5075169801712036,1,Swansea,214911,0,Danny Simpson,2017,1,82,DR,7374,0.0,0.5075169801712036,0,Leicester,0.0,0
2017-12-23,0.0,0,0,0.0,2,Manchester United,203030,0,Danny Simpson,2017,2,59,DR,7302,0.0,0.0,0,Leicester,0.0,0
2017-12-16,0.0,0,0,0.0,0,Crystal Palace,202587,0,Danny Simpson,2017,3,90,DR,7294,0.0,0.0,0,Leicester,0.0,0
2017-12-13,0.0,0,0,0.0,1,Leicester,202988,0,Danny Simpson,2017,4,90,DR,7285,0.0,0.0,0,Southampton,0.0,0
2017-12-09,0.11270999908447266,0,0,0.26552000641822815,2,Leicester,198917,0,Danny Simpson,2017,3,90,DR,7277,0.0,0.1528100073337555,2,Newcastle United,0.11270999908447266,0
2017-12-02,0.0,0,0,0.2627910077571869,1,Burnley,178522,0,Danny Simpson,2017,0,90,DR,7261,0.0,0.2627910077571869,0,Leicester,0.0,0
2017-11-28,0.0,1,0,0.06871789693832397,2,Tottenham,178903,0,Danny Simpson,2017,1,90,DR,7249,0.026648499071598053,0.04206940159201622,0,Leicester,0.0,0
2017-11-24,0.0,0,0,0.08258599787950516,1,Leicester,178587,0,Danny Simpson,2017,1,90,DR,7247,0.0,0.08258599787950516,0,West Ham,0.0,0
2017-11-18,0.0,0,0,0.0,0,Manchester City,178711,0,Danny Simpson,2017,2,90,DR,7235,0.0,0.0,0,Leicester,0.0,0
2017-11-04,0.0,0,0,0.013008800335228443,2,Leicester,179243,0,Danny Simpson,2017,2,90,DR,7224,0.0,0.013008800335228443,0,Stoke,0.0,0
2017-10-29,0.0,0,0,0.11199600249528885,2,Everton,177802,0,Danny Simpson,2017,0,90,DR,7214,0.0,0.11199600249528885,0,Leicester,0.0,0
2017-10-21,0.0,1,0,0.3520289957523346,1,Leicester,177406,0,Danny Simpson,2017,2,90,DR,7206,0.029541699215769768,0.3224869966506958,0,Swansea,0.0,0
2017-10-16,0.02015089988708496,1,0,0.11785800009965897,1,West Bromwich Albion,178383,0,Danny Simpson,2017,1,75,DR,7192,0.034379299730062485,0.09770700335502625,1,Leicester,0.02015089988708496,0
2017-09-30,0.0,0,0,0.013524600304663181,0,Leicester,177900,0,Danny Simpson,2017,0,90,DR,7184,0.0,0.013524600304663181,0,Bournemouth,0.0,0
2017-09-23,0.0,0,0,0.0,2,Liverpool,177089,0,Danny Simpson,2017,3,90,DR,7176,0.0,0.0,0,Leicester,0.0,0
2017-09-16,0.0,0,0,0.06289439648389816,1,Leicester,176358,0,Danny Simpson,2017,1,90,DR,7161,0.0,0.06289439648389816,0,Huddersfield,0.0,0
2017-09-09,0.0,0,0,0.0,1,Chelsea,177033,0,Danny Simpson,2017,2,90,DR,7151,0.0,0.0,0,Leicester,0.0,0
2017-08-26,0.0,0,0,0.02288700081408024,2,Leicester,176441,0,Danny Simpson,2017,0,90,DR,7145,0.0,0.02288700081408024,0,Manchester United,0.0,0
2017-08-19,0.0,0,0,0.6795560121536255,2,Brighton,176151,0,Danny Simpson,2017,0,90,DR,7133,0.0,0.6795560121536255,0,Leicester,0.0,0
2017-08-11,0.0,0,0,0.0,4,Leicester,175806,0,Danny Simpson,2017,3,90,DR,7119,0.0,0.0,0,Arsenal,0.0,0
