date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2018-05-13,0.05170249938964844,1,0,0.07431930303573608,0,Manchester City,240055,0,Fernandinho,2017,1,90,MC,7498,0.015401899814605713,0.07431930303573608,1,Southampton,0.05170249938964844,0
2018-05-09,0.166593998670578,3,1,1.2377300262451172,3,Brighton,238709,0,Fernandinho,2017,1,90,MC,7424,0.22479400038719177,0.9592469930648804,2,Manchester City,0.166593998670578,1
2018-05-06,0.11070200055837631,0,0,0.14905999600887299,0,Huddersfield,237908,0,Fernandinho,2017,0,90,MC,7480,0.0,0.1254030019044876,2,Manchester City,0.11070200055837631,0
2018-04-29,0.14599500596523285,0,1,0.46039101481437683,1,Manchester City,236510,0,Fernandinho,2017,4,90,MC,7478,0.0,0.314395010471344,2,West Ham,0.14599500596523285,1
2018-04-07,0.046892199665308,1,0,1.2921500205993652,2,Manchester United,230407,0,Fernandinho,2017,3,90,MC,7445,0.4059720039367676,1.2921500205993652,1,Manchester City,0.046892199665308,0
2018-03-31,0.07231929898262024,0,0,0.8626139760017395,1,Manchester City,227101,0,Fernandinho,2017,3,90,MC,7433,0.0,0.7902950048446655,4,Everton,0.07231929898262024,0
2018-03-12,0.17633700370788574,0,0,0.6179909706115723,0,Manchester City,223532,0,Fernandinho,2017,2,90,MC,7416,0.0,0.4416539967060089,3,Stoke,0.17633700370788574,0
2018-02-10,0.16184300184249878,0,0,1.5294500589370728,5,Leicester,215136,0,Fernandinho,2017,1,81,MC,7382,0.0,1.367609977722168,2,Manchester City,0.16184300184249878,0
2018-02-03,0.0,0,0,0.8604990243911743,1,Manchester City,214878,0,Fernandinho,2017,1,90,MC,7372,0.0,0.8604990243911743,0,Burnley,0.0,0
2018-01-31,0.11917400360107422,0,1,0.7817950248718262,3,West Bromwich Albion,215521,0,Fernandinho,2017,0,90,MC,7366,0.0,0.662621021270752,1,Manchester City,0.11917400360107422,1
2018-01-20,0.08258210122585297,1,0,0.38190600275993347,3,Newcastle United,209368,0,Fernandinho,2017,1,90,MC,7354,0.05810900032520294,0.3211289942264557,2,Manchester City,0.08258210122585297,0
2018-01-14,0.017517000436782837,0,0,0.1456180065870285,4,Manchester City,208280,0,Fernandinho,2017,3,90,MC,7343,0.0,0.12810200452804565,1,Liverpool,0.017517000436782837,0
2018-01-02,0.0,1,0,1.0510300397872925,3,Watford,206607,0,Fernandinho,2017,1,73,MC,7335,0.08431749790906906,1.0510300397872925,0,Manchester City,0.0,0
2017-12-31,0.02631009928882122,0,0,0.37744998931884766,0,Manchester City,206345,0,Fernandinho,2017,0,90,MC,7321,0.0,0.35113900899887085,2,Crystal Palace,0.02631009928882122,0
2017-12-27,0.0,1,0,0.8668360114097595,0,Manchester City,205820,0,Fernandinho,2017,1,90,MC,7315,0.3537540137767792,0.5130820274353027,0,Newcastle United,0.0,0
2017-12-23,0.09989280253648758,2,0,1.2661499977111816,4,Bournemouth,203091,1,Fernandinho,2017,0,90,MC,7308,0.35603100061416626,0.8805270195007324,2,Manchester City,0.09989280253648758,0
2017-12-16,0.0,0,0,0.2795479893684387,4,Tottenham,202646,0,Fernandinho,2017,1,90,MC,7298,0.0,0.2795479893684387,0,Manchester City,0.0,0
