date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2018-03-10,0.09038469940423965,0,0,0.09038469940423965,0,Valencia,222419,0,Francis Coquelin,2017,2,90,MR,8158,0.0,0.0,1,Sevilla,0.09038469940423965,0
2018-03-04,0.12747099995613098,0,0,0.12747099995613098,2,Real Betis,221805,0,Francis Coquelin,2017,0,15,Sub,8139,0.0,0.0,1,Valencia,0.12747099995613098,0
2018-02-28,0.0,1,0,0.023809099569916725,1,Valencia,220276,0,Francis Coquelin,2017,1,90,ML,8136,0.021783199161291122,0.023809099569916725,0,Athletic Club,0.0,0
2018-02-25,0.014701399952173233,0,0,0.09094639867544174,2,Real Sociedad,219957,0,Francis Coquelin,2017,1,90,MC,8119,0.0,0.07624500244855881,1,Valencia,0.014701399952173233,0
2018-02-17,0.03856689855456352,0,1,0.17323000729084015,1,Valencia,218256,0,Francis Coquelin,2017,2,90,MC,8116,0.0,0.17323000729084015,1,Malaga,0.03856689855456352,1
2018-02-11,0.0,0,0,0.328574001789093,3,Levante,216795,0,Francis Coquelin,2017,1,17,Sub,8099,0.0,0.328574001789093,0,Valencia,0.0,0
2018-01-27,0.0,0,0,0.07274620234966278,1,Real Madrid,210554,0,Francis Coquelin,2017,4,90,DC,8088,0.0,0.07274620234966278,0,Valencia,0.0,0
2018-01-20,0.0,1,0,0.07635170221328735,2,Valencia,209573,0,Francis Coquelin,2017,1,90,MC,8069,0.03773080185055733,0.038620900362730026,0,Las Palmas,0.0,0
2018-01-13,0.0,0,0,0.26093098521232605,1,Valencia,208086,0,Francis Coquelin,2017,2,83,MC,8061,0.0,0.26093098521232605,0,Deportivo La Coruna,0.0,0
2017-12-28,0.0,0,0,0.08175879716873169,2,Arsenal,205853,0,Francis Coquelin,2017,3,14,Sub,7311,0.0,0.08175879716873169,0,Crystal Palace,0.0,0
2017-12-16,0.0,0,0,0.0,1,Newcastle United,203125,0,Francis Coquelin,2017,0,1,Sub,7289,0.0,0.0,0,Arsenal,0.0,0
2017-11-18,0.0,1,0,0.0,2,Tottenham,179571,0,Francis Coquelin,2017,0,15,Sub,7236,0.5104960203170776,0.0,0,Arsenal,0.0,0
2017-11-05,0.0,0,0,0.1377660036087036,3,Arsenal,179001,0,Francis Coquelin,2017,1,57,DC,7228,0.0,0.1377660036087036,0,Manchester City,0.0,0
2017-10-22,0.0,0,0,0.20397600531578064,2,Arsenal,177169,0,Francis Coquelin,2017,5,6,Sub,7200,0.0,0.20397600531578064,0,Everton,0.0,0
2017-09-09,0.08386419713497162,0,0,0.08386419713497162,3,Bournemouth,176744,0,Francis Coquelin,2017,0,20,Sub,7152,0.0,0.0,1,Arsenal,0.08386419713497162,0
2017-08-27,0.0,0,0,0.0702655017375946,4,Arsenal,176397,0,Francis Coquelin,2017,0,42,Sub,7148,0.0,0.0702655017375946,0,Liverpool,0.0,0
