date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2018-05-13,0.08449920266866684,0,0,0.10267499834299088,2,West Bromwich Albion,240196,0,James McClean,2017,0,90,ML,7493,0.0,0.03308340162038803,3,Crystal Palace,0.08449920266866684,0
2018-05-05,0.0,1,0,0.0,1,Tottenham,237575,0,James McClean,2017,0,88,ML,7483,0.06280519813299179,0.0,0,West Bromwich Albion,0.0,0
2018-04-28,0.03525340184569359,0,0,0.337334007024765,0,West Bromwich Albion,235816,0,James McClean,2017,1,90,ML,7474,0.0,0.3020800054073334,1,Newcastle United,0.03525340184569359,0
2018-04-21,0.0742591992020607,0,0,0.0742591992020607,2,Liverpool,234105,0,James McClean,2017,2,72,ML,7468,0.0,0.0,2,West Bromwich Albion,0.0742591992020607,0
2018-04-15,0.020793000236153603,4,0,0.19622500240802765,0,West Bromwich Albion,232894,0,James McClean,2017,1,90,ML,7453,0.16035600006580353,0.03597849979996681,1,Manchester United,0.020793000236153603,0
2018-04-07,0.17106600105762482,0,0,0.13181699812412262,1,Swansea,230493,0,James McClean,2017,1,90,ML,7448,0.0,0.0,3,West Bromwich Albion,0.17106600105762482,0
2018-03-03,0.0,0,0,0.0,1,West Bromwich Albion,221047,0,James McClean,2017,0,7,Sub,7408,0.0,0.0,0,Watford,0.0,0
2018-02-24,0.20352700352668762,1,0,0.2224850058555603,1,Huddersfield,219186,0,James McClean,2017,2,59,ML,7394,0.01895809918642044,0.0,2,West Bromwich Albion,0.20352700352668762,0
2018-02-03,0.0,0,0,0.0,2,Southampton,215032,0,James McClean,2017,3,11,Sub,7378,0.0,0.0,0,West Bromwich Albion,0.0,0
2018-01-31,0.0,0,0,0.0,3,West Bromwich Albion,215536,0,James McClean,2017,0,90,ML,7366,0.0,0.0,0,Manchester City,0.0,0
2018-01-20,0.0,1,0,0.0,1,West Bromwich Albion,209221,0,James McClean,2017,1,10,Sub,7352,0.02043740078806877,0.0,0,Everton,0.0,0
2018-01-02,0.1323550045490265,0,1,0.1323550045490265,2,West Bromwich Albion,206541,0,James McClean,2017,1,90,AML,7329,0.0,0.09915079921483994,3,West Ham,0.1323550045490265,1
2017-12-31,0.0909079983830452,0,0,0.050751399248838425,1,Arsenal,206365,0,James McClean,2017,1,16,Sub,7328,0.0,0.0,2,West Bromwich Albion,0.0909079983830452,0
2017-12-26,0.0,1,0,0.022538499906659126,0,Everton,205728,0,James McClean,2017,0,2,Sub,7318,0.022538499906659126,0.0,0,West Bromwich Albion,0.0,0
2017-12-23,0.11261600255966187,2,0,0.21560099720954895,3,West Bromwich Albion,205463,0,James McClean,2017,1,48,ML,7306,0.10298500210046768,0.07313910126686096,1,Stoke,0.11261600255966187,0
2017-12-17,0.0,1,0,0.1171640008687973,1,Manchester United,202787,0,James McClean,2017,2,90,FWL,7295,0.024370599538087845,0.09279379993677139,0,West Bromwich Albion,0.0,0
2017-12-13,0.0,0,0,0.01935720071196556,0,West Bromwich Albion,205438,0,James McClean,2017,0,90,ML,7287,0.0,0.01935720071196556,0,Liverpool,0.0,0
2017-12-09,0.0,1,0,0.05962419882416725,1,West Bromwich Albion,198983,0,James McClean,2017,0,42,Sub,7271,0.05962419882416725,0.0,0,Swansea,0.0,0
2017-12-02,0.04142040014266968,0,0,0.11493299901485443,0,Crystal Palace,178860,0,James McClean,2017,0,17,Sub,7265,0.0,0.09097330272197723,2,West Bromwich Albion,0.04142040014266968,0
2017-11-28,0.0,0,0,0.0,2,Newcastle United,179053,0,James McClean,2017,2,9,Sub,7252,0.0,0.0,0,West Bromwich Albion,0.0,0
2017-11-25,0.0,0,0,0.0,1,West Bromwich Albion,179777,0,James McClean,2017,1,20,Sub,7239,0.0,0.0,0,Tottenham,0.0,0
2017-11-18,0.3895600140094757,0,0,0.3895600140094757,0,Chelsea,179025,0,James McClean,2017,4,4,Sub,7229,0.0,0.0,1,West Bromwich Albion,0.3895600140094757,0
2017-11-04,0.052772801369428635,1,0,0.10964199900627136,1,West Bromwich Albion,178212,0,James McClean,2017,0,30,Sub,7221,0.015311400406062603,0.04155740141868591,1,Huddersfield,0.052772801369428635,0
2017-10-28,0.0,0,0,0.0,2,Manchester City,178031,0,James McClean,2017,3,7,Sub,7215,0.0,0.0,0,West Bromwich Albion,0.0,0
2017-10-16,0.04823780059814453,0,0,0.04823780059814453,1,West Bromwich Albion,178407,0,James McClean,2017,1,5,Sub,7192,0.0,0.0,1,Leicester,0.04823780059814453,0
2017-09-30,0.1621900051832199,0,0,0.1621900051832199,2,Watford,178254,0,James McClean,2017,2,30,Sub,7182,0.0,0.0,2,West Bromwich Albion,0.1621900051832199,0
2017-09-16,0.0,1,0,0.11774999648332596,0,West Ham,176715,0,James McClean,2017,0,12,Sub,7165,0.11774999648332596,0.0,0,West Bromwich Albion,0.0,0
2017-08-27,0.04004659876227379,1,0,0.24518099427223206,1,Stoke,176660,0,James McClean,2017,1,15,Sub,7146,0.08270400017499924,0.13527199625968933,2,West Bromwich Albion,0.04004659876227379,0
2017-08-19,0.05219800025224686,0,0,0.06590519845485687,0,West Bromwich Albion,176118,0,James McClean,2017,1,64,ML,7132,0.0,0.013707299716770649,1,Burnley,0.05219800025224686,0
2017-08-12,0.04483310133218765,2,0,0.05674419924616814,1,Bournemouth,176049,0,James McClean,2017,0,90,ML,7121,0.027154099196195602,0.0,2,West Bromwich Albion,0.04483310133218765,0
