date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2018-05-13,0.2492160052061081,1,1,0.6703630089759827,5,Leicester,240112,0,Kelechi Iheanacho,2017,4,87,AMC,7490,0.033889200538396835,0.38725799322128296,4,Tottenham,0.2492160052061081,1
2018-05-09,0.25961199402809143,0,1,0.16958700120449066,3,Arsenal,238686,0,Kelechi Iheanacho,2017,1,90,FW,7422,0.0,0.0,6,Leicester,0.25961199402809143,1
2018-05-05,0.09314139932394028,0,0,0.09314139932394028,0,West Ham,237523,0,Kelechi Iheanacho,2017,2,28,Sub,7479,0.0,0.0,2,Leicester,0.09314139932394028,0
2018-04-28,0.5784710049629211,1,0,0.8339030146598816,5,Leicester,235761,0,Kelechi Iheanacho,2017,0,47,AMC,7470,0.3402630090713501,0.0,3,Crystal Palace,0.5784710049629211,0
2018-04-19,0.14355599880218506,1,0,0.24473300576210022,0,Southampton,233882,0,Kelechi Iheanacho,2017,0,76,AMC,7464,0.024526799097657204,0.07665020227432251,2,Leicester,0.14355599880218506,0
2018-04-14,0.11403600126504898,1,0,0.749671995639801,2,Leicester,232036,1,Kelechi Iheanacho,2017,1,42,Sub,7449,0.547776997089386,0.08785930275917053,2,Burnley,0.11403600126504898,0
2018-03-10,0.3880229890346527,3,1,0.8909639716148376,1,Leicester,222319,1,Kelechi Iheanacho,2017,4,29,Sub,7417,0.5029410123825073,0.0,1,West Bromwich Albion,0.3880229890346527,1
2018-03-03,0.9265329837799072,0,0,0.056450098752975464,1,Bournemouth,220924,0,Kelechi Iheanacho,2017,1,28,Sub,7402,0.0,0.056450098752975464,1,Leicester,0.9265329837799072,0
2018-02-24,0.02026580087840557,0,0,0.02026580087840557,1,Stoke,218971,0,Kelechi Iheanacho,2017,1,26,Sub,7396,0.0,0.0,1,Leicester,0.02026580087840557,0
2018-02-10,0.0,0,0,0.0,5,Leicester,215157,0,Kelechi Iheanacho,2017,1,27,Sub,7382,0.0,0.0,0,Manchester City,0.0,0
2018-02-03,0.5793920159339905,2,0,1.059149980545044,1,Swansea,214919,1,Kelechi Iheanacho,2017,1,70,FW,7374,0.4797550141811371,0.08938539773225784,2,Leicester,0.5793920159339905,0
2018-01-31,1.2522599697113037,0,0,0.0,2,Leicester,215459,0,Kelechi Iheanacho,2017,1,13,Sub,7365,0.0,0.0,2,Everton,1.2522599697113037,0
2017-11-18,0.0,0,0,0.0,0,Manchester City,178723,0,Kelechi Iheanacho,2017,2,21,Sub,7235,0.0,0.0,0,Leicester,0.0,0
2017-11-04,0.033899299800395966,1,0,0.1260630041360855,2,Leicester,179253,0,Kelechi Iheanacho,2017,2,28,Sub,7224,0.09216350317001343,0.0,1,Stoke,0.033899299800395966,0
2017-10-29,0.0,0,0,0.0,2,Everton,177813,0,Kelechi Iheanacho,2017,0,1,Sub,7214,0.0,0.0,0,Leicester,0.0,0
2017-10-16,0.0,1,0,0.06332769989967346,1,West Bromwich Albion,178391,0,Kelechi Iheanacho,2017,1,75,AMC,7192,0.06332769989967346,0.0,0,Leicester,0.0,0
2017-09-30,0.0,0,0,0.0,0,Leicester,177911,0,Kelechi Iheanacho,2017,0,20,Sub,7184,0.0,0.0,0,Bournemouth,0.0,0
2017-09-23,0.0,0,0,0.0,2,Liverpool,177100,0,Kelechi Iheanacho,2017,3,13,Sub,7176,0.0,0.0,0,Leicester,0.0,0
2017-09-16,0.1874379962682724,0,0,0.08924250304698944,1,Leicester,176366,0,Kelechi Iheanacho,2017,1,71,AMC,7161,0.0,0.0,2,Huddersfield,0.1874379962682724,0
2017-09-09,0.0,0,0,0.0,1,Chelsea,177043,0,Kelechi Iheanacho,2017,2,11,Sub,7151,0.0,0.0,0,Leicester,0.0,0
2017-08-11,0.0,0,0,0.0,4,Leicester,175817,0,Kelechi Iheanacho,2017,3,6,Sub,7119,0.0,0.0,0,Arsenal,0.0,0
