date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2018-05-13,0,0,0,0,0,4,Brighton,0,240247,0,Lewis Dunk,2017,0,90,DC,7495,0,Liverpool,0,0
2018-05-09,0,0,0,0.034898098558187485,0,3,Brighton,0,238721,0,Lewis Dunk,2017,1,90,DC,7424,0,Manchester City,0.034898098558187485,0
2018-05-04,0,0,0,0.028247199952602386,0,1,Manchester United,0,237014,0,Lewis Dunk,2017,0,90,DC,7484,0,Brighton,0.028247199952602386,0
2018-04-28,0,0,0,0.04903180152177811,0,0,Brighton,0,235727,0,Lewis Dunk,2017,0,90,DC,7469,0,Burnley,0.04903180152177811,0
2018-04-17,0.0310760997235775,0,0,0.017194800078868866,0,1,Tottenham,0.0310760997235775,233237,0,Lewis Dunk,2017,1,90,DC,7462,2,Brighton,0,0
2018-04-14,0.07308329641819,1,0,0.013741400092840195,0.9584029912948608,3,Brighton,0.07308329641819,232054,1,Lewis Dunk,2017,2,90,DC,7450,1,Crystal Palace,0.013741400092840195,0
2018-04-07,0.44744399189949036,0,0,0,0,1,Huddersfield,0.44744399189949036,230295,0,Lewis Dunk,2017,1,90,DC,7441,2,Brighton,0,0
2018-03-31,0.04688059911131859,2,0,0.07027170062065125,0.08832789957523346,0,Leicester,0.04688059911131859,227001,0,Lewis Dunk,2017,2,90,DC,7430,1,Brighton,0.07027170062065125,0
2018-03-10,0,1,0,0.04253619909286499,0.04253619909286499,2,Brighton,0,222362,0,Lewis Dunk,2017,0,90,DC,7412,0,Everton,0,0
2018-03-04,0.5969380140304565,0,1,0.06213809922337532,0,2,Arsenal,0.5969380140304565,221549,0,Lewis Dunk,2017,1,90,DC,7399,2,Brighton,0.06213809922337532,1
2018-02-24,0,1,0,0.193231999874115,0.10667899996042252,4,Swansea,0,219209,0,Lewis Dunk,2017,1,90,DC,7391,0,Brighton,0.193231999874115,0
2018-02-10,0.014739600010216236,0,0,0.4510349929332733,0,1,Brighton,0.014739600010216236,215231,0,Lewis Dunk,2017,1,90,DC,7385,1,Stoke,0.4510349929332733,0
2018-02-03,0.042479898780584335,0,0,0.20966200530529022,0,3,West Ham,0.042479898780584335,214836,0,Lewis Dunk,2017,1,90,DC,7371,1,Brighton,0.20966200530529022,0
2018-01-31,0,0,0,0,0,1,Brighton,0,215505,0,Lewis Dunk,2017,1,90,DC,7363,0,Southampton,0,0
2018-01-20,0,0,0,0.33209699392318726,0,0,Chelsea,0,208896,0,Lewis Dunk,2017,4,90,DC,7350,0,Brighton,0.33209699392318726,0
2018-01-13,0.08362019807100296,0,0,0.1179480031132698,0,2,Brighton,0.08362019807100296,207778,0,Lewis Dunk,2017,0,90,DC,7348,1,West Bromwich Albion,0.1179480031132698,0
2018-01-01,0,0,0,0.6025580167770386,0,2,Bournemouth,0,206384,0,Lewis Dunk,2017,2,90,DC,7331,0,Brighton,0.6025580167770386,0
2017-12-30,0.2698090076446533,0,0,0,0,0,Brighton,0.2698090076446533,206150,0,Lewis Dunk,2017,0,90,DC,7325,1,Newcastle United,0,0
2017-12-26,0,1,0,0.13418500125408173,0.019451700150966644,2,Brighton,0,205624,0,Lewis Dunk,2017,0,90,DC,7310,0,Chelsea,0.1147330030798912,0
2017-12-23,0.32887300848960876,1,0,0.043017201125621796,0.027906199917197227,1,Watford,0.32887300848960876,202892,0,Lewis Dunk,2017,0,90,DC,7305,1,Brighton,0.015111099928617477,0
2017-12-16,0.056241098791360855,1,0,0.08545129746198654,0.05175980180501938,0,Burnley,0.056241098791360855,205472,0,Lewis Dunk,2017,0,90,DC,7291,2,Brighton,0.03369149938225746,0
2017-12-13,0,0,0,0.02503659948706627,0,2,Brighton,0,203074,0,Lewis Dunk,2017,0,90,DC,7288,0,Tottenham,0.02503659948706627,0
2017-12-09,0,0,0,0.01463059987872839,0,2,Brighton,0,198835,0,Lewis Dunk,2017,0,90,DC,7274,0,Huddersfield,0.01463059987872839,0
2017-12-02,0,0,0,0.11090999841690063,0,1,Liverpool,0,179618,0,Lewis Dunk,2017,5,90,DC,7268,0,Brighton,0.11090999841690063,0
2017-11-28,0.14454400539398193,0,0,0,0,0,Crystal Palace,0.14454400539398193,178825,0,Lewis Dunk,2017,0,90,DC,7250,2,Brighton,0,0
2017-11-25,0.1239359974861145,0,0,0.17243599891662598,0,1,Brighton,0.1239359974861145,179437,0,Lewis Dunk,2017,0,90,DC,7243,1,Manchester United,0.04850040003657341,0
2017-11-20,0,1,0,0.08097720146179199,0.017260000109672546,2,Stoke,0,179729,0,Lewis Dunk,2017,2,90,DC,7238,0,Brighton,0.06371720135211945,0
2017-11-04,0.14248600602149963,0,0,0.14248600602149963,0,0,Brighton,0.14248600602149963,179328,0,Lewis Dunk,2017,1,90,DC,7225,1,Swansea,0,0
2017-10-29,0,0,0,0.016828300431370735,0,1,Southampton,0,177641,0,Lewis Dunk,2017,1,90,DC,7211,0,Brighton,0.016828300431370735,0
2017-10-20,0,0,0,0,0,0,Brighton,0,177462,0,Lewis Dunk,2017,3,90,DC,7208,0,West Ham,0,0
2017-10-15,0.18901300430297852,0,0,0,0,1,Everton,0.18901300430297852,178301,0,Lewis Dunk,2017,1,90,DC,7189,2,Brighton,0,0
2017-10-01,0.011054299771785736,0,0,0.011054299771785736,0,2,Brighton,0.011054299771785736,177846,0,Lewis Dunk,2017,0,90,DC,7186,1,Arsenal,0,0
2017-09-24,0,0,0,0,0,1,Newcastle United,0,176844,0,Lewis Dunk,2017,0,90,DC,7177,0,Brighton,0,0
2017-09-15,0,0,0,0,0,2,Brighton,0,177628,0,Lewis Dunk,2017,1,90,DC,7159,0,Bournemouth,0,0
2017-09-09,0,1,0,0.17639300227165222,0.02008729986846447,3,West Bromwich Albion,0,176817,0,Lewis Dunk,2017,1,90,DC,7153,0,Brighton,0.17639300227165222,0
2017-08-26,0.3390989899635315,0,0,0.1822810024023056,0,0,Brighton,0.3390989899635315,176609,0,Lewis Dunk,2017,0,90,DC,7143,2,Watford,0.1822810024023056,0
2017-08-19,0,0,0,0.0677545964717865,0,2,Brighton,0,176166,0,Lewis Dunk,2017,0,90,DC,7133,0,Leicester,0.0677545964717865,0
2017-08-12,0.21834200620651245,1,0,0,0.03254539892077446,0,Manchester City,0.21834200620651245,175822,0,Lewis Dunk,2017,2,90,DC,7126,3,Brighton,0,0
