date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2018-05-05,0.0,0,0,0.0,1,Crystal Palace,237203,0,Martin Kelly,2017,2,51,Sub,7481,0.0,0.0,0,Stoke,0.0,0
2018-03-31,0.0,0,0,0.0,1,Liverpool,227056,0,Martin Kelly,2017,2,90,DC,7432,0.0,0.0,0,Crystal Palace,0.0,0
2018-03-10,0.0,0,0,0.0,2,Crystal Palace,222498,0,Martin Kelly,2017,1,90,DC,7411,0.0,0.0,0,Chelsea,0.0,0
2018-03-05,0.0,1,0,0.013249999843537807,2,Manchester United,221852,0,Martin Kelly,2017,3,90,DC,7401,0.013249999843537807,0.0,0,Crystal Palace,0.0,0
2018-02-04,0.0,0,0,0.10535900294780731,1,Newcastle United,214886,0,Martin Kelly,2017,1,46,DC,7373,0.0,0.10535900294780731,0,Crystal Palace,0.0,0
2018-01-30,0.008069150149822235,0,0,0.0,1,Crystal Palace,215394,0,Martin Kelly,2017,1,90,DC,7360,0.0,0.0,1,West Ham,0.008069150149822235,0
2018-01-20,0.11496499925851822,0,0,0.009095580317080021,4,Crystal Palace,209132,0,Martin Kelly,2017,1,90,DC,7349,0.0,0.009095580317080021,1,Arsenal,0.11496499925851822,0
2018-01-13,0.10250599682331085,0,0,0.0,1,Burnley,207658,0,Martin Kelly,2017,0,90,DC,7341,0.0,0.0,2,Crystal Palace,0.10250599682331085,0
2018-01-02,0.0,1,0,0.023862499743700027,1,Crystal Palace,206562,0,Martin Kelly,2017,2,90,DC,7336,0.0739704966545105,0.023862499743700027,0,Southampton,0.0,0
2017-12-31,0.0,0,0,0.0,0,Manchester City,206336,0,Martin Kelly,2017,0,71,Sub,7321,0.0,0.0,0,Crystal Palace,0.0,0
2017-12-28,0.0,0,0,0.15740500390529633,2,Arsenal,205829,0,Martin Kelly,2017,3,81,DR,7311,0.0,0.15740500390529633,0,Crystal Palace,0.0,0
2017-12-23,0.0,0,0,0.0,1,Crystal Palace,202574,0,Martin Kelly,2017,1,90,DR,7299,0.0,0.0,0,Swansea,0.0,0
2017-12-16,0.0,0,0,0.2265930026769638,0,Crystal Palace,202601,0,Martin Kelly,2017,3,90,DR,7294,0.0,0.2265930026769638,0,Leicester,0.0,0
2017-12-02,0.0,0,0,0.0,0,Crystal Palace,178865,0,Martin Kelly,2017,0,90,DC,7265,0.0,0.0,0,West Bromwich Albion,0.0,0
2017-08-26,0.12427999824285507,0,0,0.19389499723911285,0,Swansea,177072,0,Martin Kelly,2017,2,50,Sub,7141,0.0,0.19389499723911285,1,Crystal Palace,0.12427999824285507,0
