date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2018-05-13,0.059741899371147156,0,0,0.28297701478004456,3,Chelsea,240291,0,Mohamed Diamé,2017,0,89,DMC,7497,0.0,0.2433830052614212,3,Newcastle United,0.059741899371147156,0
2018-05-09,0.02296379953622818,1,0,0.11726000159978867,1,Newcastle United,238751,0,Mohamed Diamé,2017,0,90,DMC,7427,0.06412550061941147,0.09429589658975601,1,Tottenham,0.02296379953622818,0
2018-05-05,0.0,0,0,0.0,2,Newcastle United,237559,0,Mohamed Diamé,2017,1,85,MC,7482,0.0,0.0,0,Watford,0.0,0
2018-04-28,0.1726360023021698,2,0,0.2308409959077835,0,West Bromwich Albion,235800,0,Mohamed Diamé,2017,1,90,MC,7474,0.05662050098180771,0.18691299855709076,3,Newcastle United,0.1726360023021698,0
2018-04-23,0.016154799610376358,1,0,0.03350070118904114,1,Newcastle United,235341,0,Mohamed Diamé,2017,0,90,MC,7461,0.017345799133181572,0.0,1,Everton,0.016154799610376358,0
2018-04-15,0.0,0,0,0.23522800207138062,2,Arsenal,232655,0,Mohamed Diamé,2017,1,90,MC,7454,0.0,0.23522800207138062,0,Newcastle United,0.0,0
2018-04-07,0.0,0,0,0.0,1,Newcastle United,230394,0,Mohamed Diamé,2017,2,83,MC,7444,0.0,0.0,0,Leicester,0.0,0
2018-03-31,0.015117200091481209,1,0,0.036187898367643356,1,Huddersfield,226895,0,Mohamed Diamé,2017,0,80,MC,7436,0.021070700138807297,0.021070700138807297,1,Newcastle United,0.015117200091481209,0
2018-03-10,0.0,1,0,0.06382810324430466,3,Southampton,222271,0,Mohamed Diamé,2017,0,90,MC,7415,0.06382810324430466,0.0,0,Newcastle United,0.0,0
2018-03-03,0.056555699557065964,0,0,0.12849099934101105,2,Newcastle United,221182,0,Mohamed Diamé,2017,0,90,MC,7403,0.0,0.12849099934101105,1,Liverpool,0.056555699557065964,0
2018-02-24,0.0,1,0,0.0,2,Newcastle United,219117,0,Mohamed Diamé,2017,2,90,MC,7390,0.577426016330719,0.0,0,Bournemouth,0.0,0
2018-02-11,0.0,3,0,0.1514270007610321,1,Manchester United,215164,0,Mohamed Diamé,2017,0,90,MC,7383,0.0759648010134697,0.07546219974756241,0,Newcastle United,0.0,0
2018-02-04,0.4590499997138977,0,1,0.10430700331926346,1,Newcastle United,214902,0,Mohamed Diamé,2017,1,68,MC,7373,0.0,0.10430700331926346,1,Crystal Palace,0.4590499997138977,1
2018-01-31,0.1084590032696724,1,0,0.040345199406147,1,Burnley,215466,0,Mohamed Diamé,2017,1,90,MC,7364,0.01733439974486828,0.040345199406147,1,Newcastle United,0.1084590032696724,0
2018-01-20,0.05695680156350136,0,0,0.05695680156350136,3,Newcastle United,209382,0,Mohamed Diamé,2017,1,90,MC,7354,0.0,0.0,1,Manchester City,0.05695680156350136,0
2018-01-13,0.04187130182981491,0,0,0.04187130182981491,1,Swansea,207711,0,Mohamed Diamé,2017,1,90,DMC,7345,0.0,0.0,2,Newcastle United,0.04187130182981491,0
2018-01-01,0.06545539945363998,0,0,0.19820499420166016,0,Newcastle United,206647,0,Mohamed Diamé,2017,1,90,DMC,7337,0.0,0.132750004529953,1,Stoke,0.06545539945363998,0
2017-12-27,0.0,0,0,0.0,0,Manchester City,205807,0,Mohamed Diamé,2017,1,90,MC,7315,0.0,0.0,0,Newcastle United,0.0,0
2017-12-23,0.46302101016044617,0,1,0.560670018196106,2,Newcastle United,205379,0,Mohamed Diamé,2017,3,90,MC,7300,0.0,0.09764859825372696,2,West Ham,0.46302101016044617,1
2017-12-16,0.0,0,0,0.022478800266981125,1,Newcastle United,203138,0,Mohamed Diamé,2017,0,6,Sub,7289,0.0,0.022478800266981125,0,Arsenal,0.0,0
2017-12-13,0.0,0,0,0.15251700580120087,0,Everton,202925,0,Mohamed Diamé,2017,1,68,AMC,7284,0.0,0.15251700580120087,0,Newcastle United,0.0,0
2017-12-02,0.0,0,0,0.0,3,Newcastle United,179718,0,Mohamed Diamé,2017,1,77,MC,7259,0.0,0.0,0,Chelsea,0.0,0
2017-11-25,0.0,1,0,0.07721389830112457,0,Watford,179510,0,Mohamed Diamé,2017,3,71,MC,7242,0.01731809973716736,0.059895701706409454,0,Newcastle United,0.0,0
2017-11-18,0.0,0,0,0.03100609965622425,4,Newcastle United,178900,0,Mohamed Diamé,2017,1,10,Sub,7232,0.0,0.03100609965622425,0,Manchester United,0.0,0
2017-10-30,0.0,0,0,0.0,1,Newcastle United,177709,0,Mohamed Diamé,2017,0,84,DMC,7212,0.0,0.0,0,Burnley,0.0,0
2017-10-21,0.03674029931426048,1,0,0.07578279823064804,1,Crystal Palace,177320,0,Mohamed Diamé,2017,0,22,Sub,7203,0.03904249891638756,0.0,1,Newcastle United,0.03674029931426048,0
2017-10-01,0.10772500187158585,0,0,0.0,1,Liverpool,178170,0,Mohamed Diamé,2017,1,1,Sub,7188,0.0,0.0,1,Newcastle United,0.10772500187158585,0
2017-09-16,0.0,0,0,0.0,2,Stoke,176521,0,Mohamed Diamé,2017,1,3,Sub,7163,0.0,0.0,0,Newcastle United,0.0,0
2017-09-10,0.0,0,0,0.30446699261665344,0,Newcastle United,177307,0,Mohamed Diamé,2017,1,20,Sub,7157,0.0,0.30446699261665344,0,Swansea,0.0,0
2017-08-26,0.0,1,0,0.055463600903749466,3,West Ham,176493,0,Mohamed Diamé,2017,0,2,Sub,7142,0.055463600903749466,0.0,0,Newcastle United,0.0,0
