date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2018-01-13,0.13846200704574585,0,0,0.09139589965343475,1,Swansea,207729,0,Oliver McBurnie,2017,1,72,FW,7345,0.0,0.0,2,Newcastle United,0.13846200704574585,0
2018-01-02,0.0,0,0,0.0,0,Tottenham,206586,0,Oliver McBurnie,2017,2,18,Sub,7338,0.0,0.0,0,Swansea,0.0,0
2017-12-30,0.0,1,0,0.5389220118522644,1,Swansea,206186,1,Oliver McBurnie,2017,2,31,Sub,7327,0.5389220118522644,0.5389220118522644,0,Watford,0.0,0
2017-12-26,0.08326710015535355,0,0,0.1098880022764206,5,Swansea,205769,0,Oliver McBurnie,2017,0,64,FW,7313,0.0,0.026621099561452866,2,Liverpool,0.08326710015535355,0
2017-12-02,0.0,0,0,0.0,2,Swansea,178709,0,Oliver McBurnie,2017,1,15,Sub,7263,0.0,0.0,0,Stoke,0.0,0
2017-11-29,0.0,0,0,0.017448099330067635,1,Swansea,179148,0,Oliver McBurnie,2017,0,24,Sub,7255,0.0,0.017448099330067635,0,Chelsea,0.0,0
2017-11-04,0.024743899703025818,0,0,0.024743899703025818,0,Brighton,179324,0,Oliver McBurnie,2017,1,10,Sub,7225,0.0,0.024743899703025818,1,Swansea,0.024743899703025818,0
2017-10-28,0.0,0,0,0.0,2,Swansea,177498,0,Oliver McBurnie,2017,1,5,Sub,7209,0.0,0.0,0,Arsenal,0.0,0
2017-08-26,0.0,0,0,0.0,0,Swansea,177087,0,Oliver McBurnie,2017,2,9,Sub,7141,0.0,0.0,0,Crystal Palace,0.0,0
2017-08-19,0.0,0,0,0.0,0,Manchester United,176687,0,Oliver McBurnie,2017,4,6,Sub,7129,0.0,0.0,0,Swansea,0.0,0
2017-08-12,0.0,0,0,0.0,0,Swansea,176010,0,Oliver McBurnie,2017,0,3,Sub,7122,0.0,0.0,0,Southampton,0.0,0
