date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2018-05-19,0.0,1,0,0.9844409823417664,1,Alaves,240600,0,Roque Mesa,2017,0,90,MC,8253,0.43311798572540283,0.5513229966163635,0,Sevilla,0.0,0
2018-05-12,0.0,1,0,0.24312099814414978,2,Sevilla,239276,0,Roque Mesa,2017,2,90,DMC,8244,0.04362209886312485,0.24312099814414978,0,Real Betis,0.0,0
2018-05-09,0.0,1,0,0.02895049937069416,3,Real Madrid,238798,0,Roque Mesa,2017,2,10,Sub,8215,0.02895049937069416,0.0,0,Sevilla,0.0,0
2018-05-04,0.027819300070405006,1,0,0.5001819729804993,1,Real Sociedad,237072,0,Roque Mesa,2017,0,79,DMC,8234,0.04733309894800186,0.4723629951477051,1,Sevilla,0.027819300070405006,0
2018-04-14,0.0,1,0,0.0,2,Villarreal,231772,0,Roque Mesa,2017,2,5,Sub,8196,0.030222700908780098,0.0,0,Sevilla,0.0,0
2018-02-17,0.0,0,0,0.0,1,Sevilla,217814,0,Roque Mesa,2017,2,12,Sub,8118,0.0,0.0,0,Las Palmas,0.0,0
2018-02-03,0.0,0,0,0.0,5,Sevilla,216694,0,Roque Mesa,2017,1,53,DMC,8095,0.0,0.0,0,Eibar,0.0,0
2017-12-30,0.040970198810100555,0,0,0.040970198810100555,1,Swansea,206179,0,Roque Mesa,2017,2,48,MC,7327,0.0,0.0,2,Watford,0.040970198810100555,0
2017-12-26,0.0,0,0,0.07973050326108932,5,Swansea,205766,0,Roque Mesa,2017,0,67,MC,7313,0.0,0.07973050326108932,0,Liverpool,0.0,0
2017-12-23,0.018505899235606194,0,0,0.1272979974746704,1,Crystal Palace,202564,0,Roque Mesa,2017,1,90,MC,7299,0.0,0.10879199951887131,1,Swansea,0.018505899235606194,0
2017-12-18,0.03203190118074417,2,0,0.07365839928388596,3,Swansea,203245,0,Roque Mesa,2017,1,90,MC,7293,0.04162650182843208,0.017737900838255882,1,Everton,0.03203190118074417,0
2017-12-13,0.01572299934923649,1,0,0.05538969859480858,0,Manchester City,205393,0,Roque Mesa,2017,4,90,MC,7281,0.05538969859480858,0.0,1,Swansea,0.01572299934923649,0
2017-12-09,0.015535900369286537,1,0,0.09987419843673706,1,West Bromwich Albion,198963,0,Roque Mesa,2017,0,90,MC,7271,0.018834400922060013,0.09987419843673706,1,Swansea,0.015535900369286537,0
2017-11-29,0.0,0,0,0.0,1,Swansea,179140,0,Roque Mesa,2017,0,66,MC,7255,0.0,0.0,0,Chelsea,0.0,0
2017-11-25,0.01174159999936819,0,0,0.16969600319862366,0,Bournemouth,179676,0,Roque Mesa,2017,0,90,DMC,7240,0.0,0.15795500576496124,1,Swansea,0.01174159999936819,0
2017-09-30,0.0,0,0,0.01816130056977272,1,Swansea,178296,0,Roque Mesa,2017,0,20,Sub,7183,0.0,0.01816130056977272,0,West Ham,0.0,0
2017-09-23,0.0,1,0,0.0,1,Watford,177730,0,Roque Mesa,2017,2,43,Sub,7171,0.012063800357282162,0.0,0,Swansea,0.0,0
2017-08-19,0.0,0,0,0.0,0,Manchester United,176679,0,Roque Mesa,2017,4,68,DMC,7129,0.0,0.0,0,Swansea,0.0,0
