date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2018-05-13,0.1406240016222,1,0,0.4908260107040405,0.13515299558639526,0,Arsenal,0.1406240016222,240211,0,Steve Mounie,2017,1,80,FW,7494,3,Huddersfield,0.4908260107040405,0
2018-05-06,0,0,0,0,0,0,Huddersfield,0,237925,0,Steve Mounie,2017,0,60,FW,7480,0,Manchester City,0,0
2018-04-28,0.033209700137376785,0,0,0.40251100063323975,0,0,Everton,0.033209700137376785,235776,0,Steve Mounie,2017,2,90,FW,7471,2,Huddersfield,0.3693009912967682,0
2018-04-14,0.21291199326515198,1,0,0.26515600085258484,0.052244000136852264,1,Watford,0.21291199326515198,232075,0,Steve Mounie,2017,0,72,FW,7451,3,Huddersfield,0,0
2018-04-07,1.006060004234314,0,1,1.006060004234314,0,1,Huddersfield,1.006060004234314,230315,0,Steve Mounie,2017,1,90,FW,7441,4,Brighton,0.05531580001115799,1
2018-03-31,0,0,0,0,0,1,Huddersfield,0,226914,0,Steve Mounie,2017,0,6,Sub,7436,0,Newcastle United,0,0
2018-03-17,0.10821700096130371,0,0,0.03981659933924675,0,0,Crystal Palace,0.10821700096130371,223966,0,Steve Mounie,2017,2,90,FW,7421,2,Huddersfield,0,0
2018-03-10,0.5793250203132629,1,0,0.3513830006122589,0.08118680119514465,0,Swansea,0.5793250203132629,222383,0,Steve Mounie,2017,0,90,FW,7413,8,Huddersfield,0,0
2018-03-03,0,1,0,0.03983449935913086,0.03983449935913086,2,Huddersfield,0,221018,0,Steve Mounie,2017,0,90,FW,7407,0,Tottenham,0,0
2018-02-24,0.422991007566452,1,1,0.6068819761276245,0.019100399687886238,1,Huddersfield,0.422991007566452,219202,0,Steve Mounie,2017,2,90,FW,7394,3,West Bromwich Albion,0.2637009918689728,1
2018-02-11,0.18842899799346924,1,1,0.5183010101318359,0.380264014005661,4,Bournemouth,0.18842899799346924,215112,1,Steve Mounie,2017,1,90,FW,7381,3,Huddersfield,0,1
2018-01-30,0,0,0,0,0,0,Liverpool,0,215335,0,Steve Mounie,2017,3,64,FW,7359,0,Huddersfield,0,0
2018-01-20,0.09923969954252243,0,0,0.09923969954252243,0,2,Huddersfield,0.09923969954252243,209275,0,Steve Mounie,2017,0,90,FW,7356,2,Stoke,0,0
2018-01-01,0,2,0,0.06588870286941528,0.052184898406267166,3,Huddersfield,0,206459,0,Steve Mounie,2017,0,90,FW,7334,0,Leicester,0.03082050010561943,0
2017-12-26,0.2017669975757599,0,0,0.5851290225982666,0,1,Stoke,0.2017669975757599,205645,0,Steve Mounie,2017,1,65,FW,7312,2,Huddersfield,0.43460801243782043,0
2017-12-23,0,0,0,0,0,1,Huddersfield,0,203166,0,Steve Mounie,2017,1,4,Sub,7307,0,Southampton,0,0
2017-12-12,0,1,0,0.3200100064277649,0.30297601222991943,1,Chelsea,0,202678,0,Steve Mounie,2017,3,75,FW,7280,0,Huddersfield,0.017034199088811874,0
2017-12-09,1.26774001121521,2,2,0.3288240134716034,0.13699400424957275,2,Brighton,1.26774001121521,198828,0,Steve Mounie,2017,0,87,FW,7274,5,Huddersfield,0.0809314027428627,2
2017-12-02,0,0,0,0,0,2,Huddersfield,0,179804,0,Steve Mounie,2017,0,16,Sub,7260,0,Everton,0,0
2017-11-29,0.137036994099617,1,0,0.2465669959783554,0.1095300018787384,5,Huddersfield,0.137036994099617,178678,0,Steve Mounie,2017,0,75,FW,7254,2,Arsenal,0,0
2017-11-26,0,0,0,0,0,1,Manchester City,0,179267,0,Steve Mounie,2017,2,3,Sub,7245,0,Huddersfield,0,0
2017-11-18,0.07445570081472397,1,0,0.07445570081472397,0.12154799699783325,4,Huddersfield,0.07445570081472397,179668,0,Steve Mounie,2017,0,39,Sub,7237,1,Bournemouth,0,0
2017-10-28,0,0,0,0,0,3,Huddersfield,0,177882,0,Steve Mounie,2017,0,19,Sub,7217,0,Liverpool,0,0
2017-10-21,0,0,0,0,0,2,Manchester United,0,177210,0,Steve Mounie,2017,1,17,Sub,7201,0,Huddersfield,0,0
2017-09-11,0.0288356002420187,1,0,0.14691999554634094,0.09969320148229599,2,Huddersfield,0.0288356002420187,177551,0,Steve Mounie,2017,0,90,FW,7158,1,West Ham,0.01839129999279976,0
2017-08-26,0.6825799942016602,0,0,0.7069770097732544,0,0,Southampton,0.6825799942016602,176325,0,Steve Mounie,2017,0,90,FW,7144,5,Huddersfield,0.036930400878190994,0
2017-08-20,0,2,0,0.07659810036420822,0.07659810036420822,1,Newcastle United,0,176132,0,Steve Mounie,2017,0,90,FW,7136,0,Huddersfield,0,0
2017-08-12,0.6180809736251831,0,2,0.6297889947891235,0,0,Huddersfield,0.6180809736251831,175897,0,Steve Mounie,2017,3,88,FW,7124,3,Crystal Palace,0.011707999743521214,2
