date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2018-05-13,0.13515299558639526,0,0,0.018595300614833832,0,Arsenal,240206,0,Terence Kongolo,2017,1,90,DC,7494,0.0,0.018595300614833832,1,Huddersfield,0.13515299558639526,0
2018-05-09,0.0,0,0,0.0,1,Huddersfield,238776,0,Terence Kongolo,2017,1,90,DC,7460,0.0,0.0,0,Chelsea,0.0,0
2018-05-06,0.0,0,0,0.0,0,Huddersfield,237920,0,Terence Kongolo,2017,0,90,DC,7480,0.0,0.0,0,Manchester City,0.0,0
2018-04-28,0.020353900268673897,1,0,0.018147900700569153,0,Everton,235770,0,Terence Kongolo,2017,2,90,DL,7471,0.018147900700569153,0.0,1,Huddersfield,0.020353900268673897,0
2018-04-14,0.0,0,0,0.49935099482536316,1,Watford,232069,0,Terence Kongolo,2017,0,90,DL,7451,0.0,0.49935099482536316,0,Huddersfield,0.0,0
2018-04-07,0.0,2,0,0.16753600537776947,1,Huddersfield,230309,0,Terence Kongolo,2017,1,90,DL,7441,0.1497029960155487,0.017833299934864044,0,Brighton,0.0,0
2018-03-31,0.0,0,0,0.012996899895370007,1,Huddersfield,226907,0,Terence Kongolo,2017,0,90,DL,7436,0.0,0.012996899895370007,0,Newcastle United,0.0,0
2018-03-03,0.0,0,0,0.0,2,Huddersfield,221012,0,Terence Kongolo,2017,0,90,DL,7407,0.0,0.0,0,Tottenham,0.0,0
2018-02-24,0.0,0,0,0.01186159998178482,1,Huddersfield,219196,0,Terence Kongolo,2017,2,90,DL,7394,0.0,0.01186159998178482,0,West Bromwich Albion,0.0,0
2018-02-11,0.0,0,0,0.5708640217781067,4,Bournemouth,215115,0,Terence Kongolo,2017,1,36,Sub,7381,0.0,0.5708640217781067,0,Huddersfield,0.0,0
2018-02-03,0.0,0,0,0.0,2,Huddersfield,214984,0,Terence Kongolo,2017,0,90,DL,7376,0.0,0.0,0,Manchester United,0.0,0
2018-01-30,0.0,0,0,0.12822499871253967,0,Liverpool,215329,0,Terence Kongolo,2017,3,90,DC,7359,0.0,0.12822499871253967,0,Huddersfield,0.0,0
2018-01-13,0.0,0,0,0.0,1,West Ham,207691,0,Terence Kongolo,2017,4,17,Sub,7342,0.0,0.0,0,Huddersfield,0.0,0
2017-12-20,0.3616659939289093,0,0,0.04251139983534813,2,Rennes,203726,0,Terence Kongolo,2017,1,79,DL,8754,0.0,0.04251139983534813,1,Monaco,0.3616659939289093,0
2017-12-02,0.0,0,0,0.23589299619197845,1,Angers,184303,0,Terence Kongolo,2017,0,90,DL,8723,0.0,0.23589299619197845,0,Monaco,0.0,0
2017-10-13,0.0,1,0,0.633808970451355,3,Monaco,182206,0,Terence Kongolo,2017,2,90,DL,8649,0.3332259953022003,0.30058300495147705,0,Lyon,0.0,0
