date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2018-05-13,0.06136380136013031,2,0,0.17348699271678925,0.0984186977148056,0,Arsenal,0.06136380136013031,240208,0,Aaron Mooy,2017,1,90,MC,7494,1,Huddersfield,0.11212299764156342,0
2018-05-09,0,1,0,0,0.2862370014190674,1,Huddersfield,0,238778,0,Aaron Mooy,2017,1,90,MC,7460,0,Chelsea,0,0
2018-05-06,0.017888600006699562,1,0,0.12989799678325653,0.092466801404953,0,Huddersfield,0.017888600006699562,237922,0,Aaron Mooy,2017,0,90,MC,7480,1,Manchester City,0.019542599096894264,0
2018-04-28,0,0,0,0.03262750059366226,0,0,Everton,0,235771,0,Aaron Mooy,2017,2,90,DMC,7471,0,Huddersfield,0.03262750059366226,0
2018-04-14,0.02525619976222515,1,0,0.07554949820041656,0.02330549992620945,1,Watford,0.02525619976222515,232070,0,Aaron Mooy,2017,0,90,DMC,7451,1,Huddersfield,0.052244000136852264,0
2018-04-07,0.0933597981929779,0,0,0.25324299931526184,0,1,Huddersfield,0.0933597981929779,230311,0,Aaron Mooy,2017,1,90,MC,7441,3,Brighton,0.15988300740718842,0
2018-03-31,0,1,0,0,0.22064000368118286,1,Huddersfield,0,226909,0,Aaron Mooy,2017,0,90,MC,7436,0,Newcastle United,0,0
2018-03-17,0,0,0,0,0,0,Crystal Palace,0,223961,0,Aaron Mooy,2017,2,90,DMC,7421,0,Huddersfield,0,0
2018-03-10,0.015876099467277527,4,0,0.36410799622535706,0.1967869997024536,0,Swansea,0.015876099467277527,222378,0,Aaron Mooy,2017,0,72,DMC,7413,1,Huddersfield,0.2835319936275482,0
2018-02-11,0.04571710154414177,5,0,0.7279189825057983,1.1156799793243408,4,Bournemouth,0.04571710154414177,215107,1,Aaron Mooy,2017,1,78,DMC,7381,1,Huddersfield,0,0
2018-02-03,0.021077800542116165,0,0,0.03419860079884529,0,2,Huddersfield,0.021077800542116165,214991,0,Aaron Mooy,2017,0,58,Sub,7376,1,Manchester United,0.03419860079884529,0
2018-01-30,0,0,0,0.08743509650230408,0,0,Liverpool,0,215331,0,Aaron Mooy,2017,3,80,MC,7359,0,Huddersfield,0.08743509650230408,0
2018-01-20,0,2,0,0.01605059951543808,0.10622599720954895,2,Huddersfield,0,209270,0,Aaron Mooy,2017,0,90,DMC,7356,0,Stoke,0,0
2018-01-13,0,3,0,0.0529181994497776,0.15991899371147156,1,West Ham,0,207685,1,Aaron Mooy,2017,4,90,DMC,7342,0,Huddersfield,0.014710599556565285,0
2018-01-01,0.017116699367761612,0,0,0.11266899853944778,0,3,Huddersfield,0.017116699367761612,206454,0,Aaron Mooy,2017,0,90,DMC,7334,1,Leicester,0.09555269777774811,0
