date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2018-05-06,0,0,0,0,0,5,Burnley,0,238372,0,Ashley Barnes,2017,0,21,FW,7487,0,Arsenal,0,0
2018-04-28,0.21200700104236603,1,0,0.20307299494743347,0.11798100173473358,0,Brighton,0.21200700104236603,235720,0,Ashley Barnes,2017,0,90,FW,7469,2,Burnley,0,0
2018-04-22,0.9305739998817444,0,1,0.9931949973106384,0,1,Burnley,0.9305739998817444,234787,0,Ashley Barnes,2017,1,75,FW,7466,2,Stoke,0.0626206025481224,1
2018-04-19,0.06865090131759644,0,1,0.06865090131759644,0,1,Chelsea,0.06865090131759644,233857,0,Ashley Barnes,2017,2,90,FW,7420,1,Burnley,0,1
2018-04-14,0.04820150136947632,2,0,0.3426089882850647,0.36448898911476135,2,Leicester,0.04820150136947632,232021,0,Ashley Barnes,2017,1,87,FW,7449,1,Burnley,0,0
2018-04-07,0.04647130146622658,0,0,0.015412500128149986,0,1,Burnley,0.04647130146622658,230482,0,Ashley Barnes,2017,2,90,FW,7447,2,Watford,0.015412500128149986,0
2018-03-31,0.27681300044059753,1,1,0.3011060059070587,0.024293599650263786,1,Burnley,0.27681300044059753,226968,0,Ashley Barnes,2017,2,90,FW,7438,3,West Bromwich Albion,0,1
2018-03-10,0.1539050042629242,0,1,0.7680569887161255,0,0,Burnley,0.1539050042629242,222343,0,Ashley Barnes,2017,3,90,FW,7418,2,West Ham,0.6141520142555237,1
2018-03-03,0.7470579743385315,3,1,0.8829889893531799,0.13593100011348724,2,Everton,0.7470579743385315,220700,0,Ashley Barnes,2017,1,90,FW,7400,5,Burnley,0,1
2018-02-24,0.9933300018310547,1,1,1.0445599555969238,0.0863301008939743,1,Southampton,0.9933300018310547,219135,0,Ashley Barnes,2017,1,90,FW,7398,3,Burnley,0,1
2018-02-10,0.1371700018644333,1,0,0.1554339975118637,0.01674240082502365,1,Burnley,0.1371700018644333,215265,0,Ashley Barnes,2017,0,90,FW,7386,4,Swansea,0.040911298245191574,0
2018-02-03,0,0,0,0.07760059833526611,0,1,Manchester City,0,214869,0,Ashley Barnes,2017,1,90,FW,7372,0,Burnley,0.07760059833526611,0
2018-01-31,0.34022098779678345,1,0,0.3671869933605194,0.026966100558638573,1,Burnley,0.34022098779678345,215484,0,Ashley Barnes,2017,1,90,FW,7364,3,Newcastle United,0,0
2018-01-20,0.151869997382164,0,0,0.1095689982175827,0,0,Manchester United,0.151869997382164,209178,0,Ashley Barnes,2017,1,90,FW,7351,3,Burnley,0.029286900535225868,0
2018-01-13,0.43625199794769287,0,0,0.47875601053237915,0,1,Burnley,0.43625199794769287,207676,0,Ashley Barnes,2017,0,90,AML,7341,4,Crystal Palace,0.0797400027513504,0
