date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2018-05-13,0,0,0,0.03787140175700188,0,2,West Bromwich Albion,0,240191,0,Craig Dawson,2017,0,90,DC,7493,0,Crystal Palace,0.03787140175700188,0
2018-05-05,0.06280519813299179,1,0,0,0.09566210210323334,1,Tottenham,0.06280519813299179,237570,0,Craig Dawson,2017,0,90,DC,7483,1,West Bromwich Albion,0,0
2018-04-28,0.020715000107884407,0,0,0.11918999999761581,0,0,West Bromwich Albion,0.020715000107884407,235811,0,Craig Dawson,2017,1,90,DC,7474,1,Newcastle United,0.11918999999761581,0
2018-04-21,0.17847299575805664,0,0,0.04336550086736679,0,2,Liverpool,0.17847299575805664,234100,0,Craig Dawson,2017,2,90,DC,7468,2,West Bromwich Albion,0.04336550086736679,0
2018-04-15,0,0,0,0,0,0,West Bromwich Albion,0,232889,0,Craig Dawson,2017,1,90,DC,7453,0,Manchester United,0,0
2018-04-07,0,2,0,0.056587498635053635,0.1579589992761612,1,Swansea,0,230488,0,Craig Dawson,2017,1,90,DC,7448,0,West Bromwich Albion,0.056587498635053635,0
2018-03-31,0,0,0,0.17680099606513977,0,1,Burnley,0,226947,0,Craig Dawson,2017,2,90,DC,7438,0,West Bromwich Albion,0.17680099606513977,0
2018-03-17,0.11860000342130661,0,0,0.19580799341201782,0,2,West Bromwich Albion,0.11860000342130661,223944,0,Craig Dawson,2017,1,90,DC,7419,1,Bournemouth,0.07720740139484406,0
2018-03-10,0,0,0,0.020647000521421432,0,1,Leicester,0,222296,0,Craig Dawson,2017,4,90,DC,7417,0,West Bromwich Albion,0.020647000521421432,0
2018-03-03,0,0,0,0.021349700167775154,0,1,West Bromwich Albion,0,221037,0,Craig Dawson,2017,0,90,DR,7408,0,Watford,0.021349700167775154,0
2018-02-24,1.0191400051116943,0,1,0,0,1,Huddersfield,1.0191400051116943,219179,0,Craig Dawson,2017,2,90,DR,7394,2,West Bromwich Albion,0,1
2018-02-12,0,0,0,0,0,3,West Bromwich Albion,0,215066,0,Craig Dawson,2017,0,90,DC,7379,0,Chelsea,0,0
2018-02-03,0,0,0,0.05076630041003227,0,2,Southampton,0,215022,0,Craig Dawson,2017,3,90,DR,7378,0,West Bromwich Albion,0.05076630041003227,0
2018-01-31,0,0,0,0,0,3,West Bromwich Albion,0,215529,0,Craig Dawson,2017,0,90,DR,7366,0,Manchester City,0,0
2018-01-20,0,1,0,0.36736100912094116,0.2836099863052368,1,West Bromwich Albion,0,209211,0,Craig Dawson,2017,1,90,DR,7352,0,Everton,0.36736100912094116,0
2018-01-13,0.2794710099697113,0,1,0.1279280036687851,0,2,Brighton,0.2794710099697113,207762,0,Craig Dawson,2017,0,82,DR,7348,4,West Bromwich Albion,0.0295609999448061,1
2018-01-02,0,1,0,0.054100800305604935,0.023268399760127068,2,West Bromwich Albion,0,206533,0,Craig Dawson,2017,1,90,DR,7329,0,West Ham,0.030832400545477867,0
2017-12-31,0,1,0,0.06352350115776062,0.03923349827528,1,Arsenal,0,206356,0,Craig Dawson,2017,1,90,DC,7328,0,West Bromwich Albion,0.06352350115776062,0
2017-12-26,0.45346298813819885,1,0,0.13019800186157227,0.029870500788092613,0,Everton,0.45346298813819885,205718,0,Craig Dawson,2017,0,90,DR,7318,3,West Bromwich Albion,0.10032700002193451,0
2017-10-21,0,0,0,0,0,1,West Bromwich Albion,0,177351,0,Craig Dawson,2017,0,90,DR,7204,0,Southampton,0,0
2017-10-16,0,1,0,0.042161598801612854,0.013260100036859512,1,West Bromwich Albion,0,178397,0,Craig Dawson,2017,1,90,DR,7192,0,Leicester,0.02890150062739849,0
2017-09-30,0,0,0,0,0,2,Watford,0,178244,0,Craig Dawson,2017,2,90,DR,7182,0,West Bromwich Albion,0,0
2017-09-25,0,0,0,0,0,2,West Bromwich Albion,0,176802,0,Craig Dawson,2017,0,90,DC,7178,0,Arsenal,0,0
2017-09-16,0,0,0,0.11774999648332596,0,0,West Ham,0,176704,0,Craig Dawson,2017,0,90,DR,7165,0,West Bromwich Albion,0.11774999648332596,0
2017-09-09,0,1,0,0.34855398535728455,0.29472801089286804,3,West Bromwich Albion,0,176828,0,Craig Dawson,2017,1,90,DR,7153,0,Brighton,0.05382600054144859,0
2017-08-27,0,0,0,0.4513489902019501,0,1,Stoke,0,176651,0,Craig Dawson,2017,1,90,DC,7146,0,West Bromwich Albion,0.4513489902019501,0
2017-08-19,0.12966600060462952,0,0,0.013707299716770649,0,0,West Bromwich Albion,0.12966600060462952,176112,0,Craig Dawson,2017,1,90,DC,7132,1,Burnley,0.013707299716770649,0
2017-08-12,0,0,0,0,0,1,Bournemouth,0,176043,0,Craig Dawson,2017,0,90,DC,7121,0,West Bromwich Albion,0,0
