date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2018-05-13,0,1,0,0.031720101833343506,0.031720101833343506,2,West Bromwich Albion,0,240200,0,Daniel Sturridge,2017,0,16,Sub,7493,0,Crystal Palace,0,0
2018-05-05,0,0,0,0,0,1,Tottenham,0,237580,0,Daniel Sturridge,2017,0,15,Sub,7483,0,West Bromwich Albion,0,0
2018-04-15,0,0,0,0,0,0,West Bromwich Albion,0,232899,0,Daniel Sturridge,2017,1,4,Sub,7453,0,Manchester United,0,0
2018-02-12,0,0,0,0,0,3,West Bromwich Albion,0,215073,0,Daniel Sturridge,2017,0,3,FW,7379,0,Chelsea,0,0
2018-02-03,0.07729219645261765,1,0,0.09013489633798599,0.012842799536883831,2,Southampton,0.07729219645261765,215031,0,Daniel Sturridge,2017,3,64,FW,7378,1,West Bromwich Albion,0,0
2018-01-31,0.03919469937682152,0,0,0.03919469937682152,0,3,West Bromwich Albion,0.03919469937682152,215539,0,Daniel Sturridge,2017,0,9,Sub,7366,2,Manchester City,0,0
2017-11-25,0.2122579962015152,4,0,0.3208639919757843,0.11309699714183807,1,Chelsea,0.2122579962015152,179348,0,Daniel Sturridge,2017,1,67,FW,7244,2,Liverpool,0.028460299596190453,0
2017-10-28,0.5215979814529419,1,1,0.648235023021698,0.01278540026396513,3,Huddersfield,0.5215979814529419,177866,0,Daniel Sturridge,2017,0,76,FW,7217,2,Liverpool,0.11385100334882736,1
2017-10-22,0,1,0,0.05606070160865784,0.05606070160865784,4,Liverpool,0,177444,0,Daniel Sturridge,2017,1,10,Sub,7207,0,Tottenham,0.05606070160865784,0
2017-10-14,0,0,0,0,0,0,Manchester United,0,178422,0,Daniel Sturridge,2017,0,10,Sub,7193,0,Liverpool,0,0
2017-10-01,0.5219330191612244,0,0,0.5085710287094116,0,1,Liverpool,0.5219330191612244,178182,0,Daniel Sturridge,2017,1,76,FW,7188,4,Newcastle United,0.00876483041793108,0
2017-09-23,0.06612010300159454,2,0,0.5311329960823059,0.4650129973888397,2,Liverpool,0.06612010300159454,177115,1,Daniel Sturridge,2017,3,23,Sub,7176,2,Leicester,0.037716399878263474,0
2017-09-16,0.39640799164772034,4,0,0.5800099968910217,0.16673800349235535,1,Burnley,0.39640799164772034,176408,0,Daniel Sturridge,2017,1,90,FW,7162,7,Liverpool,0.09102629870176315,0
2017-08-27,0.6627069711685181,0,1,0.6627069711685181,0,4,Arsenal,0.6627069711685181,176383,0,Daniel Sturridge,2017,0,14,Sub,7148,2,Liverpool,0,1
2017-08-19,0.1580130010843277,1,0,0.1000789999961853,0.02779489941895008,1,Crystal Palace,0.1580130010843277,176185,0,Daniel Sturridge,2017,0,62,FW,7134,2,Liverpool,0.050390999764204025,0
