date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2017-12-26,0,0,0,0,0,5,Southampton,0,205566,0,Fraser Forster,2017,2,90,GK,7316,0,Tottenham,0,0
2017-12-23,0,0,0,0.46406298875808716,0,1,Huddersfield,0,203141,0,Fraser Forster,2017,1,90,GK,7307,0,Southampton,0.46406298875808716,0
2017-12-16,0,0,0,0,0,1,Southampton,0,203211,0,Fraser Forster,2017,0,90,GK,7292,0,Chelsea,0,0
2017-12-13,0,0,0,0.016667800024151802,0,1,Leicester,0,202973,0,Fraser Forster,2017,4,90,GK,7285,0,Southampton,0.016667800024151802,0
2017-12-10,0,0,0,0,0,1,Arsenal,0,198930,0,Fraser Forster,2017,1,90,GK,7278,0,Southampton,0,0
2017-12-03,0,0,0,0.0372776985168457,0,1,Southampton,0,179546,0,Fraser Forster,2017,1,90,GK,7267,0,Bournemouth,0.0372776985168457,0
2017-11-29,0,0,0,0,0,2,Southampton,0,179297,0,Fraser Forster,2017,1,90,GK,7257,0,Manchester City,0,0
2017-11-26,0,0,0,0,0,4,Everton,0,179587,0,Fraser Forster,2017,1,90,GK,7241,0,Southampton,0,0
2017-11-18,0,0,0,0,0,3,Southampton,0,178808,0,Fraser Forster,2017,0,90,GK,7231,0,Liverpool,0,0
2017-11-04,0,0,0,0.06074870005249977,0,0,Burnley,0,179149,0,Fraser Forster,2017,1,90,GK,7223,0,Southampton,0.06074870005249977,0
2017-10-29,0,0,0,0.06956320255994797,0,1,Southampton,0,177651,0,Fraser Forster,2017,1,90,GK,7211,0,Brighton,0.06956320255994797,0
2017-10-21,0,0,0,0,0,1,West Bromwich Albion,0,177336,0,Fraser Forster,2017,0,90,GK,7204,0,Southampton,0,0
2017-10-15,0,0,0,0,0,2,Newcastle United,0,178465,0,Fraser Forster,2017,2,90,GK,7195,0,Southampton,0,0
2017-09-30,0,0,0,0.19788900017738342,0,2,Southampton,0,178229,0,Fraser Forster,2017,1,90,GK,7181,0,Stoke,0.19788900017738342,0
2017-09-23,0,0,0,0,0,0,Manchester United,0,177583,0,Fraser Forster,2017,1,90,GK,7172,0,Southampton,0,0
2017-09-16,0,0,0,0.1122020035982132,0,0,Southampton,0,176301,0,Fraser Forster,2017,1,90,GK,7160,0,Crystal Palace,0.1122020035982132,0
2017-09-09,0,0,0,0.047874100506305695,0,0,Watford,0,177171,0,Fraser Forster,2017,2,90,GK,7150,0,Southampton,0.047874100506305695,0
2017-08-26,0,0,0,0,0,0,Southampton,0,176329,0,Fraser Forster,2017,0,90,GK,7144,0,Huddersfield,0,0
2017-08-19,0,0,0,0.017132600769400597,0,3,West Ham,0,179806,0,Fraser Forster,2017,2,90,GK,7130,0,Southampton,0.017132600769400597,0
2017-08-12,0,0,0,0.13214999437332153,0,0,Swansea,0,175984,0,Fraser Forster,2017,0,90,GK,7122,0,Southampton,0.13214999437332153,0
