date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2018-05-05,0,0,0,0,0,1,Crystal Palace,0,237202,0,Jeffrey Schlupp,2017,2,1,Sub,7481,0,Stoke,0,0
2018-04-28,0.09065750241279602,0,0,0.09065750241279602,0,5,Leicester,0.09065750241279602,235750,0,Jeffrey Schlupp,2017,0,6,Sub,7470,1,Crystal Palace,0.09065750241279602,0
2018-03-17,0,0,0,0,0,0,Crystal Palace,0,223975,0,Jeffrey Schlupp,2017,2,20,MC,7421,0,Huddersfield,0,0
2018-03-10,0,0,0,0,0,2,Crystal Palace,0,222504,0,Jeffrey Schlupp,2017,1,77,ML,7411,0,Chelsea,0,0
2018-03-05,0,1,0,0.2112009972333908,0.2054390013217926,2,Manchester United,0,221857,1,Jeffrey Schlupp,2017,3,82,ML,7401,0,Crystal Palace,0.2112009972333908,0
2018-01-02,0,0,0,0.013411399908363819,0,1,Crystal Palace,0,206564,0,Jeffrey Schlupp,2017,2,66,DL,7336,0,Southampton,0.013411399908363819,0
2017-12-28,0.07799450308084488,1,0,0.4597890079021454,0.12127900123596191,2,Arsenal,0.07799450308084488,205832,0,Jeffrey Schlupp,2017,3,90,DL,7311,2,Crystal Palace,0.27589699625968933,0
2017-12-23,0,0,0,0.04031040146946907,0,1,Crystal Palace,0,202577,0,Jeffrey Schlupp,2017,1,90,DL,7299,0,Swansea,0.04031040146946907,0
2017-12-16,0.09488479793071747,1,0,0.22258299589157104,0.017052799463272095,0,Crystal Palace,0.09488479793071747,202604,0,Jeffrey Schlupp,2017,3,90,DL,7294,1,Leicester,0.11064600199460983,0
2017-12-12,0.030748700723052025,0,0,0.06645669788122177,0,2,Watford,0.030748700723052025,202809,0,Jeffrey Schlupp,2017,1,90,DL,7282,1,Crystal Palace,0.035707999020814896,0
2017-12-09,0.021869799122214317,2,0,0.18512600660324097,0.1019899994134903,2,Bournemouth,0.021869799122214317,198794,0,Jeffrey Schlupp,2017,2,90,DL,7273,1,Crystal Palace,0.13880200684070587,0
2017-12-02,0,0,0,0.051562100648880005,0,0,Crystal Palace,0,178866,0,Jeffrey Schlupp,2017,0,90,DL,7265,0,West Bromwich Albion,0.051562100648880005,0
2017-11-28,0,1,0,0,0.02877799980342388,0,Crystal Palace,0,178840,0,Jeffrey Schlupp,2017,0,90,DL,7250,0,Brighton,0,0
2017-11-25,0.008620919659733772,0,0,0.011930599808692932,0,2,Stoke,0.008620919659733772,179180,0,Jeffrey Schlupp,2017,1,90,DL,7246,1,Crystal Palace,0.011930599808692932,0
2017-11-18,0.01105939969420433,0,0,0.06697630137205124,0,2,Everton,0.01105939969420433,178631,0,Jeffrey Schlupp,2017,2,90,DL,7234,1,Crystal Palace,0.06697630137205124,0
2017-11-05,0,0,0,0,0,1,Crystal Palace,0,179416,0,Jeffrey Schlupp,2017,0,90,ML,7226,0,Tottenham,0,0
2017-10-28,0.43942001461982727,1,0,0.13670800626277924,0.05412279814481735,2,West Ham,0.43942001461982727,177754,0,Jeffrey Schlupp,2017,2,90,ML,7213,1,Crystal Palace,0.08258499950170517,0
2017-10-21,0.08591160178184509,1,0,0.2731800079345703,0.06398849934339523,1,Crystal Palace,0.08591160178184509,177331,0,Jeffrey Schlupp,2017,0,90,ML,7203,2,Newcastle United,0.12328000366687775,0
2017-10-14,0,0,0,0.07572360336780548,0,2,Chelsea,0,178362,0,Jeffrey Schlupp,2017,1,77,ML,7191,0,Crystal Palace,0.07572360336780548,0
2017-09-30,0.05903889983892441,0,0,0.1071150004863739,0,4,Crystal Palace,0.05903889983892441,178127,0,Jeffrey Schlupp,2017,0,69,FWL,7180,2,Manchester United,0.04807649925351143,0
2017-09-23,0.060150500386953354,1,0,0.0802851989865303,0.0201347004622221,5,Crystal Palace,0.060150500386953354,177523,0,Jeffrey Schlupp,2017,0,90,AML,7173,1,Manchester City,0,0
2017-09-16,0,2,0,0.5898420214653015,0.5361080169677734,0,Southampton,0,176292,0,Jeffrey Schlupp,2017,1,90,DL,7160,0,Crystal Palace,0.05373449996113777,0
2017-09-10,0.054710399359464645,1,0,0.07701779901981354,0.029201000928878784,1,Crystal Palace,0.054710399359464645,176885,0,Jeffrey Schlupp,2017,0,90,DL,7156,1,Burnley,0.04781680181622505,0
2017-08-19,0,0,0,0,0,1,Crystal Palace,0,176201,0,Jeffrey Schlupp,2017,0,5,Sub,7134,0,Liverpool,0,0
