date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2018-05-13,0.056834299117326736,0,0,0.3551050126552582,0,3,Everton,0.056834299117326736,240136,0,Morgan Schneiderlin,2017,1,90,DMC,7489,1,West Ham,0.2982710003852844,0
2018-05-05,0,1,0,0.07623119652271271,0.023459000512957573,1,Southampton,0,237739,0,Morgan Schneiderlin,2017,1,90,DMC,7486,0,Everton,0.05277220159769058,0
2018-04-28,0,0,0,0.35156700015068054,0,0,Everton,0,235785,0,Morgan Schneiderlin,2017,2,90,DMC,7471,0,Huddersfield,0.35156700015068054,0
2018-04-23,0,0,0,0,0,1,Newcastle United,0,235326,0,Morgan Schneiderlin,2017,0,52,MC,7461,0,Everton,0,0
2018-04-14,0,1,0,0.5770750045776367,0.014313999563455582,1,Everton,0,232111,0,Morgan Schneiderlin,2017,1,90,DMC,7456,0,Swansea,0.5627610087394714,0
2018-04-07,0,1,0,0.5407389998435974,0.05275930091738701,0,Liverpool,0,230351,0,Morgan Schneiderlin,2017,0,90,MC,7443,0,Everton,0.4879800081253052,0
2018-03-31,0,0,0,0,0,1,Manchester City,0,227085,0,Morgan Schneiderlin,2017,3,90,DMC,7433,0,Everton,0,0
2018-03-17,0,0,0,0,0,1,Everton,0,224008,0,Morgan Schneiderlin,2017,2,2,Sub,7425,0,Stoke,0,0
2018-02-10,0,0,0,0,0,3,Crystal Palace,0,215088,0,Morgan Schneiderlin,2017,1,8,Sub,7380,0,Everton,0,0
2018-02-03,0,0,0,1.033210039138794,0,5,Everton,0,214797,0,Morgan Schneiderlin,2017,1,90,MC,7369,0,Arsenal,1.033210039138794,0
2018-01-31,0,0,0,0,0,2,Leicester,0,215443,0,Morgan Schneiderlin,2017,1,7,Sub,7365,0,Everton,0,0
2018-01-20,0.14017899334430695,0,0,0.0764579027891159,0,1,West Bromwich Albion,0.14017899334430695,209201,0,Morgan Schneiderlin,2017,1,90,DMC,7352,1,Everton,0.0764579027891159,0
2018-01-13,0,0,0,0,0,4,Everton,0,207869,0,Morgan Schneiderlin,2017,0,17,Sub,7346,0,Tottenham,0,0
2018-01-01,0,0,0,0,0,0,Manchester United,0,206495,0,Morgan Schneiderlin,2017,2,90,DMC,7333,0,Everton,0,0
2017-12-30,0,1,0,0.07871679961681366,0.035144999623298645,2,Everton,0,206206,0,Morgan Schneiderlin,2017,1,90,MC,7319,0,Bournemouth,0.043571799993515015,0
2017-12-26,0,0,0,0,0,0,Everton,0,205735,0,Morgan Schneiderlin,2017,0,90,DMC,7318,0,West Bromwich Albion,0,0
2017-12-23,0,1,0,0.022971300408244133,0.022971300408244133,0,Chelsea,0,203006,0,Morgan Schneiderlin,2017,0,90,DMC,7303,0,Everton,0,0
2017-12-18,0,0,0,0.07776380330324173,0,3,Swansea,0,203230,0,Morgan Schneiderlin,2017,1,63,DMC,7293,0,Everton,0.07776380330324173,0
2017-12-13,0,0,0,0.06924380362033844,0,0,Everton,0,202936,0,Morgan Schneiderlin,2017,1,90,DMC,7284,0,Newcastle United,0.06924380362033844,0
2017-12-10,0,0,0,0.04898260161280632,0,1,Everton,0,198871,0,Morgan Schneiderlin,2017,1,43,Sub,7275,0,Liverpool,0.04898260161280632,0
2017-12-02,0,0,0,0,0,2,Huddersfield,0,179790,0,Morgan Schneiderlin,2017,0,21,Sub,7260,0,Everton,0,0
2017-11-26,0,0,0,0.023269200697541237,0,4,Everton,0,179607,0,Morgan Schneiderlin,2017,1,90,MC,7241,0,Southampton,0.023269200697541237,0
2017-11-18,0,0,0,0,0,2,Everton,0,178645,0,Morgan Schneiderlin,2017,2,48,DMC,7234,0,Crystal Palace,0,0
2017-10-15,0,0,0,0.1699559986591339,0,1,Everton,0,178317,0,Morgan Schneiderlin,2017,1,90,DMC,7189,0,Brighton,0.1699559986591339,0
2017-10-01,0.12490399926900864,2,0,0.24423399567604065,0.038649801164865494,0,Burnley,0.12490399926900864,177999,0,Morgan Schneiderlin,2017,1,64,DMC,7187,3,Everton,0.12876500189304352,0
2017-09-23,0,1,0,0.1621820032596588,0.018814900889992714,2,Bournemouth,0,177009,0,Morgan Schneiderlin,2017,1,90,MC,7175,0,Everton,0.1433670073747635,0
2017-09-17,0,0,0,0.042952001094818115,0,4,Everton,0,176474,0,Morgan Schneiderlin,2017,0,90,MC,7168,0,Manchester United,0.042952001094818115,0
2017-09-09,0,0,0,0.24253900349140167,0,0,Tottenham,0,176953,0,Morgan Schneiderlin,2017,3,90,DMC,7154,0,Everton,0.24253900349140167,0
2017-08-21,0,0,0,0,0,1,Everton,0,176224,0,Morgan Schneiderlin,2017,1,90,MC,7138,0,Manchester City,0,0
2017-08-12,0,0,0,0.0759664997458458,0,1,Stoke,0,175907,0,Morgan Schneiderlin,2017,0,90,MC,7125,0,Everton,0.0759664997458458,0
