date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2018-05-13,0,0,0,0.967635989189148,0,0,Arsenal,0,240219,0,Rob Holding,2017,1,90,DC,7494,0,Huddersfield,0.967635989189148,0
2018-05-09,0,0,0,0.04768440127372742,0,3,Arsenal,0,238694,0,Rob Holding,2017,1,90,DC,7422,0,Leicester,0.04768440127372742,0
2018-04-15,0,0,0,0.408502995967865,0,2,Arsenal,0,232666,0,Rob Holding,2017,1,90,DC,7454,0,Newcastle United,0.408502995967865,0
2018-04-08,0,0,0,0,0,3,Southampton,0,230252,0,Rob Holding,2017,2,14,Sub,7439,0,Arsenal,0,0
2018-03-11,0,0,0,0.5115259885787964,0,3,Watford,0,222958,0,Rob Holding,2017,0,90,DC,7409,0,Arsenal,0.5115259885787964,0
2018-01-14,0,0,0,0.3363170027732849,0,2,Arsenal,0,208138,0,Rob Holding,2017,1,90,DC,7339,0,Bournemouth,0.3363170027732849,0
2018-01-03,0,0,0,0.2603969871997833,0,2,Chelsea,0,206659,0,Rob Holding,2017,2,90,DC,7330,0,Arsenal,0.2603969871997833,0
2017-10-28,0,0,0,0.43676498532295227,0,2,Swansea,0,177485,0,Rob Holding,2017,1,11,Sub,7209,0,Arsenal,0.43676498532295227,0
2017-10-14,0,0,0,0,0,2,Arsenal,0,179889,0,Rob Holding,2017,1,2,Sub,7198,0,Watford,0,0
2017-10-01,0,2,0,0.10903999954462051,0.03383919969201088,2,Brighton,0,177832,0,Rob Holding,2017,0,90,DC,7186,0,Arsenal,0.0891576036810875,0
2017-08-27,0.10694999992847443,0,0,0,0,4,Arsenal,0.10694999992847443,176388,0,Rob Holding,2017,0,90,DC,7148,1,Liverpool,0,0
2017-08-11,0,0,0,0.392318993806839,0,4,Leicester,0,175794,0,Rob Holding,2017,3,69,DC,7119,0,Arsenal,0.392318993806839,0
