date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2018-05-13,0,0,0,0,0,5,Leicester,0,240106,0,Wes Morgan,2017,4,90,DC,7490,0,Tottenham,0,0
2018-05-09,0,1,0,0.3280330002307892,0.029023699462413788,3,Arsenal,0,238679,0,Wes Morgan,2017,1,90,DC,7422,0,Leicester,0.2990089952945709,0
2018-05-05,0,0,0,0.020168699324131012,0,0,West Ham,0,237513,0,Wes Morgan,2017,2,90,DC,7479,0,Leicester,0.020168699324131012,0
2018-04-28,0.00622854009270668,0,0,0.00622854009270668,0,5,Leicester,0.00622854009270668,235754,0,Wes Morgan,2017,0,90,DC,7470,1,Crystal Palace,0,0
2018-04-14,0,0,0,0.7112879753112793,0,2,Leicester,0,232026,0,Wes Morgan,2017,1,90,DC,7449,0,Burnley,0.7112879753112793,0
2018-04-07,0.09644780308008194,0,0,0.8757299780845642,0,1,Newcastle United,0.09644780308008194,230376,0,Wes Morgan,2017,2,90,DC,7444,2,Leicester,0.8757299780845642,0
2018-03-31,0,0,0,0,0,0,Leicester,0,227013,0,Wes Morgan,2017,2,90,DC,7430,0,Brighton,0,0
2018-03-10,0,0,0,0.08568529784679413,0,1,Leicester,0,222309,0,Wes Morgan,2017,4,90,DC,7417,0,West Bromwich Albion,0.08568529784679413,0
2018-03-03,0.5816839933395386,0,0,0.028435399755835533,0,1,Bournemouth,0.5816839933395386,220914,0,Wes Morgan,2017,1,90,DC,7402,1,Leicester,0.028435399755835533,0
2018-02-24,0.028821200132369995,0,0,0.02312449924647808,0,1,Stoke,0.028821200132369995,218961,0,Wes Morgan,2017,1,90,DC,7396,1,Leicester,0.02312449924647808,0
2018-01-01,0,0,0,0,0,3,Huddersfield,0,206437,0,Wes Morgan,2017,0,27,DC,7334,0,Leicester,0,0
2017-12-30,0,0,0,0.028040099889039993,0,2,Leicester,0,206121,0,Wes Morgan,2017,1,90,DC,7323,0,Liverpool,0.028040099889039993,0
2017-12-26,0.6570870280265808,0,0,0.0598469004034996,0,2,Leicester,0.6570870280265808,205705,0,Wes Morgan,2017,1,90,DC,7317,2,Watford,0.0598469004034996,0
2017-12-23,0,0,0,0.019499899819493294,0,2,Manchester United,0,203031,0,Wes Morgan,2017,2,90,DC,7302,0,Leicester,0.019499899819493294,0
2017-12-16,0.05334410071372986,0,0,0.020037800073623657,0,0,Crystal Palace,0.05334410071372986,202588,0,Wes Morgan,2017,3,90,DC,7294,1,Leicester,0.020037800073623657,0
2017-12-13,0,0,0,0,0,1,Leicester,0,202989,0,Wes Morgan,2017,4,90,DC,7285,0,Southampton,0,0
2017-12-09,0,0,0,0.1729770004749298,0,2,Leicester,0,198918,0,Wes Morgan,2017,3,90,DC,7277,0,Newcastle United,0.1729770004749298,0
2017-12-02,0,1,0,0.14568300545215607,0.09796600043773651,1,Burnley,0,178523,0,Wes Morgan,2017,0,90,DC,7261,0,Leicester,0.14568300545215607,0
2017-11-28,0.31854599714279175,0,0,0,0,2,Tottenham,0.31854599714279175,178904,0,Wes Morgan,2017,1,90,DC,7249,2,Leicester,0,0
2017-11-24,0,0,0,0,0,1,Leicester,0,178588,0,Wes Morgan,2017,1,90,DC,7247,0,West Ham,0,0
2017-11-18,0,0,0,0,0,0,Manchester City,0,178712,0,Wes Morgan,2017,2,90,DC,7235,0,Leicester,0,0
2017-11-04,0,0,0,0,0,2,Leicester,0,179244,0,Wes Morgan,2017,2,90,DC,7224,0,Stoke,0,0
2017-10-29,0.06860990077257156,1,0,0.24548499286174774,0.1334889978170395,2,Everton,0.06860990077257156,177803,0,Wes Morgan,2017,0,90,DC,7214,1,Leicester,0.11199600249528885,0
2017-10-21,0,0,0,0.3856000006198883,0,1,Leicester,0,177407,0,Wes Morgan,2017,2,90,DC,7206,0,Swansea,0.3856000006198883,0
2017-10-16,0,0,0,0,0,1,West Bromwich Albion,0,178384,0,Wes Morgan,2017,1,90,DC,7192,0,Leicester,0,0
2017-09-30,0,0,0,0,0,0,Leicester,0,177901,0,Wes Morgan,2017,0,90,DC,7184,0,Bournemouth,0,0
2017-09-23,0,0,0,0,0,2,Liverpool,0,177090,0,Wes Morgan,2017,3,90,DC,7176,0,Leicester,0,0
2017-09-16,0,1,0,0,0.09819509834051132,1,Leicester,0,176359,0,Wes Morgan,2017,1,90,DC,7161,0,Huddersfield,0,0
2017-09-09,0,0,0,0,0,1,Chelsea,0,177034,0,Wes Morgan,2017,2,90,DC,7151,0,Leicester,0,0
2017-08-26,0,0,0,0.04454119876027107,0,2,Leicester,0,176442,0,Wes Morgan,2017,0,90,DC,7145,0,Manchester United,0.04454119876027107,0
2017-08-19,0.11719000339508057,1,0,0.04688990116119385,0.04688990116119385,2,Brighton,0.11719000339508057,176152,0,Wes Morgan,2017,0,90,DC,7133,1,Leicester,0,0
2017-08-11,0,0,0,0,0,4,Leicester,0,175807,0,Wes Morgan,2017,3,90,DC,7119,0,Arsenal,0,0
