date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2018-04-28,0,0,0,0.3402630090713501,0,5,Leicester,0,235758,0,Wilfred Ndidi,2017,0,52,MC,7470,0,Crystal Palace,0.3402630090713501,0
2018-04-19,0.0619392991065979,0,0,0.16295300424098969,0,0,Southampton,0.0619392991065979,233879,0,Wilfred Ndidi,2017,0,90,MC,7464,2,Leicester,0.10101400315761566,0
2018-03-31,0.015123800374567509,1,0,0.07826799899339676,0.025815099477767944,0,Leicester,0.015123800374567509,227017,0,Wilfred Ndidi,2017,2,88,MC,7430,1,Brighton,0.07826799899339676,0
2018-03-10,0.015907499939203262,0,0,0.8649389743804932,0,1,Leicester,0.015907499939203262,222312,0,Wilfred Ndidi,2017,4,90,DMC,7417,1,West Bromwich Albion,0.8490319848060608,0
2018-03-03,0.1063309982419014,1,0,0.26771900057792664,0.056450098752975464,1,Bournemouth,0.1063309982419014,220917,0,Wilfred Ndidi,2017,1,90,MC,7402,1,Leicester,0.10493800044059753,0
2018-02-24,0.07293680310249329,0,0,0.12881700694561005,0,1,Stoke,0.07293680310249329,218964,0,Wilfred Ndidi,2017,1,90,DMC,7396,2,Leicester,0.055879898369312286,0
2018-02-10,0,1,0,0,0.030198099091649055,5,Leicester,0,215150,0,Wilfred Ndidi,2017,1,90,MC,7382,0,Manchester City,0,0
2018-02-03,0.013349800370633602,0,0,0.6274880170822144,0,1,Swansea,0.013349800370633602,214916,0,Wilfred Ndidi,2017,1,90,MC,7374,1,Leicester,0.6141380071640015,0
2018-01-31,0.10540299862623215,0,0,0,0,2,Leicester,0.10540299862623215,215451,0,Wilfred Ndidi,2017,1,90,DMC,7365,1,Everton,0,0
2018-01-20,0.25097599625587463,0,0,0.17853699624538422,0,2,Watford,0.25097599625587463,209147,0,Wilfred Ndidi,2017,0,90,MC,7353,4,Leicester,0.11107199639081955,0
2018-01-13,0.05900869891047478,0,0,0.08711419999599457,0,0,Leicester,0.05900869891047478,207648,0,Wilfred Ndidi,2017,0,90,MC,7340,1,Chelsea,0.08711419999599457,0
2018-01-01,0.14352500438690186,0,0,0.1688860058784485,0,3,Huddersfield,0.14352500438690186,206441,0,Wilfred Ndidi,2017,0,90,MC,7334,2,Leicester,0.08282160013914108,0
2017-12-30,0.03313570097088814,0,0,0.09423969686031342,0,2,Leicester,0.03313570097088814,206125,0,Wilfred Ndidi,2017,1,90,MC,7323,1,Liverpool,0.061103999614715576,0
2017-12-26,0.02134539932012558,0,0,0.08119239658117294,0,2,Leicester,0.02134539932012558,205708,0,Wilfred Ndidi,2017,1,90,DMC,7317,1,Watford,0.0598469004034996,0
2017-12-23,0.013773900456726551,0,0,1.006160020828247,0,2,Manchester United,0.013773900456726551,203034,0,Wilfred Ndidi,2017,2,90,DMC,7302,1,Leicester,1.006160020828247,0
2017-12-16,0.018315300345420837,0,0,0.020037800073623657,0,0,Crystal Palace,0.018315300345420837,202591,0,Wilfred Ndidi,2017,3,62,DMC,7294,1,Leicester,0.020037800073623657,0
2017-12-13,0.11465899646282196,0,0,0.0763896033167839,0,1,Leicester,0.11465899646282196,202992,0,Wilfred Ndidi,2017,4,90,DMC,7285,3,Southampton,0.024881400167942047,0
2017-12-09,0.03650259971618652,2,0,0.2150000035762787,0.05688979849219322,2,Leicester,0.03650259971618652,198922,1,Wilfred Ndidi,2017,3,90,MC,7277,2,Newcastle United,0.13694900274276733,0
2017-12-02,0.03621479868888855,2,0,0.2987630069255829,0.16899900138378143,1,Burnley,0.03621479868888855,178527,0,Wilfred Ndidi,2017,0,90,MC,7261,2,Leicester,0.17162300646305084,0
2017-11-28,0.04355819895863533,1,0,0.4789780080318451,0.04206940159201622,2,Tottenham,0.04355819895863533,178908,1,Wilfred Ndidi,2017,1,90,MC,7249,2,Leicester,0.3933509886264801,0
2017-11-24,0.017653200775384903,0,0,0.17683599889278412,0,1,Leicester,0.017653200775384903,178592,0,Wilfred Ndidi,2017,1,90,MC,7247,1,West Ham,0.17683599889278412,0
2017-11-18,0.012324400246143341,0,0,0.012324400246143341,0,0,Manchester City,0.012324400246143341,178716,0,Wilfred Ndidi,2017,2,90,MC,7235,1,Leicester,0,0
2017-11-04,0,1,0,0.04743940010666847,0.04743940010666847,2,Leicester,0,179248,1,Wilfred Ndidi,2017,2,90,MC,7224,0,Stoke,0,0
