date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2019-05-12,0.14072999358177185,2,0,0.32290199398994446,0.8091239929199219,1,West Ham,0.14072999358177185,332179,0,Abdoulaye Doucouré,2018,4,90,DMC,9567,2,Watford,0.18403500318527222,0
2019-05-05,0.26614800095558167,2,0,0.2874299883842468,0.08193270117044449,3,Watford,0.26614800095558167,330831,0,Abdoulaye Doucouré,2018,0,90,DMC,9563,3,Chelsea,0.13310499489307404,0
2019-04-27,0,1,0,0.168504998087883,0.012160100042819977,1,Wolverhampton Wanderers,0,328276,0,Abdoulaye Doucouré,2018,2,90,DMC,9547,0,Watford,0.15634499490261078,0
2019-04-23,0.09468969702720642,2,0,0.3711400032043457,0.08682569861412048,1,Southampton,0.09468969702720642,327311,0,Abdoulaye Doucouré,2018,1,90,DMC,9499,1,Watford,0.18962399661540985,0
2019-04-20,0.22491200268268585,1,0,0.3263849914073944,0.07655259966850281,1,Watford,0.22491200268268585,326052,0,Abdoulaye Doucouré,2018,2,90,DMC,9541,2,Huddersfield,0.024920299649238586,0
2019-04-15,0,1,0,0.06168299913406372,0.01893319934606552,0,Arsenal,0,325293,0,Abdoulaye Doucouré,2018,1,90,MC,9527,0,Watford,0.0427497997879982,0
2019-04-02,0.2155189961194992,2,1,0.5112230181694031,0.10668999701738358,4,Fulham,0.2155189961194992,321609,0,Abdoulaye Doucouré,2018,1,90,DMC,9518,3,Watford,0.33027300238609314,1
2019-03-30,0.7290880084037781,1,1,1.0227299928665161,0.06090259924530983,2,Watford,0.7290880084037781,317850,0,Abdoulaye Doucouré,2018,1,90,DMC,9509,4,Manchester United,0.9209349751472473,1
2019-03-09,0,0,0,0,0,3,Watford,0,314699,0,Abdoulaye Doucouré,2018,1,90,MC,9489,0,Manchester City,0,0
2019-03-03,0.02275479957461357,0,0,0.02275479957461357,0,2,Leicester,0.02275479957461357,305409,0,Abdoulaye Doucouré,2018,1,90,DMC,9479,1,Watford,0,0
2019-02-27,0,0,0,0.04922439903020859,0,5,Watford,0,305145,0,Abdoulaye Doucouré,2018,0,90,DMC,9476,0,Liverpool,0.04922439903020859,0
2019-02-22,0,1,0,1.3916699886322021,0.8110809922218323,1,Watford,0,304758,1,Abdoulaye Doucouré,2018,5,90,DMC,9463,0,Cardiff,0.580594003200531,0
2019-02-09,0,1,0,0,0.0368524007499218,1,Everton,0,304496,0,Abdoulaye Doucouré,2018,0,90,DMC,9451,0,Watford,0,0
2019-01-12,0.0886731967329979,1,0,0.228860005736351,0.0749514028429985,1,Watford,0.0886731967329979,303365,0,Abdoulaye Doucouré,2018,2,90,DMC,9412,2,Crystal Palace,0.14018699526786804,0
2019-01-02,0.04317940026521683,2,0,0.20544299483299255,0.11869099736213684,3,Watford,0.04317940026521683,303197,0,Abdoulaye Doucouré,2018,3,59,DMC,9405,1,Bournemouth,0.04357270151376724,0
2018-12-29,0.2632189989089966,0,1,0.2632189989089966,0,1,Newcastle United,0.2632189989089966,291354,0,Abdoulaye Doucouré,2018,1,33,Sub,9387,1,Watford,0,1
2018-12-26,0.6202890276908875,1,0,0.9577440023422241,0.33745500445365906,1,Chelsea,0.6202890276908875,279252,0,Abdoulaye Doucouré,2018,2,90,DMC,9377,5,Watford,0.10187400132417679,0
2018-12-22,0.4135900139808655,0,0,0.816012978553772,0,0,Watford,0.4135900139808655,278800,0,Abdoulaye Doucouré,2018,2,90,DMC,9368,1,West Ham,0.4024229943752289,0
