date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2019-05-12,0,0,0,0.26272299885749817,0,1,Huddersfield,0,332397,0,Angus Gunn,2018,1,90,GK,9569,0,Southampton,0.26272299885749817,0
2019-04-27,0,0,0,0,0,3,Bournemouth,0,328296,0,Angus Gunn,2018,3,90,GK,9549,0,Southampton,0,0
2019-04-23,0,0,0,0,0,1,Southampton,0,327318,0,Angus Gunn,2018,1,90,GK,9499,0,Watford,0,0
2019-04-20,0,0,0,0,0,3,Southampton,0,326214,0,Angus Gunn,2018,1,90,GK,9539,0,Newcastle United,0,0
2019-04-13,0,0,0,0,0,3,Wolverhampton Wanderers,0,324175,0,Angus Gunn,2018,1,90,GK,9529,0,Southampton,0,0
2019-04-05,0,0,0,0,0,1,Liverpool,0,322323,0,Angus Gunn,2018,3,90,GK,9520,0,Southampton,0,0
2019-03-30,0,0,0,0.07125800102949142,0,0,Southampton,0,317954,0,Angus Gunn,2018,1,90,GK,9516,0,Brighton,0.07125800102949142,0
2019-03-09,0,0,0,0,0,2,Tottenham,0,314511,0,Angus Gunn,2018,1,90,GK,9487,0,Southampton,0,0
2019-03-02,0,0,0,0,0,3,Southampton,0,305278,0,Angus Gunn,2018,2,90,GK,9481,0,Manchester United,0,0
2019-02-27,0,0,0,0,0,2,Fulham,0,305072,0,Angus Gunn,2018,0,90,GK,9472,0,Southampton,0,0
2019-02-24,0,0,0,0,0,2,Southampton,0,304918,0,Angus Gunn,2018,0,90,GK,9466,0,Arsenal,0,0
2019-01-02,0,0,0,0,0,0,Southampton,0,303247,0,Angus Gunn,2018,0,90,GK,9403,0,Chelsea,0,0
