date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2019-05-12,0,0,0,0,0,1,Manchester City,0,332206,0,Bernardo,2018,4,90,DL,9576,0,Brighton,0,0
2019-05-05,0.018670199438929558,0,0,0.057650499045848846,0,1,Brighton,0.018670199438929558,331107,0,Bernardo,2018,1,90,DL,9566,1,Arsenal,0.03898030146956444,0
2019-04-27,0,0,0,0.11789199709892273,0,1,Newcastle United,0,328438,0,Bernardo,2018,1,90,DL,9556,0,Brighton,0.11789199709892273,0
2019-04-23,0,0,0,0.006866170093417168,0,1,Brighton,0,327350,0,Bernardo,2018,0,90,DL,9519,0,Tottenham,0.006866170093417168,0
2019-04-20,0,0,0,0,0,0,Brighton,0,326002,0,Bernardo,2018,0,18,Sub,9537,0,Wolverhampton Wanderers,0,0
2019-04-16,0,1,0,0.15014299750328064,0.044266000390052795,0,Cardiff,0,325345,0,Bernardo,2018,2,90,DL,9505,0,Brighton,0.10587699711322784,0
2019-04-13,0.05760829895734787,0,0,0.07037989795207977,0,0,Bournemouth,0.05760829895734787,324207,0,Bernardo,2018,5,90,DL,9536,2,Brighton,0.056222401559352875,0
2019-04-03,0.02670549973845482,0,0,0.28621500730514526,0,3,Brighton,0.02670549973845482,321957,0,Bernardo,2018,0,13,Sub,9462,1,Chelsea,0.28621500730514526,0
2019-03-30,0.0848885029554367,2,0,0.24335099756717682,0.14458400011062622,0,Southampton,0.0848885029554367,317945,0,Bernardo,2018,1,90,DL,9516,1,Brighton,0.09876669943332672,0
2019-03-09,0,0,0,0.04466269910335541,0,1,Brighton,0,314308,0,Bernardo,2018,2,90,DL,9493,0,Crystal Palace,0.04466269910335541,0
2019-03-02,0,1,0,0.14276300370693207,0.06719920039176941,1,Huddersfield,0,305323,0,Bernardo,2018,0,90,DL,9485,0,Brighton,0.07556360214948654,0
2019-01-02,0.09648910164833069,0,0,0.1447169929742813,0,2,Brighton,0.09648910164833069,303144,0,Bernardo,2018,2,75,DL,9398,1,West Ham,0.04822779819369316,0
2018-12-29,0.013456899672746658,0,0,0.1356469988822937,0,1,Everton,0.013456899672746658,291455,0,Bernardo,2018,0,90,DL,9396,1,Brighton,0.12218999862670898,0
2018-12-26,0,1,0,0.1259779930114746,0.01675719954073429,1,Arsenal,0,279224,0,Bernardo,2018,1,90,DL,9386,0,Brighton,0.10922099649906158,0
2018-12-22,0,1,0,0.06333939731121063,0.032065700739622116,2,Brighton,0,278935,0,Bernardo,2018,0,90,DL,9375,0,Bournemouth,0.06333939731121063,0
2018-12-16,0,1,0,0.09348589926958084,0.09348589926958084,1,Chelsea,0,278674,1,Bernardo,2018,2,90,DL,9366,0,Brighton,0.09348589926958084,0
2018-12-08,0.055062901228666306,1,0,0.03252030164003372,0.009865820407867432,1,Brighton,0.055062901228666306,278297,0,Bernardo,2018,0,90,DL,9354,1,Burnley,0.03252030164003372,0
2018-12-04,0,0,0,0.17518000304698944,0,3,Crystal Palace,0,277922,0,Bernardo,2018,1,90,DL,9337,0,Brighton,0.17518000304698944,0
2018-12-01,0,0,0,0.07618919759988785,0,1,Brighton,0,277769,0,Bernardo,2018,2,90,DL,9332,0,Huddersfield,0.07618919759988785,0
2018-11-24,0,1,0,0.16749900579452515,0.10825899988412857,1,Leicester,0,277507,0,Bernardo,2018,1,90,DL,9322,0,Brighton,0.05924040079116821,0
2018-10-20,0,1,0,0.05980759859085083,0.05980759859085083,0,Brighton,0,276364,0,Bernardo,2018,1,14,Sub,9280,0,Newcastle United,0,0
2018-08-11,0,0,0,0.11068300157785416,0,2,Brighton,0,258895,0,Bernardo,2018,0,90,DL,9199,0,Watford,0.11068300157785416,0
